|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓁷 𓂋 𓇋 𓇋 𓏏 𓐡|dhread|terror, dread, respect|Dhrhr 𓎛 𓁷 𓂋 𓏏 𓀜 𓏪 horrors
𓁷 𓂋 𓇯 𓀀||head man|Oberherr / afasir: officer @ Kurd
𓁷 𓂋 𓇯 𓁶 𓏤||master (of a servant)|Oberair Oberfürst / afasir: officer @ Kurd
𓁷 𓂋 𓏏 𓇯 𓈙 𓈅 𓏤||garden|Garten Erde <> gHarda Airsher <> Ashur?
𓁷 𓂋 𓏏 𓇯 𓈙 𓈅 𓏤||garden|garden earthen / Garten Erden: DE/EN  / gHarden Airther
𓁷 𓂋 𓏲 𓐡 𓈐 𓂋||apart from, besides, as well as|___ / other : 
𓁷 𓂝 𓂋 𓅪  𓏥||remainder   -vål|over-value / 
𓁷 𓏤 𓋴 𓍑 𓋴 𓏝||being in good state|ob gzunder state / in gesundem status  /  
𓁶 𓏤 𓂝 𓏤||before (time)|fore-er foremars / vorher former vormals (r➙l)
𓀁|IO|judgement, divorce by judgement|Io ⇔ ju  judge ← jug --
𓀋 𓀜||carry, support|WORK⇔WARK⇔WALK  feminin: die Arbeit / kar, harg, warz@PERS quarzen / ackern~ ⇔ hamkar com
𓀭||moon god|Amun  
𓀺𓐍𓏏𓏛𓏥 𓀺𓂝𓏏𓉐||herder|guard/gator
𓀻 𓋴 𓏏 𓏛 𓁐||noblewoman| Mistres Mrs.
𓁸||hair, grass|hair, herb   |  Schopf
𓆄 𓅱 𓏏 𓁸||feather| sƒuite-hair
𓇉 𓄿 𓁸||strife| haaren / ⇔ Horden / ⇔ hurt / harrier ⇔ warrier ?
𓅱 𓈙 𓁸||fall out, be destroyed, desolate (a place)|in Scherben  /  µ شعرschærben ⇔ schhair QED / moscher ⇔ moschen   DE ?
𓈖 𓃀 𓂧 𓁸||band (doors with metal)|an-bind ?
𓈖 𓃀 𓂧 𓏏 𓁸||tress (of hair)|Bund ENDE
𓋴 𓌳 𓁸||scalp, side|
𓋴 𓐟 𓄿 𓅓 𓏏 𓁸||lock of hair| Spairamid : Spirale 
𓍲 𓈖 𓏌 𓏲 𓁸||hair, grass|Schnüren DE / ⇔Schnitter
𓁹||a'n ayin  VS moyn  ENDEAR|
