status	glyphs	meaning	note	similar_in_my_dictionary
missing_attested	𓄿 𓇋 𓅱 𓏭 𓍢 𓍢	pair of bandages (med.); (bandages ?); (pair of) bandages for holding together a gaping wound	Ai wi, Aiwy, ꜣꞽ.wï, ꜣjwj (noun) [tla, vygus, wikidata, wiktionary]	𓄿 𓇋 𓂋 𓌗 𓀜 = oppress (the poor) (line 4495) ; 𓄿 𓇋 𓇋 𓏏 𓅪 = blanch ? (line 4496)
missing_attested	𓅡 𓎡 𓀀 𓇋 𓅓	the servant there (speaker's reference to himself); I your servant; humble servant; a humble reference to the speaker; yours truly, your humble servant	bAk-im, bAk im, bꜣk-ꞽm, bꜣk jm (noun) [tla, vygus, wikidata, wiktionary]	𓅡 𓎡 𓀀 = servant (line 5400)
missing_attested	𓃀 𓅱 𓏏 𓏭 𓆜 𓏛	detested one; loathsome one; outcast; detested one, abominable one	bw ti, bwty, bw.tï, bwtj (noun) [tla, vygus, wikidata, wiktionary]	𓃀 𓅱 𓏏 𓅪 = abominate (line 2917) ; 𓃀 𓅱 𓏏 𓅪 = abominate (line 2918)
missing_attested	𓇋 𓂝 𓂋 𓇋 𓇋 𓏏 𓉐	god's dwelling; abode of the god; dwelling-place of a god	iary t, aaryt, ꞽꜥry.t, jꜥryt (noun) [tla, vygus, wikidata, wiktionary]	𓇋 𓂝 𓂋 𓈐 = mount up (line 7502) ; 𓇋 𓂝 𓂋 𓈐 = mount up, ascend (line 7503)
missing_attested	𓇋 𓏠 𓈖 𓀃 𓂋 𓈖 𓆑 𓀭	he whose name is hidden (esp. Amun); with secret name; an epithet of the god Amun, occasioanlly also used of other gods	imn-rn=f, imn rn .f, ꞽmn-rn=f, jmn-rn.f (noun) [tla, vygus, wikidata, wiktionary]	𓇋 𓏠 𓈖 = create (line 8433) ; 𓇋 𓏠 𓈖 = hidden (line 8434)
missing_attested	𓉺 𓇋 𓇋 𓏏 𓉐	columned hall; columned court; Columned Hall; Courtyard with Columns; columned hall	iwn yt, iwnyt, ꞽwn.yt, jwnyt (noun) [tla, vygus, wikidata, wiktionary]	𓉺 𓇋 𓇋 𓏏 𓊖 = (locality) Latopolis, Esna (line 11421)
missing_attested	𓂜 𓏏 𓏭 𓅪 𓆑	one who has nothing; the landless; the propertyless; synonym of jwtj-n.f (“one who has nothing”)	iwt i=f, iwty .f, ꞽwt.ï=f, jwtj.f (noun) [tla, vygus, wikidata, wiktionary]	𓂜 𓏏 𓏏 𓅪 𓏥 = what is not, does not exist (line 1246) ; 𓂜 𓏏 𓏮 𓅪 = who...not, which...not (line 1247)
missing_attested	𓅓 𓆓 𓂧	as follows (introducing direct speech); as saying; as follows; with the words	m-Dd, m Dd, m-ḏd, m ḏd (part) [tla, vygus, wikidata, wiktionary]	𓅓 𓆓 𓏏 = oil (line 4991) ; 𓅓 𓆓 𓏏 = oil (line 4992)
missing_attested	𓅓 𓋴 𓇋 𓋷 𓄿 𓏏	distinguishing mark; characteristic; recognition; characteristics; distinguishing mark, characteristic	msiA t, msiAt, msꞽꜣ.t, msjꜣt (noun) [tla, vygus, wikidata, wiktionary]	𓅓 𓋴 𓍿 𓊪 𓏏 = portable shrine (line 5122) ; 𓅓 𓋴 𓎝 𓎡 𓏏 𓏏 = night-bark, night-barque (of sun god) (line 5124)
missing_attested	𓄟 𓋴 𓇋 𓈖 𓏏 𓄹	spermatic cord; [part of the abdomen]; peritoneum (?); [part of the abdomen]; peritoneum (?)	msint, msin t, msꞽn.t () [middle-egyptian, tla, vygus, wikidata]	𓄟 𓋴 𓇋 𓇋 𓁶 𓏏 𓎱 = the First Mesyt (a Festival) (line 4050) ; 𓄟 𓋴 𓇋 𓇋 𓏏 = (collective n.) children, offspring, young (of animals) (line 4051)
missing_attested	𓈖 𓏏 𓏭 𓎟	anyone who; whomsoever; whatever else; anyone who, whomsoever	nt i-nb, nty nb, nt.ï-nb, ntj nb (noun) [tla, vygus, wikidata, wiktionary]	𓈖 𓏏 = to (line 10432) ; 𓈖 𓏏 = (genitival adj. fem.) of, belonging to (line 10433)
missing_attested	𓉐 𓏤 𓂚 𓌒 𓌕	armory (lit. house of weapons); arsenal; weapons depot; armory, arsenal	pr-aHA w, pr aHA, pr-ꜥḥꜣ.w, pr-ꜥḥꜣw (noun) [tla, vygus, wikidata, wiktionary]	𓉐 𓏤 = house, household, palace, temple (line 11143) ; 𓉐 𓏤 = upper part of building (line 11144)
missing_attested	𓉐 𓌳 𓉐	villa; chateau; pleasure house; villa, country house	pr-mA, pr mA, pr-mꜣ (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓉐 𓏤 𓄟 𓋴	birth house (mammisi); birth house; mammisi, a subsidiary chapel attached to a larger temple and associated with the nativity of a god	pr-ms, pr ms (noun) [tla, vygus, wikidata, wiktionary]	𓉐 𓏤 = house, household, palace, temple (line 11143) ; 𓉐 𓏤 = upper part of building (line 11144)
missing_attested	𓈎 𓄿 𓂧 𓏏 𓆰	a creeper (med.); (a plant); [a creeper (med.)]; a plant that grows by creeping; creeper	qAd t, qAdt, qꜣd.t, qꜣdt (noun) [tla, vygus, wikidata, wiktionary]	𓈎 𓄿 𓂋 𓍢 = bundle (line 9313) ; 𓈎 𓄿 𓂋 𓍢 = bundle (line 9314)
missing_attested	𓂋 𓈖 𓏏 𓏏	as follows (introducing direct speech); in as much as; furthermore; to the effect that	r-nt it, r ntt, r-nt.ït (part) [tla, vygus, wikidata, wiktionary]	𓂋 𓈖 𓏏 𓏌 𓏏 𓆘 = (divinity) Renenutet (the Harvest goddess) (line 830)
missing_attested	𓇅 𓆰 𓏥	green plants; greenery; green plants in general	wAD i, wAD, wꜣḏ.ï, wꜣḏ (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓅨 𓂋 𓂧 𓅱 𓀉 𓄣 𓏤 𓀭	weary-hearted (Osiris); (a name of Osiris); the weary one; the weary of heart (Osiris)	wrD w-ib, wrDw ib, wrd ib, wrḏ.w-ꞽb, wrdw-jb (noun) [tla, vygus, wikidata, wiktionary]	𓅨 𓂋 𓂧 𓀉 𓅪 = be weary, grow weary, tire (line 5480) ; 𓅨 𓂋 𓂧 𓀉 𓅪 = be weary (line 5481)
missing_attested	𓎳 𓋴 𓂧 𓈄 𓉳	Sed-festival (royal jubilee); jubilee festival; the Sed festival, a jubilee festival first celebrated after a king had ruled for thirty years and thereafter every three or four years	ḤAb-sd, Hb sd, Ḥꜣb-sd, ḥꜣb-sd (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓅃 𓅨 𓂋	Haroeris (Horus the elder); Haroeris; the god Horus the Elder	Ḥr w-wr, Hr wr, Ḥr.w-wr, ḥr-wr (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓇋 𓏠 𓈖 𓇳 𓏤	Amun-Re; Amun Ra; the god Amun-Ra	Ꞽmn w-Raw, imn, Ꞽmn.w-Rꜥw, jmn-rꜥ (noun) [tla, vygus, wikidata, wiktionary]	𓇋 𓏠 𓈖 = create (line 8433) ; 𓇋 𓏠 𓈖 = hidden (line 8434)
missing_attested	𓍋 𓃀 𓇋 𓇋 𓄜 𓇉	cheetah	Ab y-mH wi, Aby mH, ꜣb.y-mḥ.wï (noun) [tla, vygus, wikidata]	𓍋 𓃀 𓇋 𓇋 𓃮 = panther (line 16661) ; 𓍋 𓃀 𓇋 𓇋 𓄛 = panther (line 16663)
missing_attested	𓍋 𓃀 𓂧 𓈋 𓊖 𓀀 𓁐	the Inhabitants of Abydos; Abydenes (those who live at Abydos); Abydenes, the people of Abydos collectively	AbDw, ꜣbḏ.w, ꜣbḏw (noun) [vygus, wikidata, wiktionary]	𓍋 𓃀 𓀁 = desire, wish for (line 16632) ; 𓍋 𓃀 𓀁 = desire, wish (line 16633)
missing_attested	𓇹 𓇼 𓂧 𓏏 𓅱	monthly	Abd w, Abdwt, ꜣbd.w (adj) [tla, vygus, wikidata]	𓇹 𓇼 𓂧 𓇳 𓏤 = month (line 8997) ; 𓇹 𓇼 𓂧 𓎲 = monthly festival (line 8998)
missing_attested	𓄿 𓂧 𓏏 𓆊	an eye ailment; eye disease; Pterygium ?; [an eye ailment]	Ad t, Adt, ꜣd.t (noun) [tla, vygus, wikidata]	𓄿 𓂧 𓏏 𓏯 𓀜 = prepare (line 4453) ; 𓄿 𓂧 𓏏 𓏯 𓀜 = prepare (line 4454)
missing_attested	𓄿 𓂧 𓇋 𓇋 𓏏	part of a ship; (a ship part); eye disease; Pterygium ?	Ady t, Adyt, ꜣdy.t (noun) [tla, vygus, wikidata]	𓄿 𓂧 𓂻 = quiver, palpitate (line 4446) ; 𓄿 𓂧 𓆊 = be savage, be aggressive, be angry, attack, anger (line 4448)
missing_attested	𓄿 𓊪 𓂧 𓏏 𓅱	fowl; birds, fowl	Apd wt, ꜣpd.wt, ꜣpdwt (noun) [tla, wikidata, wiktionary]	𓄿 𓊪 𓂧 𓂻 = rush forward (line 4567) ; 𓄿 𓊪 𓂧 𓅬 = duck, bird (line 4568)
missing_attested	𓃀 𓅡 𓃀 𓇋 𓇋	Bebon (a demon); Bebon (divinity)	BAbA wi, bAby, Bꜣbꜣ.wï (noun) [tla, vygus, wikidata]	𓃀 𓅡 𓃀 𓅡 𓅱 𓉐 = hole (line 2770) ; 𓃀 𓅡 𓃀 𓅡 𓅱 𓉐 = hole (socket of eye, apertures of head) (line 2831)
missing_attested	𓃀 𓅡 𓄿 𓈎 𓏏 𓄈	Dazzling-eye (Egypt); (a cause of death); [a cause of death (?)]	BAq t, bAqt, bꜣq.t (noun) [tla, vygus, wikidata]	𓃀 𓅡 𓄿 𓈎 𓆭 𓏌 𓏥 = moringa oil (line 2822) ; 𓃀 𓅡 𓄿 𓈎 = oily, bright (line 2823)
