★Stars	Chinese	Pinyin	Hook	Meaning	Why
★★★½	娃	wá	waah (baby's cry)	baby, doll	exact sound of a crying baby
★★★★	胎	tāi	tyre	fetus; tyre (轮胎)	轮胎 lúntāi = tyre, same sound
★★★½	嗯	ńg	mhm / hm	um, uh-huh (interjection)	same murmur of assent in English
★★★★	缠	chán	chain	wind around, entangle	chains wind round and bind
★★★½	葬	zàng	Sarg	bury	Sarg ~ zàng, for the burial
★★★★	抹	mǒ / mā	mop	smear; wipe (抹布 rag)	mop: wipe and smear across
★★★★½	趁	chèn	chance	take advantage of (趁机)	趁机 = seize the chance
★★★½	婴	yīng	jung	infant	jung ~ yīng
★★★★	盼	pàn	pine (for)	long for, hope for	pine ~ pàn, both = yearn
★★★½	昭	zhāo	show	manifest, illustrious	zhāo ~ show, make manifest
★★★★	禅	chán	Zen	Zen, meditation	Zen is the Japanese reading of 禅
★★★½	绣	xiù	sew	embroider	xiù ~ sew, needlework
★★★★½	诡	guǐ	guile	sly, crafty	guǐ ~ guile, both = cunning
★★★½	颊	jiá	jaw	cheek	jiá ~ jaw, neighbouring face parts
★★★★	啪	pā	patsch	slap, crack (onomat.)	patsch! = the same smack
★★★★	瑜	yú	yoga	lustre of jade; 瑜伽 yoga	瑜伽 yújiā transliterates yoga
★★★½	摹	mó	mock(-up)	imitate, copy	mock originally = imitate; mock-up copy
★★★★	粥	zhōu	chowder	congee, porridge	zhōu ~ chow(der), a thick soup
★★★★	霓	ní	neon	secondary rainbow; 霓虹 neon	霓虹灯 níhóng dēng = neon light
★★★★	泵	bèng	pump	pump	loanword from English pump
★★★½	铿	kēng	Klang	clang of metal	kēng ~ Klang/clang
★★★★	飕	sōu	sough	whoosh of wind	sough = the sighing sound of wind
★★★★½	嗥	háo	howl	howl (of wolves)	háo ~ howl, same cry
