𒃆	U+120C6	NONE
𒃖	U+120D6	sabad3
𒃦	U+120E6	NONE
𒃶	U+120F6	gan, kan, qan, ḫe2
𒀇	U+12007	NONE
𒀗	U+12017	NONE
𒀧	U+12027	NONE
𒀷	U+12037	NONE
𒁇	U+12047	bar, par2
𒁗	U+12057	NONE
𒁧	U+12067	NONE
𒁷	U+12077	din, tin, ṭin, ten2, kurun2, til
𒂇	U+12087	nimgir, nig̃ir, mir, aga
𒂗	U+12097	en, enna
𒂧	U+120A7	NONE
𒂷	U+120B7	mal, g̃a, g̃e, g̃en
𒃇	U+120C7	NONE
𒃗	U+120D7	NONE
𒃧	U+120E7	NONE
𒃷	U+120F7	gan2, gana2, ašag
𒀈	U+12008	NONE
𒀘	U+12018	šem5
𒀨	U+12028	NONE
𒀸	U+12038	aš, dil, rum, ru3, dili, ge15
𒁈	U+12048	bara2, barag
𒁘	U+12058	NONE
𒁨	U+12068	NONE
𒁸	U+12078	NONE
𒂈	U+12088	NONE
𒂘	U+12098	NONE
𒂨	U+120A8	NONE
𒂸	U+120B8	NONE
𒃈	U+120C8	NONE
𒃘	U+120D8	NONE
𒃨	U+120E8	NONE
𒃸	U+120F8	garak, kara2, kar2, gur6
𒀉	U+12009	a2, ed, et, eṭ, id, it, iṭ
𒀙	U+12019	meze
𒀩	U+12029	alan, alam
𒀹	U+12039	upu
𒁉	U+12049	bi, be2, be, kaš
𒁙	U+12059	NONE
𒁩	U+12069	NONE
𒁹	U+12079	diš, ṭiš, santak4, sag̃tak4
𒂉	U+12089	NONE
𒂙	U+12099	NONE
𒂩	U+120A9	NONE
𒂹	U+120B9	NONE
𒃉	U+120C9	menx
𒃙	U+120D9	NONE
𒃩	U+120E9	dan3
𒃹	U+120F9	NONE
𒀊	U+1200A	ab, eš3, ab/ap
𒀚	U+1201A	lipiš, šem3
𒀪	U+1202A	aʾ, eʾ, iʾ, uʾ, ʾ, ʾa, ʾe, ʾi, ʾu, Aʾ
𒀺	U+1203A	uzalak
𒁊	U+1204A	NONE
𒁚	U+1205A	NONE
𒁪	U+1206A	NONE
𒁺	U+1207A	de6, du, g̃en, gin, gub, tum2, kub/kup, ṭu3
𒂊	U+1208A	e, eg2, eg
𒂚	U+1209A	EN×ME
𒂪	U+120AA	NONE
𒂺	U+120BA	NONE
𒃊	U+120CA	NONE
𒃚	U+120DA	NONE
𒃪	U+120EA	ula2, sabad2
𒃺	U+120FA	NONE
𒀋	U+1200B	NONE
𒀛	U+1201B	ub5
𒀫	U+1202B	zur, ṣur, amar
𒀻	U+1203B	NONE
𒁋	U+1204B	NONE
𒁛	U+1205B	akan, ubur
𒁫	U+1206B	NONE
𒁻	U+1207B	laḫ4, su8, sub2, re7, sug2
𒂋	U+1208B	NONE
𒂛	U+1209B	NONE
𒂫	U+120AB	NONE
𒂻	U+120BB	NONE
𒃋	U+120CB	NONE
𒃛	U+120DB	NONE
𒃫	U+120EB	NONE
𒃻	U+120FB	g̃ar, ša2, nig̃, ninda
𒀌	U+1200C	NONE
𒀜	U+1201C	ad, at, aṭ
𒀬	U+1202C	sizkur, siskur, siškur, karābu, naqû, nīqu
𒀼	U+1203C	eš16, 3
𒁌	U+1204C	NONE
𒁜	U+1205C	NONE
𒁬	U+1206C	kiši9
𒁼	U+1207C	suḫuš, kas5
𒂌	U+1208C	NONE
𒂜	U+1209C	NONE
𒂬	U+120AC	NONE
𒂼	U+120BC	ama, dag̃al
𒃌	U+120CC	g̃alga
𒃜	U+120DC	NONE
𒃬	U+120EC	NONE
𒃼	U+120FC	gar3
𒀍	U+1200D	irigal, urugal
𒀝	U+1201D	ag/ak/aq, a5, ak, ša5
𒀭	U+1202D	am6, an, dig̃ir
𒀽	U+1203D	NONE
𒁍	U+1204D	gid2/git2/giṭ2, bu/pu, suř, bur
𒁝	U+1205D	kiši6
𒁭	U+1206D	NONE
𒁽	U+1207D	kaš4, im2, gir5
𒂍	U+1208D	e2, bit, biṭ
𒂝	U+1209D	NONE
𒂭	U+120AD	NONE
𒂽	U+120BD	NONE
