𒇄	U+121C4	NONE
𒇔	U+121D4	NONE
𒇤	U+121E4	NONE
𒇴	U+121F4	lam
𒄅	U+12105	NONE
𒄕	U+12115	NONE
𒄥	U+12125	gur, g̃uruš
𒄵	U+12135	urₓ(ḪI×ŠE), ellag̃, bir, biri, pir₃
𒅅	U+12145	eg/ek/eq, ig/ik/iq, ig, g̃al₂
𒅕	U+12155	er, ir
𒅥	U+12165	gu₇
𒅵	U+12175	NONE
𒆅	U+12185	NONE
𒆕	U+12195	du₃, dru₃, du, gag, ḫenbur, kak, qaq
𒆥	U+121A5	kig̃, qe, qi
𒆵	U+121B5	kušu₂
𒇅	U+121C5	ninindu /immindu/
𒇕	U+121D5	gigir₃
𒇥	U+121E5	gigir₂, ḫab₂, pu₂, tul₂, ub₄
𒇵	U+121F5	eš₂₂, eš
𒄆	U+12106	NONE
𒄖	U+12116	gu, qu₃
𒄦	U+12126	NONE
𒄶	U+12136	NONE
𒅆	U+12146	lem/lim, ši, igi
𒅖	U+12156	isiš, iš, iši, kuš, mel, saḫar, ukum, mil
𒅦	U+12166	NONE
𒅶	U+12176	NONE
𒆆	U+12186	NONE
𒆖	U+12196	NONE
𒆦	U+121A6	kisal
𒆶	U+121B6	NONE
𒇆	U+121C6	NONE
𒇖	U+121D6	akan₃
𒇦	U+121E6	ablal₃
𒇶	U+121F6	aratta
𒄇	U+12107	gidim
𒄗	U+12117	saḫ₄, suḫ₃
𒄧	U+12127	NONE
𒄷	U+12137	pag/pak/paq, ḫu (ʾu₅), mušen, ḫu /ḫur/
𒅇	U+12147	u₃
𒅗	U+12157	ka, gu₃, inim, kir₄, kiri₃, pi₄, zu₂, du₁₁, dug₄, zuḫ
𒅧	U+12167	NONE
𒅷	U+12177	imminte
𒆇	U+12187	NONE
𒆗	U+12197	g̃uruš, kal, kala, kalag, lamma, sig₁₅, sag₈, dan, lab/lap, lib₂/lip₂, rib/rip, tan
𒆧	U+121A7	kis/qis, kiś, kiš/qiš, kiš
𒆷	U+121B7	la, šika
𒇇	U+121C7	u₈ /u/, laḫar
𒇗	U+121D7	NONE
𒇧	U+121E7	bul
𒇷	U+121F7	le, li
𒄈	U+12108	g̃ir₂, g̃iri₂
𒄘	U+12118	gu, tik/tiq, gun
𒄨	U+12128	NONE
𒄸	U+12138	ḫub₂
𒅈	U+12148	ar
𒅘	U+12158	nag̃, nag, nak, naq, immen₂
𒅨	U+12168	NONE
𒅸	U+12178	NONE
𒆈	U+12188	NONE
𒆘	U+12198	alad
𒆨	U+121A8	NONE
𒆸	U+121B8	kil, qil, rim, ḫab, ḫap, lagab, lugud, nig̃in
𒇈	U+121C8	NONE
𒇘	U+121D8	NONE
𒇨	U+121E8	NONE
𒇸	U+121F8	NONE
𒄉	U+12109	kiši₁₇, kišig₂, ul, ad₂, at₂, aṭ₂
𒄙	U+12119	dur
𒄩	U+12129	ku₆, kud, ḫa (ʾa₄)
𒄹	U+12139	NONE
𒅉	U+12149	NONE
𒅙	U+12159	NONE
𒅩	U+12169	NONE
𒅹	U+12179	NONE
𒆉	U+12189	zu₉, immen
𒆙	U+12199	NONE
𒆩	U+121A9	NONE
𒆹	U+121B9	as₄, suk/suq, zuk/zuq, šuk₃
𒇉	U+121C9	engur
𒇙	U+121D9	men₄ /men/
𒇩	U+121E9	NONE
𒇹	U+121F9	limmu₂ /limmu/
𒄊	U+1210A	g̃ir₃, g̃iri₃
𒄚	U+1211A	ugurₓ /ugur/
𒄪	U+1212A	NONE
𒄺	U+1213A	NONE
𒅊	U+1214A	SIG₇, sig₇, se₁₂, si₁₂
𒅚	U+1215A	NONE
𒅪	U+1216A	NONE
𒅺	U+1217A	NONE
𒆊	U+1218A	NONE
𒆚	U+1219A	NONE
𒆪	U+121AA	ku/qu₂, tukul, dab₅, ku, tuš, dur₂, šed₆, bed, suḫ₅, bu₇
𒆺	U+121BA	NONE
𒇊	U+121CA	NONE
𒇚	U+121DA	NONE
𒇪	U+121EA	NONE
𒇺	U+121FA	liš, dilim₂
𒄋	U+1210B	alim
𒄛	U+1211B	usan
𒄫	U+1212B	gir₇, gir, peš
𒄻	U+1213B	NONE
𒅋	U+1214B	il
𒅛	U+1215B	NONE
𒅫	U+1216B	NONE
𒅻	U+1217B	nundum, nundun
𒆋	U+1218B	NONE
𒆛	U+1219B	NONE
𒆫	U+121AB	NONE
𒆻	U+121BB	NONE
