𒇋	U+121CB	agar₂, šara₂
𒇛	U+121DB	NONE
𒇫	U+121EB	gurun₄
𒇻	U+121FB	lu, udu
𒄌	U+1210C	g̃iri₁₆
𒄜	U+1211C	NONE
𒄬	U+1212C	ḫal
𒄼	U+1213C	NONE
𒅌	U+1214C	NONE
𒅜	U+1215C	uš₁₁, uš
𒅬	U+1216C	NONE
𒅼	U+1217C	NONE
𒆌	U+1218C	NONE
𒆜	U+1219C	kaskal
𒆬	U+121AC	kug, ku₃
𒆼	U+121BC	ablal
𒇌	U+121CC	dilim₃, immindu
𒇜	U+121DC	NONE
𒇬	U+121EC	lagar
𒇼	U+121FC	adda₂
𒄍	U+1210D	NONE
𒄝	U+1211D	NONE
𒄭	U+1212D	dub₃, du₁₀, dug₃, ḫi, ḫe/ḫi, ʾi₃
𒄽	U+1213D	NONE
𒅍	U+1214D	il₂, gil₃, gur₃, dupsik
𒅝	U+1215D	NONE
𒅭	U+1216D	NONE
𒅽	U+1217D	NONE
𒆍	U+1218D	ka₂, kan₄
𒆝	U+1219D	šubtu₆, šubtu₅, šubtu₃
𒆭	U+121AD	kur₉, ku₄
𒆽	U+121BD	NONE
𒇍	U+121CD	NONE
𒇝	U+121DD	NONE
𒇭	U+121ED	su₇
𒇽	U+121FD	lu₂, lu
𒄎	U+1210E	lulim
𒄞	U+1211E	gud, gu₄, gar₄
𒄮	U+1212E	sur₃
𒄾	U+1213E	ḫul₂, ḪUL₂
𒅎	U+1214E	em, im, IM, IŠKUR, NI₂, TU₁₅, ni₂
𒅞	U+1215E	NONE
𒅮	U+1216E	bun₂
𒅾	U+1217E	SU₆, su₆, sum₄
𒆎	U+1218E	NONE
𒆞	U+1219E	NONE
𒆮	U+121AE	NONE
𒆾	U+121BE	NONE
𒇎	U+121CE	NONE
𒇞	U+121DE	NONE
𒇮	U+121EE	lugud₄, suhirim
𒇾	U+121FE	NONE
𒄏	U+1210F	NONE
𒄟	U+1211F	NONE
𒄯	U+1212F	ara₃, ḫar, ḫur, mur, ur₅
𒄿	U+1213F	i
𒅏	U+1214F	kid, kid₇, kid₂
𒅟	U+1215F	NONE
𒅯	U+1216F	NONE
𒅿	U+1217F	NONE
𒆏	U+1218F	kab/kap, gab₂, gabu₂, gub₃, gubu₃
𒆟	U+1219F	gir₁₁, keš₂
𒆯	U+121AF	ku₇, kud
𒆿	U+121BF	NONE
𒇏	U+121CF	NONE
𒇟	U+121DF	NONE
𒇯	U+121EF	du₆, DU₆
𒇿	U+121FF	ad₆, adda, at₆
𒈀	U+12200	NONE
𒈐	U+12210	NONE
𒈠	U+12220	ma, peš₃, peš
𒈰	U+12230	NONE
𒉀	U+12240	nisaba₂, nag̃a
𒉐	U+12250	kiri₉, kir₁₇, qir₂, tum₃, tum
𒉠	U+12260	nesag̃, nisannum
𒉰	U+12270	NONE
𒊀	U+12280	NONE
𒊐	U+12290	NONE
𒊠	U+122A0	NONE
𒊰	U+122B0	NONE
𒋀	U+122C0	šeš, ses, sis, mun₄, siš, šiš
𒋐	U+122D0	NONE
𒋠	U+122E0	sig₂, siki
𒋰	U+122F0	tab/tap, min₆
𒈁	U+12201	NONE
𒈑	U+12211	NONE
𒈡	U+12221	NONE
𒈱	U+12231	murgu₂
𒉁	U+12241	NONE
𒉑	U+12251	NONE
𒉡	U+12261	nu
𒉱	U+12271	NONE
𒊁	U+12281	NONE
𒊑	U+12291	dal/ṭal, re, ri, tal, ša₇
𒊡	U+122A1	NONE
𒊱	U+122B1	NONE
𒋁	U+122C1	še₈, šeš₂, šeš₄
𒋑	U+122D1	NONE
𒋡	U+122E1	ga₅, ka₄, qa, qû, sala₄, sal₄, sila₃, sil₃, šal₂
𒋱	U+122F1	NONE
𒈂	U+12202	šag̃a, šag̃ar
𒈒	U+12212	NONE
𒈢	U+12222	NONE
𒈲	U+12232	muš
𒉂	U+12242	NONE
𒉢	U+12262	g̃ešnu
𒉲	U+12272	NONE
𒊂	U+12282	NONE
𒊒	U+12292	šub, ru, šup
𒊢	U+122A2	NONE
𒊲	U+122B2	ninim
𒋂	U+122C2	NONE
