𒋒	U+122D2	NONE
𒋢	U+122E2	kuš, su
𒋲	U+122F2	NONE
𒈃	U+12203	NONE
𒈓	U+12213	gigam, inbir, adamin
𒈣	U+12223	ma₂, ma
𒈳	U+12233	NONE
𒉃	U+12243	dalḫamun₇
𒉓	U+12253	NONE
𒉣	U+12263	nun, sil₂, zil/ṣil
𒉳	U+12273	NONE
𒊃	U+12283	NONE
𒊓	U+12293	sa
𒊣	U+122A3	muḫ₃
𒊳	U+122B3	NONE
𒋃	U+122C3	bisag̃₂, lag, nesag̃₂, sag̃a, sag̃g̃a, sanga, silag̃, aka₃, šid, šudum
𒋓	U+122D3	sir₄, šir, šur₃
𒋣	U+122E3	NONE
𒋳	U+122F3	tag/tak/taq, šum, šum₂, tuku₅, tibir
𒈄	U+12204	NONE
𒈔	U+12214	NONE
𒈤	U+12224	maḫ, maḫ₂
𒈴	U+12234	NONE
𒉄	U+12244	bulug₄, nagar
𒉔	U+12254	NONE
𒉤	U+12264	NONE
𒉴	U+12274	NONE
𒊄	U+12284	NONE
𒊔	U+12294	NONE
𒊤	U+122A4	NONE
𒊴	U+122B4	NONE
𒋄	U+122C4	bisag̃₃
𒋔	U+122D4	NONE
𒋤	U+122E4	šud/šut/šuṭ, su₃, sud, sug₄
𒋴	U+122F4	NONE
𒈅	U+12205	NONE
𒈕	U+12215	ad₇, adda
𒈥	U+12225	mar
𒈵	U+12235	NONE
𒉕	U+12255	NONE
𒉥	U+12265	arḫuš₃
𒉵	U+12275	NONE
𒊅	U+12285	NONE
𒊕	U+12295	sag̃, ris, riš, sag/sak/saq, san, šag/šak/šaq
𒊥	U+122A5	gud₂, gud
𒊵	U+122B5	NONE
𒋅	U+122C5	NONE
𒋕	U+122D5	NONE
𒋥	U+122E5	NONE
𒋵	U+122F5	NONE
𒈆	U+12206	NONE
𒈖	U+12216	gug, gug₂
𒈦	U+12226	maš, sa₉, ba₇, MAŠ
𒈶	U+12236	NONE
𒉆	U+12246	bir₅, nam, sim
𒉖	U+12256	NONE
𒉦	U+12266	arḫuš₂, arḫuš
𒉶	U+12276	NONE
𒊆	U+12286	NONE
𒊖	U+12296	NONE
𒊦	U+122A6	NONE
𒊶	U+122B6	NONE
𒋆	U+122C6	šim
𒋖	U+122D6	šita
𒋦	U+122E6	suḫur
𒋶	U+122F6	NONE
𒈇	U+12207	NONE
𒈗	U+12217	NONE
𒈧	U+12227	maš₂, kun₈, maš
𒈷	U+12237	NONE
𒉇	U+12247	tug₂
𒉗	U+12257	NONE
𒉧	U+12267	NONE
𒉷	U+12277	NONE
𒊇	U+12287	NONE
𒊗	U+12297	NONE
𒊧	U+122A7	NONE
𒊷	U+122B7	sag₉, sa₆, ša₆
𒋇	U+122C7	NONE
𒋗	U+122D7	šu
𒋧	U+122E7	sig₁₀, šum₂
𒋷	U+122F7	NONE
𒈈	U+12208	NONE
𒈘	U+12218	adamin₂
𒈨	U+12228	me, mi₃, šib/šip
𒈸	U+12238	NONE
𒉈	U+12248	gibil₄, izi, ne, šeŋ₆, kum₂, bil/pil, bi₂
𒉘	U+12258	ag̃, ram
𒉨	U+12268	NONE
𒉸	U+12278	NONE
𒊈	U+12288	NONE
𒊘	U+12298	NONE
𒊨	U+122A8	dul, kušu, sumur, šur₂, dul₃
𒊸	U+122B8	NONE
𒋈	U+122C8	NONE
𒋘	U+122D8	NONE
𒋨	U+122E8	NONE
𒋸	U+122F8	NONE
𒈉	U+12209	NONE
𒈙	U+12219	adamin₂
𒈩	U+12229	kišib, mes
𒈹	U+12239	inana, muš₃, suḫ₁₀
𒉉	U+12249	enten
𒉙	U+12259	NONE
𒉩	U+12269	agargara
𒉹	U+12279	NONE
𒊉	U+12289	NONE
𒊙	U+12299	NONE
𒊩	U+122A9	munus, sal, rag, rak, raq, šal
𒊹	U+122B9	šar₂, ŠAR₂
𒋉	U+122C9	NONE
𒋙	U+122D9	šu, šuš₂
