𒋩	U+122E9	sur, śur, šur, ṭìr
𒋹	U+122F9	NONE
𒈊	U+1220A	NONE
𒈚	U+1221A	NONE
𒈪	U+1222A	g̃i, me₂, mi, giggi
𒈺	U+1223A	NONE
𒉊	U+1224A	emeš₂
𒉚	U+1225A	sam₂, sa₁₀
𒉪	U+1226A	nir
𒉺	U+1227A	g̃idru, pa, sig₃, sag₃, ḫad, ḫat, ḫaṭ
𒊊	U+1228A	pirig̃
𒊚	U+1229A	NONE
𒊪	U+122AA	NONE
𒊺	U+122BA	še
𒋊	U+122CA	NONE
𒋚	U+122DA	šaḫ, šiḫ, subur, šubur
𒋪	U+122EA	NONE
𒋺	U+122FA	kid, tak₄
𒈋	U+1220B	NONE
𒈛	U+1221B	sukkal, luḫ, laḫ₃
𒈫	U+1222B	min
𒈻	U+1223B	sed
𒉋	U+1224B	bil₂, gibil
𒉛	U+1225B	sam₂, šam₂
𒉫	U+1226B	adamin₄, lirum₆, urgilim
𒉻	U+1227B	pad, šuku, šukur₂, šutug, kurum₆, pat, paṭ, šug, šuk, šuq
𒊋	U+1228B	NONE
𒊛	U+1229B	NONE
𒊫	U+122AB	NONE
𒊻	U+122BB	uz, us, uṣ
𒋋	U+122CB	NONE
𒋛	U+122DB	se, si, sig₉
𒋫	U+122EB	da₂, ṭa₂, ta
𒋻	U+122FB	sila, ḫaš, kud, kudr, ku₅, tar, kut, qud, qut, sil, šil, ḫaz, ḫas, ḫaṣ, ṭar
𒈌	U+1220C	du₁₄
𒈜	U+1221C	ka₅, nar, paḫ, lul, lib, lub
𒈬	U+1222C	mu, g̃u₁₀
𒈼	U+1223C	NONE
𒉌	U+1224C	i₃, ia₃, suš₂, zal, dig, li₂, ne₂, ni, ṣal
𒉜	U+1225C	NONE
𒉬	U+1226C	akar
𒉼	U+1227C	ban, pan, pana
𒊌	U+1228C	ug, uk, uq
𒊜	U+1229C	NONE
𒊬	U+122AC	kiri, šar, mu
𒊼	U+122BC	NONE
𒋌	U+122CC	NONE
𒋜	U+122DC	su₄, su, dara₄
𒋬	U+122EC	NONE
𒋼	U+122FC	te, ṭe₄, teg̃₃, mul₂, ten
𒈍	U+1220D	NONE
𒈝	U+1221D	lum, num₂, gum₂
𒈭	U+1222D	NONE
𒈽	U+1223D	suku₅, suḫ, muš₂
𒉍	U+1224D	NONE
𒉝	U+1225D	NONE
𒉭	U+1226D	NONE
𒉽	U+1227D	bab, bap, kur₂, pap, kur
𒊍	U+1228D	az, as, aṣ
𒊝	U+1229D	NONE
𒊭	U+122AD	na₅, ša, ša₅
𒊽	U+122BD	NONE
𒋍	U+122CD	NONE
𒋝	U+122DD	sig, sik, siq, šig, šik, šiq
𒋭	U+122ED	lal₃
𒋽	U+122FD	gur₈
𒈎	U+1220E	NONE
𒈞	U+1221E	gumgum, gum
𒈮	U+1222E	mug, muk, muq
𒈾	U+1223E	na
𒉎	U+1224E	em, im, ni₂
𒉞	U+1225E	NONE
𒉮	U+1226E	usan₃
𒉾	U+1227E	gilim₂
𒊎	U+1228E	NONE
𒊞	U+1229E	NONE
𒊮	U+122AE	ša₃, šag₄
𒊾	U+122BE	kiši₆
𒋎	U+122CE	NONE
𒋞	U+122DE	egarₓ, egir₆, murgu, sig₄, šeg₁₂
𒋮	U+122EE	NONE
𒋾	U+122FE	ti, tig̃₄, teg̃₄, til₃, di₃
𒈏	U+1220F	NONE
𒈟	U+1221F	NONE
𒈯	U+1222F	NONE
𒈿	U+1223F	NA₂, NU₂, nu₂, nud
𒉏	U+1224F	elam, nim, num
𒉟	U+1225F	NONE
𒉯	U+1226F	NONE
𒉿	U+1227F	g̃eštug, a₃, pe, pi, wa, we, wi, wu
𒊟	U+1229F	NONE
𒊯	U+122AF	NONE
𒊿	U+122BF	dur₁₀, šen
𒋏	U+122CF	NONE
𒋟	U+122DF	guḫšu
𒋯	U+122EF	NONE
𒋿	U+122FF	NONE
𒌀	U+12300	NONE
𒌐	U+12310	NONE
𒌠	U+12320	NONE
𒌰	U+12330	NONE
𒍀	U+12340	guruš
𒍐	U+12350	NONE
𒍠	U+12360	zag
𒍰	U+12370	NONE
𒎀	U+12380	NONE
𒎐	U+12390	nin, nin₉
𒌁	U+12301	ter, tir
𒌑	U+12311	u₂, šam, u
𒌡	U+12321	NONE
𒌱	U+12331	NONE
𒍁	U+12341	NONE
