𒍑	U+12351	g̃eš₃, g̃eš, g̃iš, nita, us₂, us, uš
𒍡	U+12361	NONE
𒍱	U+12371	NONE
𒎁	U+12381	NONE
𒎑	U+12391	NONE
𒌂	U+12302	NONE
𒌒	U+12312	ar₂, ub/up
𒌢	U+12322	umbin
𒌲	U+12332	NONE
𒍂	U+12342	silig
𒍒	U+12352	kaš₃
𒍢	U+12362	ze₂/ṣe, zi₂/ṣi, ze
𒍲	U+12372	NONE
𒎂	U+12382	NONE
𒎒	U+12392	NONE
𒌃	U+12303	ninni₅
𒌓	U+12313	babbar, u₄, ud, utu, zalag, ḫad₂, aḫ₃, tam, liḫ, par, pir, ut, uṭ, ḫiš
𒌣	U+12323	simug, si₇, umun₂
𒌳	U+12333	NONE
𒍃	U+12343	NONE
𒍓	U+12353	NONE
𒍣	U+12363	se₂, si₂, ze/ṣe₂, zi/ṣi₂, zi, zid, zig₃, zig
𒍳	U+12373	NONE
𒎃	U+12383	NONE
𒎓	U+12393	NONE
𒌄	U+12304	NONE
𒌔	U+12314	aḫ₆, uḫ₂
𒌤	U+12324	de₂, DE₂
𒌴	U+12334	NONE
𒍄	U+12344	NONE
𒍔	U+12354	NONE
𒍤	U+12364	NONE
𒍴	U+12374	NONE
𒎄	U+12384	NONE
𒎔	U+12394	NONE
𒌅	U+12305	tu, ṭu₂, tud, tur₅
𒌕	U+12315	NONE
𒌥	U+12325	NONE
𒌵	U+12335	URI, TILLA
𒍅	U+12345	NONE
𒍕	U+12355	NONE
𒍥	U+12365	zi₃, zid₂
𒍵	U+12375	NONE
𒎅	U+12385	NONE
𒎕	U+12395	NONE
𒌆	U+12306	tug, mur, umuš
𒌖	U+12316	NONE
𒌦	U+12326	kalam, un, ug̃₃
𒌶	U+12336	urin, uru₃
𒍆	U+12346	NONE
𒍖	U+12356	ušₓ(MUNSUB), ušₓ(UŠX)
𒍦	U+12366	zib/ṣib, zip/ṣip, zib
𒍶	U+12376	NONE
𒎆	U+12386	NONE
𒎖	U+12396	NONE
𒌇	U+12307	tug/tuk/tuq, du₁₂, du
𒌗	U+12317	itu, itud, iti, itid, ITI, ITU
𒌧	U+12327	NONE
𒍇	U+12347	ulu₃
𒍗	U+12357	NONE
𒍧	U+12367	NONE
𒍷	U+12377	NONE
𒎇	U+12387	NONE
𒎗	U+12397	NONE
𒌈	U+12308	dam₃/tam₄, dum/tum/ṭum, du₄/tu₄/ṭu₄, eb₂/ep₂, ib₂/ip₂, tim₂, egir₄, ib₂, tum
𒌘	U+12318	NONE
𒌨	U+12328	lig/lik/liq, taš, ur, teš
𒌸	U+12338	NONE
𒍈	U+12348	NONE
𒍘	U+12358	NONE
𒍨	U+12368	ḫaš, zik, ziq
𒍸	U+12378	NONE
𒎈	U+12388	NONE
𒎘	U+12398	umme, eme₂
𒌉	U+12309	banda₃, dumu, tur
𒌙	U+12319	murub₆
𒌩	U+12329	NONE
𒌹	U+12339	NONE
𒍉	U+12349	NONE
𒍙	U+12359	NONE
𒍩	U+12369	ziz₂, aš₂
𒍹	U+12379	NONE
𒎉	U+12389	NONE
𒎙	U+12399	niš, man
𒌊	U+1230A	NONE
𒌚	U+1231A	NONE
𒌪	U+1232A	NONE
𒌺	U+1233A	NONE
𒍊	U+1234A	NONE
𒍚	U+1235A	uzud, ud₅, uz₃
𒍪	U+1236A	su₂, zu/ṣu₂
𒍺	U+1237A	NONE
𒎊	U+1238A	NONE
𒌋	U+1230B	u, šu₄
𒌛	U+1231B	itud₂
𒌫	U+1232B	ur₂, ur
𒌻	U+1233B	NONE
𒍋	U+1234B	NONE
𒍛	U+1235B	NONE
𒍫	U+1236B	NONE
𒍻	U+1237B	NONE
𒎋	U+1238B	NONE
𒌌	U+1230C	ul, du₇
𒌜	U+1231C	NONE
𒌬	U+1232C	NONE
𒌼	U+1233C	NONE
𒍌	U+1234C	NONE
𒍜	U+1235C	NONE
𒍬	U+1236C	NONE
𒍼	U+1237C	gig/kik/qiq, gig, kib₃
𒎌	U+1238C	meš, me-eš
𒌍	U+1230D	ušu₃, eš
