𒌝	U+1231D	UM, um
𒌭	U+1232D	NONE
𒌽	U+1233D	NONE
𒍍	U+1234D	uru₂ /iri/
𒍝	U+1235D	sa₂, za/ṣa
𒍭	U+1236D	NONE
𒍽	U+1237D	NONE
𒎍	U+1238D	NONE
𒌎	U+1230E	NONE
𒌞	U+1231E	NONE
𒌮	U+1232E	NONE
𒌾	U+1233E	NONE
𒍎	U+1234E	banšur
𒍞	U+1235E	NONE
𒍮	U+1236E	ḫaš, ṣu, ṣum
𒍾	U+1237E	NONE
𒎎	U+1238E	na4
𒌏	U+1230F	NONE
𒌟	U+1231F	NONE
𒌯	U+1232F	NONE
𒌿	U+1233F	NONE
𒍏	U+1234F	urud, dab6
𒍟	U+1235F	NONE
𒍯	U+1236F	NONE
𒍿	U+1237F	NONE
𒎏	U+1238F	nin
𒒀	U+12480	NONE
𒒁	U+12481	NONE
𒒂	U+12482	NONE
𒒃	U+12483	NONE
𒒄	U+12484	NONE
𒒅	U+12485	NONE
𒒆	U+12486	NONE
𒒇	U+12487	NONE
𒒈	U+12488	NONE
𒒉	U+12489	NONE
𒒊	U+1248A	NONE
𒒋	U+1248B	NONE
𒒌	U+1248C	NONE
𒒍	U+1248D	NONE
𒒎	U+1248E	NONE
𒒏	U+1248F	NONE
𒒐	U+12490	NONE
𒒑	U+12491	NONE
𒒒	U+12492	NONE
𒒓	U+12493	NONE
𒒔	U+12494	NONE
𒒕	U+12495	NONE
𒒖	U+12496	NONE
𒒗	U+12497	NONE
𒒘	U+12498	NONE
𒒙	U+12499	NONE
𒒚	U+1249A	NONE
𒒛	U+1249B	NONE
𒒜	U+1249C	NONE
𒒝	U+1249D	NONE
𒒞	U+1249E	NONE
𒒟	U+1249F	NONE
𒒠	U+124A0	NONE
𒒡	U+124A1	NONE
𒒢	U+124A2	NONE
𒒣	U+124A3	NONE
𒒤	U+124A4	NONE
𒒥	U+124A5	NONE
𒒦	U+124A6	NONE
𒒧	U+124A7	NONE
𒒨	U+124A8	NONE
𒒩	U+124A9	NONE
𒒪	U+124AA	NONE
𒒫	U+124AB	NONE
𒒬	U+124AC	NONE
𒒭	U+124AD	NONE
𒒮	U+124AE	NONE
𒒯	U+124AF	NONE
𒒰	U+124B0	NONE
𒒱	U+124B1	NONE
𒒲	U+124B2	NONE
𒒳	U+124B3	NONE
𒒴	U+124B4	NONE
𒒵	U+124B5	NONE
𒒶	U+124B6	NONE
𒒷	U+124B7	NONE
𒒸	U+124B8	NONE
𒒹	U+124B9	NONE
𒒺	U+124BA	NONE
𒒻	U+124BB	NONE
𒒼	U+124BC	NONE
𒒽	U+124BD	NONE
𒒾	U+124BE	NONE
𒒿	U+124BF	NONE
𒓀	U+124C0	NONE
𒓁	U+124C1	NONE
𒓂	U+124C2	NONE
𒓃	U+124C3	NONE
𒓄	U+124C4	NONE
𒓅	U+124C5	NONE
𒓆	U+124C6	NONE
𒓇	U+124C7	NONE
𒓈	U+124C8	NONE
𒓉	U+124C9	NONE
𒓊	U+124CA	NONE
𒓋	U+124CB	NONE
𒓌	U+124CC	NONE
𒓍	U+124CD	NONE
𒓎	U+124CE	NONE
𒓏	U+124CF	NONE
𒓐	U+124D0	NONE
𒓑	U+124D1	NONE
𒓒	U+124D2	NONE
𒓓	U+124D3	NONE
𒓔	U+124D4	NONE
𒓕	U+124D5	NONE
