𒓖	U+124D6	NONE
𒓗	U+124D7	NONE
𒓘	U+124D8	NONE
𒓙	U+124D9	NONE
𒓚	U+124DA	NONE
𒓛	U+124DB	NONE
𒓜	U+124DC	NONE
𒓝	U+124DD	NONE
𒓞	U+124DE	NONE
𒓟	U+124DF	NONE
𒓠	U+124E0	NONE
𒓡	U+124E1	NONE
𒓢	U+124E2	NONE
𒓣	U+124E3	NONE
𒓤	U+124E4	NONE
𒓥	U+124E5	NONE
𒓦	U+124E6	NONE
𒓧	U+124E7	NONE
𒓨	U+124E8	NONE
𒓩	U+124E9	NONE
𒓪	U+124EA	NONE
𒓫	U+124EB	NONE
𒓬	U+124EC	NONE
𒓭	U+124ED	NONE
𒓮	U+124EE	NONE
𒓯	U+124EF	NONE
𒓰	U+124F0	NONE
𒓱	U+124F1	NONE
𒓲	U+124F2	NONE
𒓳	U+124F3	NONE
𒓴	U+124F4	NONE
𒓵	U+124F5	NONE
𒓶	U+124F6	NONE
𒓷	U+124F7	NONE
𒓸	U+124F8	NONE
𒓹	U+124F9	NONE
𒓺	U+124FA	NONE
𒓻	U+124FB	NONE
𒓼	U+124FC	NONE
𒓽	U+124FD	NONE
𒓾	U+124FE	NONE
𒓿	U+124FF	NONE
𒔀	U+12500	NONE
𒔁	U+12501	NONE
𒔂	U+12502	NONE
𒔃	U+12503	NONE
𒔄	U+12504	NONE
𒔅	U+12505	NONE
𒔆	U+12506	NONE
𒔇	U+12507	NONE
𒔈	U+12508	NONE
𒔉	U+12509	NONE
𒔊	U+1250A	NONE
𒔋	U+1250B	NONE
𒔌	U+1250C	NONE
𒔍	U+1250D	NONE
𒔎	U+1250E	NONE
𒔏	U+1250F	NONE
𒔐	U+12510	NONE
𒔑	U+12511	NONE
𒔒	U+12512	NONE
𒔓	U+12513	NONE
𒔔	U+12514	NONE
𒔕	U+12515	NONE
𒔖	U+12516	NONE
𒔗	U+12517	NONE
𒔘	U+12518	NONE
𒔙	U+12519	NONE
𒔚	U+1251A	NONE
𒔛	U+1251B	NONE
𒔜	U+1251C	NONE
𒔝	U+1251D	NONE
𒔞	U+1251E	NONE
𒔟	U+1251F	NONE
𒔠	U+12520	NONE
𒔡	U+12521	NONE
𒔢	U+12522	NONE
𒔣	U+12523	NONE
𒔤	U+12524	NONE
𒔥	U+12525	NONE
𒔦	U+12526	NONE
𒔧	U+12527	NONE
𒔨	U+12528	NONE
𒔩	U+12529	NONE
𒔪	U+1252A	NONE
𒔫	U+1252B	NONE
𒔬	U+1252C	NONE
𒔭	U+1252D	NONE
𒔮	U+1252E	NONE
𒔯	U+1252F	NONE
𒔰	U+12530	NONE
𒔱	U+12531	NONE
𒔲	U+12532	NONE
𒔳	U+12533	NONE
𒔴	U+12534	NONE
𒔵	U+12535	NONE
𒔶	U+12536	NONE
𒔷	U+12537	NONE
𒔸	U+12538	NONE
𒔹	U+12539	NONE
𒔺	U+1253A	NONE
𒔻	U+1253B	NONE
𒔼	U+1253C	NONE
𒔽	U+1253D	NONE
𒔾	U+1253E	NONE
𒔿	U+1253F	NONE
𒕀	U+12540	NONE
𒕁	U+12541	NONE
𒕂	U+12542	NONE
𒕃	U+12543	NONE
