U+1228F	𒊏	ẓi, zzi, RA, rah2
U+12337	𒌷	ala, alu, ERI, IRI, RE2, RI2, U19, URU, lu8
U+12245	𒉅	buru5
U+12032	𒀲	ANŠE, šakan3, šaggina 𒄊𒀴
U+12252	𒉒	NINDA2, gur9
U+12000	𒀀	A, AYA2, DURU5, E4, EA, bu4, ya10, ebir3, epir3, eš10, id5, dur5, GI₄, gi4-X, ra-ah, ȧ
U+12010	𒀐	unugi
U+12020	𒀠	AL, bal3, bal4, mah2
U+12030	𒀰	dalhamun5
U+12040	𒁀	BA, ES, be4, pa2, wa2
U+12050	𒁐	bu%bu, unu12
U+12060	𒁠	hulum3
U+12070	𒁰	DAR3, DARA3, durah, tarah
U+12080	𒂀	DUB2
U+12090	𒂐	
U+120A0	𒂠	ŠE3, šè, EGIR2, EŠ2, EŠE2, GI7, GIR15, ḪUĜ, SUMUNX, UB2, ĜIR15, egir2, gi7, eše2, ḫun, éš
U+120B0	𒂰	ASIL, ASILA, ASILAL
U+120C0	𒃀	GA2×BAR+RA
U+120D0	𒃐	GA2×GIR2+SU
U+120E0	𒃠	GANUN, ĝanun, ušuš, GA2×NUN
U+120F0	𒃰	GAD, GADA
U+12001	𒀁	EDURU
U+12011	𒀑	
U+12021	𒀡	bal3
U+12031	𒀱	
U+12041	𒁁	bat, BAD, BE, bara4, barr, bar3, bař, ba9, iri8, mud2, ulal, zu4, mit2, ziz5, mid4
U+12051	𒁑	BULUG, buluĝ, mangara
U+12061	𒁡	UBUR3
U+12071	𒁱	DARA4, durahₓ, durahx, inna, lahar2, u10
U+12081	𒂁	DUK, DUG, epir, ebir, kurun3, lud, lum3, si14, šikin2, urrub, ursub
U+12091	𒂑	
U+120A1	𒂡	ḥir, hir, ASILX, EZEN, IZIN, KEŠDA, SIR3, šir₃, šir3, shir3, ezem, šer3, šìr
U+120B1	𒂱	libin
U+120C1	𒃁	GA2×BUR
U+120D1	𒃑	edakua, halubba, GA₂×HA+LU+EŠ₂, GA2×HA LU EŠ2, GA2×ḪA+LU+EŠ2
U+120E1	𒃡	UR3, ĝušur, GA2×NUN/NUN, ušur
U+120F1	𒃱	GARADINX, KINDA
U+12002	𒀂	AGAM
U+12012	𒀒	
U+12022	𒀢	lidim
U+12042	𒁂	BAG3
U+12052	𒁒	
U+12062	𒁢	UBUR4
U+12072	𒁲	DI, SA2, KE4, si8, silim, sal2
U+12082	𒂂	DUGUD, ĜI25
U+12092	𒂒	
U+120A2	𒂢	ASIL3, ASILA3, ASILAL3
U+120B2	𒂲	lubun
U+120C2	𒃂	GA2×BUR+RA
U+120D2	𒃒	GA2×ḪAL
U+120E2	𒃢	GAZI, SILA4, GA2×PA
U+120F2	𒃲	GAL, qal, rabu
U+12003	𒀃	
U+12013	𒀓	ze4
U+12023	𒀣	
U+12033	𒀳	ABSIN3, APIN, ENGAR, UR11, URU4, UŠ8, ereš4, ussu2, uššu
U+12043	𒁃	ALURAX, BAḪAR2, BAḪAR₂, BAhAR₂, BAhAR2, LAK742, LAK747, muštaptin
U+12053	𒁓	pur, BUR, buru4
U+12063	𒁣	
U+12073	𒁳	DAB, DIB, dib2
U+12083	𒂃	DU8, DUḪ, TUḪ
U+12093	𒂓	
U+120A3	𒂣	SIL7
U+120B3	𒂳	usil
U+120C3	𒃃	GA2×DA
U+120D3	𒃓	GA2×ḪAL+LA
U+120E3	𒃣	AMA5, ARḪUŠ, uš3, ur14, GA2×SAL, GA2×MUNUS
U+120F3	𒃳	
U+12004	𒀄	ZAḪ3
U+12014	𒀔	
U+12024	𒀤	hibira, hibiz2
U+12034	𒀴	ÌR, ARAD, IR3, NITAḪ2, er3, nita2, warad
U+12044	𒁄	pal, BAL, BALA, bul3, balak, bala, kulx, palî
U+12054	𒁔	SUN5, BUR2, bu8
U+12064	𒁤	
U+12074	𒁴	TEM, DIM, tim
U+12084	𒂄	zeh, zul, ŠUL, DUN, dur9, šah₂, šah2, zu7, šahan3, SAH3
U+12094	𒂔	ẓin, zin2, ẓir, zir, żir, BIR4, EDEN, EDIMX, EDIN, RU6, zira, zirai, ẓiru, ziru
U+120A4	𒂤	ASILAL4
U+120B4	𒂴	
U+120C4	𒃄	GA2×DI
U+120D4	𒃔	GA2×ḪI+LI
U+120E4	𒃤	GA2×SAR
U+120F4	𒃴	GALAM, SUKUD, ubi
U+12005	𒀅	isiš3, šeš3
U+12015	𒀕	UNUG, GUN4, erim5, iri11, eri11, urugal₂, urugal2, nu7
U+12025	𒀥	dubal
U+12035	𒀵	ARAD2, IR11
U+12045	𒁅	
U+12055	𒁕	idi, DA, ta2, ṭa, dârî
U+12065	𒁥	UBUR2
U+12075	𒁵	MUN
U+12085	𒂅	DUN3, TUN3, du5, šiḳil
U+12095	𒂕	EGIR, EĜER, EĜIR, arku
U+120A5	𒂥	
U+120B5	𒂵	uga, GA, GUR11, KA3, QA2, gar9, ebir4, QÁ
U+120C5	𒃅	GA2×DIM
U+120D5	𒃕	GA2×ḪUB2
U+120E5	𒃥	ARAḪ3, ESAG2, esaĝ2, esag2, esaĝ, usi, GA2×ŠE
U+120F5	𒃵	GAM, GUR2, GURUM
U+12006	𒀆	šedu3
U+12016	𒀖	AB2, LID, ÁB
U+12026	𒀦	bal4, dubal2
U+12036	𒀶	ARGAB, ARKAB2
U+12046	𒁆	takax, BALAG, BALAĜ, bulug5, buluĝ5, dim6, dimx, lumha
U+12056	𒁖	dak, DAG, PAR3, barag2, tag2
U+12066	𒁦	AMAŠ, UTUA2, kisim3, udul3, utuwa2
U+12076	𒁶	KIM, DIM2, GIM, GIN7, šidim, šitim, bânîm
U+12086	𒂆	DUN3@g, AGA3, AĜA3, GIN2, giĝ4
U+12096	𒂖	el, EL, SIKIL, il5
U+120A6	𒂦	BAD3, UG5, uĝ5, un3, u9
U+120B6	𒂶	gara₂, gara2
U+120C6	𒃆	emedub, GA2×DUB
U+120D6	𒃖	bara10, sabad3, GA2×IGI gunû
U+120E6	𒃦	esaĝtur, GA2×ŠE+TUR
U+120F6	𒃶	GAN, ḪE2, KAN, gam4, sag7
U+12007	𒀇	AMUŠ
U+12017	𒀗	LILIZ
U+12027	𒀧	IL
U+12037	𒀷	ASALX
U+12047	𒁇	war, BAR, EŠ₂, ŠA₆, pa9, sed4, nimbar
U+12057	𒁗	
U+12067	𒁧	
U+12077	𒁷	tin, tén, DIN, DON, kurun2
U+12087	𒂇	DUN3@g@g, MIR, AGA, rid, NIMGIR
U+12097	𒂗	siq, sig, bel, Bêl, EN, RU12, uru16, urunx, adi
U+120A7	𒂧	
U+120B7	𒂷	BA4, DAN2, GA2, ĜA2, ĜE26, MA3, PISAĜ, bisag, bisaĝ, bisan, mal
