A	α	Α	ʔ	Ⲁ	1	𓂣	𐤀	一	א	ܐ	ﺍ	ﺍ	አ	А	а	āl'ep	aurox	Arm	Arm	𒀀	𒈨	吖/阿	ᚨ 	*ansuz 	Æsir	ALPA	𐎀	A	א
B	β	Β	β	Ⲃ	2	𓃀	𐤁	二	ב	ܒ	با	ﺏ	በ	Б	б	bēt	bett	Bein	Bein	 𒁇 	𒁁	匕/卜比 北阝	ᛒ 	*berkanan 	birch	BEThA : Bδ / δB (step)  	𐎁	B/V/δ:?	ב
C	ζ	Ζ		Ⲥ	3	𓍿	𐤂	三	ג	ܓ	چا	ﺝ	ገ	Г	г	gīml	camel	Ceh	Ceh	𒄑 	𒃰	厂/寸	ᚲ 	*cenaz	ctorch	CHAIN 	𐎙	C	ג
D	δ	Δ		Ⲇ	4	𓂧	𐤃	四	ד	ܕ	دا	د	ደ	Д	д	dālet	door	Droit	Daum	𒆕	𒌓	刀/刂	ᛞ 	*dagaz 	day	DHAL/DELTA	𐎏 𐎄	D δ / B?	ד
E	ε	Ε		Ⲉ	5	𓇋	𐤄	五	ה	ܗ	يي	ه	ሀ	Е	е	hē	fEnster	fEther	End	𒂊	𒂊	噩	ᛖ 	*ehwaz 	horse	hE / HO	𐎅	E	ה
F	ƒ	Ƒ	pʰ	Ⲋ	6	𓆑	𐤅	六	ו	ܘ	فا	ﻭ	ወ	Ѵ	ѵ	vāw	f-hook	ƒython	Füße	𒉺	𒉺	父 	ᚠ 	*fehu 	wealth	ƒI	𐎛	F	ו
G	γ	Γ		Ⲅ	7	𓎼	𐤂	七	ג	ܓ	قا	ﺝ	ገ	Ґ	ґ	gīml	gcamel	Ɠübel	G	𒂷	𒂷	产	ᚷ 	*gebō 	gift	GAMLA	𐎂	G / C	ג
H	η	Η	ħ	Ϩ	8	𓉔	𐤇	八	ח	ܚ	حا	ح	ሐ	И	и	ḥēt 	hall	House	Hals	𒄷	𒌨	戶	ᚻ	*haglaz	hail	HOTA	𐎈	H	ח
I	ι	Ι		Ϫ	9	𓇋	𐤉	九	י	ܝ	 يا	ي	የ	Ї	ї	iōd	i-hand?	vIeder	Ioder	𒄿	𒄿 	一	ᛁ 	*īsaz 	ice	I   ƒI	𐎛	I : EE	י
J	ῖ	Ι͂		Ⲓ 	10	𓆳	𐤉	什	י	ܝ	 جو	ي	የ	Ї	ј	jōd	j-hand?	Jana	Joder	𒐊	𒐊	亅	ᛇ 	*jeīwaz 	yew	JOD	𐎊	J : Y	י
K	κ	Κ	kʰ	Ϧ	20	𓎡	𐤊	٠,	כך	ܟ	كا	ﻙ	ከ	К	к	kāp	khand	Korb	Kap	𒋡	𒋡	犭	ᚲ 	*kenaz	kHand	KHA KAF	𐎃 𐎋	K Cth Tß <>S	כך
