,,Santakku,SantakkuM,UllikummiA,,Santaku M=OLD Ullikumi,,,,,,,,,,,,,,,,,,,,,,,,,,,
*an,𒀭,𒀭,𒀭,𒀭,AST/ER þAN|*AMA  𒀭DE*i Dinger s'DON,Astar*x, Ast!, Ähre, Ehre, Herr, All=Il !!!!! QED   𒀮NAB/P? 𒀯 MUL.ti *,𒀯SUns / MULti   𒋙Shu ŠÚ.AN 𒀭 <> s'Duan ÉN    vs 𒋬 sTA=*asterisk*  𒈨=𒀀𒀭 est,am,sein   𒀭𒋾DIVINITY ~ DINGITY, 𒁈 BARA 𓇳 ☉ ☼ ☀ 🌣🌞🌤😎 BALL BAAL,,,,,,,,,,,,,,,,,,
[_], 𒀹,,,,𒀺 |  𒁹  𐎟,[space]   <> 5/10?? = 𒌋 , 𒁹 old assyrian word divider,,𐎟,𐏐,,,,,,,,,,,,,,,,,,,,,,,
dash ⚲ ain/an/IN 𓈖 ein ♂, 𒁹 , 𒁹 , 𒁹 , 𒁹 ,I 1 AIN!   𓈖 ana 𓅱 ein ♂  𒁹 -on -us -os Jan das ⚲ *wuan,𓈖 DIŠ '1' dash  𒁹 G/GEŠ2 '60'  𒁹 ein: masculine,1 𒁹    2𒋰𐎕  3𒑗𒀀𒀼𒐁  4𒍝𒑓𒐼𒐾𒐿 5𒄿 𒑔𒑕𒐊 6𒐋 7𒐌 8𒐍 9𒑉 𒑆  1/3𒑚  1/4𒑠 1/8 𒑟,𒁹𒆪 aIḪ:ICH! ,,,,,,,,,,,,,,,,,,,,,,,,,
as/aR 𓂋 ain/an/IN 𓈖 eine ♀,𒀸,𒀸,𒀸,𒀸,I 1 EINES! 𓈖 ina 𓅱 eine ♀ 𒀸 -in -as  YI,aî AinS eins  |  𓂋 𒀸 -in -ess '-t' fem.in.ine!! 𓏏𓋴 KöchIN!,yi 𒀹𒀺𒀼𒐁𒌍𒀾 as~eins 1 𒌀 uhn 𒉌ni𒃻2 mini,𒄩aha𒆹𒌨hau  𒊬𒊒=Zar,,,,,,,,,,,,,,,,,,,,,,,,,
tar, has,𒋻,𒋻,𒋻,𒋻,𒋻qut𓂨,cut𒃰𒌓,𒋻 'has' has 7 meanings  Tar*mat? vs 𒌓Tam Uhrtit,𐎜𐎂𐎗𐎚,has 7 meanings! sab sîb? 𒐁3 𒃵GAM 𒅂IDIM <> 𒀭?,,,,,,,,,,,,,,,,,,,,,,,
a / me / ne | nu,𒈨,𒈨 𒉡,𒈨 𒉡,𒈨 𒉡,𒅆≠𒈨 I 𓂣AM *sei 𓂜MO / NO 𒉡   𒈨𒌍MEŠ ≠𒈠, 𒈨Maat~𒈨Law LA¬  da to be 𒈨=𒀀𒀭 estar,I'am,sein ,𒈨𒌍 = M+ES=mes,mas=more 𒈨𒌍 AS! A+S plural τοῖς τάς... OK DUAL τοῖν -iN!,*UN:  𒌌u.gud,ni.gal = ¬𒄞 = far!,,,,,,,,,,,,,,,,,,,,,
igi,𒅆,𒅆,𒅆,𒅆,𒈨≠𒅆Igi:vEye/see face! vs I.aM 𒈨 vs voi,wa𒉿,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a ea o,𒀀,𒀀,𒀀,𒀀,PA→VA!, A, AB, EA, eau, O! pha 𐎀 A 𐎡E/I 𐎠Ar ,eau = water!   𒀁=𒀀𒀀=AI,AY,I,Y~𓇌 𒀀𒀀=abba=papa  𒀀💧:𒀊 abyssea  𒀪aḫ:ox:alpha-bull!   𒌷𒉌𒉡𒀀 Kur.NineVa,A aplu abzu=abyssea mû MEŠ water  mwA !! mesut:heir! AN/IN ! vs 3𒑗  𒀀𒀀=ø'ø=aNOt! ¬,𒀁Aa passion: a-as-si-ya = love a-as-ta: rest, pass eaten-se=they-eat warum? vatta voier=äu''er',𐎀 A,𐎡E/I 𐎠Ar,,,,,,,,,,,,,,
BAD be / *pen,𒁁,𒁁,𒁁,𒁁,BAD𓃀 POD vs 𒑖4 die𓏱,Baut𓊅 pen:open! 𓃀 𒋰~di𒁁𒁁bi=𒁉 KAŠ.Bier  𒋰dab:double!,bein vs 𒁀Ba  <> Bi~𒁁=𒁉bier BI=DI=2=die/the,muert<>word?,,,,,,,,,,,,,,,,,,,,,,,,,
