Genesis/Genesis_1-1,In the beginning God created the heavens and the earth.,4.9
Genesis/Genesis_1-2,Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,8.5
Genesis/Genesis_1-3,"God said, ""Let there be light,"" and there was light.",4.2
Genesis/Genesis_1-4,"God saw the light, and saw that it was good. God divided the light from the darkness.",6.1
Genesis/Genesis_1-5,"God called the light Day, and the darkness he called Night. There was evening and there was morning, one day.",7.3
Genesis/Genesis_1-6,"God said, ""Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.""",7.4
Genesis/Genesis_1-7,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",7.8
Genesis/Genesis_1-8,"God called the expanse sky. There was evening and there was morning, a second day.",6.5
Genesis/Genesis_1-9,"God said, ""Let the waters under the sky be gathered together to one place, and let the dry land appear;"" and it was so.",9.3
Genesis/Genesis_1-10,"God called the dry land Earth, and the gathering together of the waters he called Seas. God saw that it was good.",8.3
Genesis/Genesis_1-11,"God said, ""Let the earth put forth grass, herbs yielding seed, and fruit trees bearing fruit after their kind, with its seed in it, on the earth;"" and it was so.",10.8
Genesis/Genesis_1-12,"The earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, with its seed in it, after their kind; and God saw that it was good.",10.6
Genesis/Genesis_1-13,"There was evening and there was morning, a third day.",3.7
Genesis/Genesis_1-14,"God said, ""Let there be lights in the expanse of sky to divide the day from the night; and let them be for signs, and for seasons, and for days and years;",11.0
Genesis/Genesis_1-15,"and let them be for lights in the expanse of sky to give light on the earth;"" and it was so.",5.5
Genesis/Genesis_1-16,"God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.",9.5
Genesis/Genesis_1-17,"God set them in the expanse of sky to give light to the earth,",4.0
Genesis/Genesis_1-18,"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.",7.2
Genesis/Genesis_1-19,"There was evening and there was morning, a fourth day.",4.1
Genesis/Genesis_1-20,"God said, ""Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open expanse of sky.""",10.0
Genesis/Genesis_1-21,"God created the large sea creatures, and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.",12.4
Genesis/Genesis_1-22,"God blessed them, saying, ""Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.""",8.2
Genesis/Genesis_1-23,"There was evening and there was morning, a fifth day.",3.7
Genesis/Genesis_1-24,"God said, ""Let the earth bring forth living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;"" and it was so.",10.5
Genesis/Genesis_1-25,"God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.",10.5
Genesis/Genesis_1-26,"God said, ""Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.""",16.7
Genesis/Genesis_1-27,God created man in his own image. In God's image he created him; male and female he created them.,7.8
Genesis/Genesis_1-28,"God blessed them. God said to them, ""Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.""",14.0
