SigLA Linear A tablet texts rendered in Unicode
================================================

DATA TYPE AND COVERAGE
Actual tablet/document sign sequences derived from SigLA's scholarly sign-attestation
dataset, not a character inventory and not a translation. This snapshot was generated
2026-07-25 and contains 802 SigLA documents. SigLA reports that all Linear A
tablets listed in GORILA are present, plus selected other document types and newer finds.
Each row preserves the SigLA document identifier, metadata, sign order, approximate word
grouping, Unicode glyph sequence, scholarly display readings, GORILA sign identifiers,
roles, and source links.

METHOD AND LIMITATIONS
The Unicode sequence is a derivative rendering: each classified SigLA GORILA sign ID was
mapped to its identically named Unicode 17.0 Linear A character. Uncertain readings retain
"?" in the ID/reading fields. [SIGN-ID] in the Unicode field marks an unclassified,
unreadable, or not-directly-encoded sign; it is deliberately not guessed. Spaces reflect
SigLA's word/role grouping, but line layout, two-dimensional placement, numerals not tagged
as sign attestations, erasures, damage, and palaeographic variants cannot be fully preserved
in plain text. Consult each source URL and drawing for the authoritative context. Linear A
is undeciphered; display readings are conventional approximate values, not translations.

PROVENANCE, ATTRIBUTION, AND LICENSE
Derived from SigLA: The Signs of Linear A, by Ester Salgarella and Simon Castellan.
Dataset snapshot source: https://sigla.phis.me/
Coverage/change log: https://sigla.phis.me/about.html
Dataset documentation: https://sigla.phis.me/paper.html
SigLA dataset and drawings license: Creative Commons Attribution-NonCommercial-ShareAlike
4.0 International (CC BY-NC-SA 4.0):
https://creativecommons.org/licenses/by-nc-sa/4.0/
This transformed Unicode transcription is distributed under the same CC BY-NC-SA 4.0
license. Changes made: selected textual metadata/sign attestations, ordered occurrences,
mapped GORILA IDs to Unicode 17.0 code points, and serialized as UTF-8 TSV. No drawings or
GORILA page images are included.
Unicode mapping source: https://www.unicode.org/Public/17.0.0/ucd/UnicodeData.txt
Unicode data license: https://www.unicode.org/license.txt
INSCRIBE viewer (3D models; no direct alignment asserted here):
https://www.inscribercproject.com/3d_viewer_home.php

FORMAT
Tab-separated UTF-8. One record per document. A "-" value means SigLA did not supply it.

document	type	site	period	signs_reported	words_reported	occurrences_extracted	unicode_encoded	unicode_sequence	scholarly_reading	gorila_sign_ids	roles	sigla_url	corpus_url
ARKH 1a	Tablet	Arkhanes	LM I	18	6	18	17	𐘳𐘢 𐘌 𐘸 𐘇𐘴 𐘇𐘲𐘻𐙈 𐘗 𐘇𐘂[?] 𐘻𐘸𐘞𐘗	ta-pi AB16 ki a-ra a-su-mi-*118 AB24 a-pa-? mi-ki-sa-ne	AB59-AB39 AB16 AB67 AB08-AB60 AB08-AB58-AB73-AB118 AB24 AB08-AB03-? AB73-AB67-AB31-AB24	Syllabogram,Syllabogram | Logogram | Syllabogram | Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram | Logogram | Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram	https://sigla.phis.me/document/ARKH%201a/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=26
ARKH 1b	Tablet	Arkhanes	LM I	5	4	5	5	𐘇 𐘱𐘙 𐘰 𐘅	a ja-re *56 na	AB08 AB57-AB27 AB56 AB06	Syllabogram | Syllabogram,Syllabogram | Syllabogram | Syllabogram	https://sigla.phis.me/document/ARKH%201b/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=28
ARKH 2	Tablet	Arkhanes	LM I	23	6	23	23	𐘤𐘀𐘃 𐙂𐘴𐙎 𐘇𐘤𐘀𐘄𐘚 𐙀𐙕𐘈𐘦𐘐𐙈 𐘇𐘲𐘫𐘮 𐘘𐘻	si-da-te ku-ra-*131b a-si-da-to-i *79-A301-se-de-qif-*118 a-su-pu-wa ru-mi	AB41-AB01-AB04 AB81-AB60-AB131b AB08-AB41-AB01-AB05-AB28 AB79-A301-AB09-AB45-AB21f-AB118 AB08-AB58-AB50-AB54 AB26-AB73	Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram	https://sigla.phis.me/document/ARKH%202/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=30
ARKH 3a	Tablet	Arkhanes	LM I	12	3	12	11	𐘾𐘗 [AB120b]𐙋𐙎𐙩 𐘸𐘯 𐙉𐙩𐙢 𐙂	ka-ne AB120/GRAb-AB122/OLIV-AB131/VINb-A317 ki-nu AB120/GRA-A317-A312 ku	AB77-AB24 AB120b-AB122-AB131b-A317 AB67-AB55 AB120-A317-A312 AB81	Syllabogram,Syllabogram | Logogram,Logogram,Logogram,Logogram | Syllabogram,Syllabogram | Logogram,Logogram,Logogram | Syllabogram	https://sigla.phis.me/document/ARKH%203a/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=32
ARKH 3b	Tablet	Arkhanes	LM I	9	2	9	7	[?]𐘱𐘢 𐙉 𐘢𐙦 𐙉[AB302]𐙍	?-ja-pi AB120/GRA pi-A314 AB120/GRA-AB302/OLE-AB131/VINa	?-AB57-AB39 AB120 AB39-A314 AB120-AB302-AB131a	Syllabogram,Syllabogram,Syllabogram | Logogram | Syllabogram,Syllabogram | Logogram,Logogram,Logogram	https://sigla.phis.me/document/ARKH%203b/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=34
ARKH 4a	Tablet	Arkhanes	LM I	19	5	19	14	[?]𐘝𐘳 𐘳 𐘙 𐘇[?][?]𐘶 𐘦𐘲[?]𐘨𐘃 𐘢𐘠𐘗𐘇[?]	?-ni-ta ta AB27 a-?-?-ju de-su-?-*47-te pi-ti-ne-a-?	?-AB30-AB59 AB59 AB27 AB08-?-?-AB65 AB45-AB58-?-AB47-AB04 AB39-AB37-AB24-AB08-?	Syllabogram,Syllabogram,Syllabogram | Syllabogram | Logogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram,Syllabogram,Syllabogram	https://sigla.phis.me/document/ARKH%204a/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=36
ARKH 4b	Tablet	Arkhanes	LM I	13	6	13	12	[?]𐘙 𐘉 𐘦𐘻 𐘚𐘨 𐘇𐘸𐘁 𐘍𐘤𐙀	?-re u de-mi i-*47 a-ki-ro za-si-*79	?-AB27 AB10 AB45-AB73 AB28-AB47 AB08-AB67-AB02 AB17-AB41-AB79	Syllabogram,Syllabogram | Syllabogram | Syllabogram,Syllabogram | Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram	https://sigla.phis.me/document/ARKH%204b/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=38
ARKH 5	Tablet	Arkhanes	LM I	11	3	11	11	𐘇𐘬𐘝𐘳𐘅 𐘇𐘀𐘁 𐙉𐙎 𐘇	a-du-ni-ta-na a-da-ro AB120/GRA-AB131/VINb a	AB08-AB51-AB30-AB59-AB06 AB08-AB01-AB02 AB120-AB131b AB08	Syllabogram,Syllabogram,Syllabogram,Syllabogram,Syllabogram | Syllabogram,Syllabogram,Syllabogram | Logogram,Logogram | Syllabogram	https://sigla.phis.me/document/ARKH%205/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=40
ARKH 6	Tablet	Arkhanes	LM I	6	3	6	5	𐘀𐘅𐘹 𐙂 [?]𐘭	da-na-tu ku ?-ri	AB01-AB06-AB69 AB81 ?-AB53	Syllabogram,Syllabogram,Syllabogram | Syllabogram | Syllabogram,Syllabogram	https://sigla.phis.me/document/ARKH%206/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=42
ARKH 7	Tablet	Arkhanes	LM I	2	1	2	1	[?] 𐙜	? A308	? A308	Syllabogram | Logogram	https://sigla.phis.me/document/ARKH%207/	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=42
