Linear A Unicode character reference
====================================

DATA TYPE
This is a Unicode character reference, not a transcription of individual
Linear A tablets. It contains every assigned Linear A character in Unicode
17.0, with the literal encoded character, code point, and normative Unicode
character name.

LIMITATION / TABLET TRANSCRIPTIONS
The INSCRIBE 3D Interactive Web Viewer provides 3D models and metadata, but its
public viewer does not provide downloadable Unicode transcriptions of those
tablets. SigLA provides a scholarly, searchable corpus of Linear A documents
and sign attestations (CC BY-NC-SA 4.0), but its project description identifies
full transliteration and Unicode transcription as planned additions rather
than current tablet-level Unicode data. Consequently, this file does not claim
to reproduce or align the signs on any particular INSCRIBE model.

For tablet-level study, use SigLA's document corpus alongside the 3D viewer.
The character table below can then be used to encode signs that have secure
Unicode correspondences. Linear A is undeciphered; character names such as
AB001 and A301 are catalog identifiers, not translations.

PROVENANCE AND RIGHTS
- Unicode Character Database 17.0.0, UnicodeData.txt:
  https://www.unicode.org/Public/17.0.0/ucd/UnicodeData.txt
- Unicode Linear A code chart (U+10600-U+1077F):
  https://www.unicode.org/charts/PDF/U10600.pdf
- Unicode Core Specification, Linear A:
  https://www.unicode.org/versions/Unicode17.0.0/core-spec/chapter-8/#G26736
- Unicode Terms of Use / Data Files and Software License:
  https://www.unicode.org/license.txt
- INSCRIBE 3D Interactive Web Viewer:
  https://www.inscribercproject.com/3d_viewer_home.php
- INSCRIBE project description:
  https://site.unibo.it/inscribe/en/output/3d-model-viewer
- SigLA corpus:
  https://sigla.phis.me/
- SigLA project description (including present/future transcription status):
  https://sigla.phis.me/paper.html
- SigLA dataset license: CC BY-NC-SA 4.0
  https://creativecommons.org/licenses/by-nc-sa/4.0/

Generated from the normative UnicodeData.txt names. UnicodeData itself is
provided under the Unicode data-files license cited above. No SigLA dataset,
INSCRIBE model, or copyrighted GORILA transcription is copied into this file.

FORMAT
character<TAB>code_point<TAB>unicode_name

𐘀	U+10600	LINEAR A SIGN AB001
𐘁	U+10601	LINEAR A SIGN AB002
𐘂	U+10602	LINEAR A SIGN AB003
𐘃	U+10603	LINEAR A SIGN AB004
𐘄	U+10604	LINEAR A SIGN AB005
𐘅	U+10605	LINEAR A SIGN AB006
𐘆	U+10606	LINEAR A SIGN AB007
𐘇	U+10607	LINEAR A SIGN AB008
𐘈	U+10608	LINEAR A SIGN AB009
𐘉	U+10609	LINEAR A SIGN AB010
𐘊	U+1060A	LINEAR A SIGN AB011
𐘋	U+1060B	LINEAR A SIGN AB013
𐘌	U+1060C	LINEAR A SIGN AB016
𐘍	U+1060D	LINEAR A SIGN AB017
𐘎	U+1060E	LINEAR A SIGN AB020
𐘏	U+1060F	LINEAR A SIGN AB021
𐘐	U+10610	LINEAR A SIGN AB021F
𐘑	U+10611	LINEAR A SIGN AB021M
𐘒	U+10612	LINEAR A SIGN AB022
𐘓	U+10613	LINEAR A SIGN AB022F
𐘔	U+10614	LINEAR A SIGN AB022M
𐘕	U+10615	LINEAR A SIGN AB023
𐘖	U+10616	LINEAR A SIGN AB023M
𐘗	U+10617	LINEAR A SIGN AB024
𐘘	U+10618	LINEAR A SIGN AB026
𐘙	U+10619	LINEAR A SIGN AB027
𐘚	U+1061A	LINEAR A SIGN AB028
𐘛	U+1061B	LINEAR A SIGN A028B
𐘜	U+1061C	LINEAR A SIGN AB029
𐘝	U+1061D	LINEAR A SIGN AB030
𐘞	U+1061E	LINEAR A SIGN AB031
𐘟	U+1061F	LINEAR A SIGN AB034
𐘠	U+10620	LINEAR A SIGN AB037
𐘡	U+10621	LINEAR A SIGN AB038
𐘢	U+10622	LINEAR A SIGN AB039
𐘣	U+10623	LINEAR A SIGN AB040
𐘤	U+10624	LINEAR A SIGN AB041
𐘥	U+10625	LINEAR A SIGN AB044
𐘦	U+10626	LINEAR A SIGN AB045
𐘧	U+10627	LINEAR A SIGN AB046
𐘨	U+10628	LINEAR A SIGN AB047
𐘩	U+10629	LINEAR A SIGN AB048
𐘪	U+1062A	LINEAR A SIGN AB049
𐘫	U+1062B	LINEAR A SIGN AB050
𐘬	U+1062C	LINEAR A SIGN AB051
𐘭	U+1062D	LINEAR A SIGN AB053
𐘮	U+1062E	LINEAR A SIGN AB054
𐘯	U+1062F	LINEAR A SIGN AB055
𐘰	U+10630	LINEAR A SIGN AB056
𐘱	U+10631	LINEAR A SIGN AB057
𐘲	U+10632	LINEAR A SIGN AB058
𐘳	U+10633	LINEAR A SIGN AB059
𐘴	U+10634	LINEAR A SIGN AB060
𐘵	U+10635	LINEAR A SIGN AB061
𐘶	U+10636	LINEAR A SIGN AB065
𐘷	U+10637	LINEAR A SIGN AB066
𐘸	U+10638	LINEAR A SIGN AB067
𐘹	U+10639	LINEAR A SIGN AB069
𐘺	U+1063A	LINEAR A SIGN AB070
𐘻	U+1063B	LINEAR A SIGN AB073
𐘼	U+1063C	LINEAR A SIGN AB074
𐘽	U+1063D	LINEAR A SIGN AB076
𐘾	U+1063E	LINEAR A SIGN AB077
𐘿	U+1063F	LINEAR A SIGN AB078
𐙀	U+10640	LINEAR A SIGN AB079
𐙁	U+10641	LINEAR A SIGN AB080
𐙂	U+10642	LINEAR A SIGN AB081
𐙃	U+10643	LINEAR A SIGN AB082
𐙄	U+10644	LINEAR A SIGN AB085
𐙅	U+10645	LINEAR A SIGN AB086
𐙆	U+10646	LINEAR A SIGN AB087
𐙇	U+10647	LINEAR A SIGN A100-102
𐙈	U+10648	LINEAR A SIGN AB118
𐙉	U+10649	LINEAR A SIGN AB120
𐙊	U+1064A	LINEAR A SIGN A120B
𐙋	U+1064B	LINEAR A SIGN AB122
𐙌	U+1064C	LINEAR A SIGN AB123
𐙍	U+1064D	LINEAR A SIGN AB131A
𐙎	U+1064E	LINEAR A SIGN AB131B
𐙏	U+1064F	LINEAR A SIGN A131C
𐙐	U+10650	LINEAR A SIGN AB164
𐙑	U+10651	LINEAR A SIGN AB171
𐙒	U+10652	LINEAR A SIGN AB180
𐙓	U+10653	LINEAR A SIGN AB188
𐙔	U+10654	LINEAR A SIGN AB191
𐙕	U+10655	LINEAR A SIGN A301
𐙖	U+10656	LINEAR A SIGN A302
𐙗	U+10657	LINEAR A SIGN A303
𐙘	U+10658	LINEAR A SIGN A304
𐙙	U+10659	LINEAR A SIGN A305
𐙚	U+1065A	LINEAR A SIGN A306
𐙛	U+1065B	LINEAR A SIGN A307
𐙜	U+1065C	LINEAR A SIGN A308
𐙝	U+1065D	LINEAR A SIGN A309A
𐙞	U+1065E	LINEAR A SIGN A309B
𐙟	U+1065F	LINEAR A SIGN A309C
𐙠	U+10660	LINEAR A SIGN A310
𐙡	U+10661	LINEAR A SIGN A311
𐙢	U+10662	LINEAR A SIGN A312
𐙣	U+10663	LINEAR A SIGN A313A
𐙤	U+10664	LINEAR A SIGN A313B
𐙥	U+10665	LINEAR A SIGN A313C
𐙦	U+10666	LINEAR A SIGN A314
𐙧	U+10667	LINEAR A SIGN A315
𐙨	U+10668	LINEAR A SIGN A316
𐙩	U+10669	LINEAR A SIGN A317
𐙪	U+1066A	LINEAR A SIGN A318
𐙫	U+1066B	LINEAR A SIGN A319
𐙬	U+1066C	LINEAR A SIGN A320
𐙭	U+1066D	LINEAR A SIGN A321
