count	word	most_common_signs
46	te	𐘃
41	si	𐘤
37	a	𐘇
37	ku-ro	𐙂𐘁
36	i	𐘚
33	ku	𐙂
31	ka	𐘾
30	ki	𐘸
30	ta	𐘳
27	re	𐘙
26	na	𐘅
25	ma	𐙁
23	pa	𐘂
22	di	𐘆
20	mi	𐘻
20	ti	𐘠
19	ja	𐘱
19	ru	𐘘
19	•ne	𐘗
18	sa-ra₂	𐘞𐘽
16	ki-ro	𐘸𐘁
16	u	𐘉
15	su	𐘲
14	ra	𐘴
14	se	𐘈
13	•qa	𐘌
12	qe	𐘿
11	a-du	𐘇𐘬
11	pi	𐘢
11	ro	𐘁
10	•zu	𐙀
9	du	𐘬
9	nu	𐘯
8	za	𐘍
7	da-re	𐘀𐘙
7	ku-•nü-nu	𐙂𐘰𐘯
7	ra₂	𐘽
7	ri	𐘭
7	•dwo	𐙈
6	i-da	𐘚𐘀
6	ka-pa	𐘾𐘂
6	ma-di	𐙁𐘆
6	me	𐘋
6	sa-ru	𐘞𐘘
6	ta₂	𐘷
6	•nü	𐘰
5	a-ra	𐘇𐘴
5	a-se	𐘇𐘈
5	de	𐘦
5	di-na-u	𐘆𐘅𐘉
5	ja-sa	𐘱𐘞
5	ko	𐘺
5	na-si	𐘅𐘤
5	pu	𐘫
5	wi	𐘣
4	a-pa	𐘇𐘂
4	a-ri	𐘇𐘭
4	da-me	𐘀𐘋
4	da-ri-da	𐘀𐘭𐘀
4	i-pi-na-ma	𐘚𐘢𐘅𐙁
4	ja-sa-sa-ra-me	𐘱𐘞𐘞𐘴𐘋
4	je-di	𐘧𐘆
4	ku-pa	𐙂𐘂
4	mu	𐘕
4	pa-ja-re	𐘂𐘱𐘙
4	qif-•dwo	𐘐𐙈
4	sa-ma	𐘞𐙁
4	sa-ro	𐘞𐘁
4	si-ru-te	𐘤𐘘𐘃
4	ta-na-ti	𐘳𐘅𐘠
4	u-na-ka-na-si	𐘉𐘅𐘾𐘅𐘤
3	a-ka-ru	𐘇𐘾𐘘
3	a-ma	𐘇𐙁
3	a-si	𐘇𐘤
3	a-ta	𐘇𐘳
3	da-i	𐘀𐘚
3	da-ku	𐘀𐙂
3	da-qe-ra	𐘀𐘿𐘴
3	da-si-•dwo	𐘀𐘤𐙈
3	di-de-ru	𐘆𐘦𐘘
3	di-di	𐘆𐘆
3	di-na	𐘆𐘅
3	i-se	𐘚𐘈
3	ja-sa-sa	𐘱𐘞𐘞
3	ja-si	𐘱𐘤
3	je	𐘧
3	ka-ku-pa	𐘾𐙂𐘂
3	ke	𐘥
3	ki-re-ta-na	𐘸𐘙𐘳𐘅
3	ku-ni	𐙂𐘝
3	ku-ni-su	𐙂𐘝𐘲
3	l	𐝈
3	mi-nu-te	𐘻𐘯𐘃
3	pa-de	𐘂𐘦
3	pa-se-ja	𐘂𐘈𐘱
3	pa-ta-ne	𐘂𐘳𐘗
3	qif-tu-ne	𐘐𐘹𐘗
3	ra-me	𐘴𐘋
3	re-za	𐘙𐘍
3	si-ru	𐘤𐘘
3	te-ri	𐘃𐘭
3	te-tu	𐘃𐘹
3	to	𐘄
3	•nü-ni-na	𐘰𐘝𐘅
2	a-ja	𐘇𐘱
2	a-mi	𐘇𐘻
2	a-re	𐘇𐘙
2	a-ru	𐘇𐘘
2	a-si-ja-ka	𐘇𐘤𐘱𐘾
2	a-ta-na	𐘇𐘳𐘅
2	au-si-re	𐙄𐘤𐘙
2	di-ki-se	𐘆𐘸𐘈
2	du-re-za	𐘬𐘙𐘍
2	du-re-za-se	𐘬𐘙𐘍𐘈
2	i-da-ma-te	𐘚𐘀𐙁𐘃
2	i-ja	𐘚𐘱
2	i-ka	𐘚𐘾
2	i-na	𐘚𐘅
2	i-pi-na-mi-na	𐘚𐘢𐘅𐘻𐘅
2	i-si	𐘚𐘤
2	ja-ja	𐘱𐘱
2	ja-qif	𐘱𐘐
2	ja-sa-sa-ra	𐘱𐘞𐘞𐘴
2	ka-di	𐘾𐘆
2	ka-ki	𐘾𐘸
2	ka-na	
2	ka-ru	𐘾𐘘
2	ki-da-ro	𐘸𐘀𐘁
2	ki-ri-ta₂	𐘸𐘭𐘷
2	ku-mi-na-qe	𐙂𐘻𐘅𐘿
2	ku-ra	𐙂𐘴
2	ku-re	𐙂𐘙
2	ku-re-ju	𐙂𐘙𐘶
2	ku-•zu-ni	𐙂𐙀𐘝
2	ma-ju	𐙁𐘶
2	ma-re	𐙁𐘙
2	ma-ru	𐙁𐘘
2	ma-ru-me	𐙁𐘘𐘋
2	ma-si	𐙁𐘤
2	me-za	𐘋𐘍
2	mi-da	𐘻𐘀
2	mi-na	𐘻𐘅
2	mi-tu	𐘻𐘹
2	mu-ru	𐘕𐘘
2	ne-mi-na	𐘗𐘻𐘅
2	ne-ti	𐘗𐘠
2	ni-ta	𐘝𐘳
2	nu-ro	𐘯𐘁
2	nu-te	𐘯𐘃
2	nu-ti	𐘯𐘠
2	nu-wi	𐘯𐘣
2	pa-i-to	𐘂𐘚𐘄
2	pa-ra	𐘂𐘴
2	pa-ra-ne	𐘂𐘴𐘗
2	pa-se	𐘂𐘈
2	pi-sa	𐘢𐘞
2	po-to-ku-ro	𐘊𐘄𐙂𐘁
2	pu-ra₂	𐘫𐘽
2	qa-nu-ma	𐘌𐘯𐙁
2	qa-•dwo	𐘌𐙈
2	qe-de-mi-nu	𐘿𐘦𐘻𐘯
2	qe-ka	𐘿𐘾
2	qe-pu	𐘿𐘫
2	qe-si-•zu-e	𐘿𐘤𐙀𐘡
2	re-ti	𐘙𐘠
