count	length	glyphs	codes	example_records
6	3	𛿺 𜅘 𛿺	M218 M295 M218	P008006, P008049, P008049, P008065
5	3	𜀈 𛿺 𜄱	M219 M218 M288	P008103, P008140, P008221, P008580
5	3	𜈱 𛷪 𜌓	M340 M054 M388	P009190, P009211, P009237, P009238
4	3	𛷶 𛹧 𜊩	M057 M099 M371	P008053, P008144, P008477, P009382
4	3	𜂼 𜂼 𛹜	M262 M262 M096	P008054, P008205, P008365, P008521
4	3	𜂁 𛵓 𜊩	M251 M009 M371	P008064, P008085, P008392, P008666
4	3	𜊛 𜊽 𛻃	M370 M376 M124	P008105, P008429, P008432, P008490
4	3	𜆡 𜌓 𛿺	M305 M388 M218	P008135, P008813, P368601, P368601
4	3	𛹬 𛵅 𛿺	M102 M004 M218	P008188, P008242, P008521, P272827
4	3	𜌓 𜉇 𜊩	M388 M347 M371	P008644, P008672, P008999, P009017
4	3	𜆡 𛶹 𛷱	M305 M041 M056	P008796, P008798, P008799, P008800
3	5	𜌓 𜋏 𜀂 𜉇 𜋀	M388 M380 M218+M320 M347 M377	P008307, P008403, P008532
3	5	𛸗 𜉕 𛿺 𜂣 𛿺	M066 M352 M218 M259 M218	P008957, P009225, P368483
3	4	𛿺 𜂣 𜊩 𜀕	M218 M259 M371 M223	P008005, P008271, P008438
3	4	𜌓 𛷶 𜋾 𛿺	M388 M057 M387 M218	P008082, P008216, P008644
3	4	𜌓 𛸗 𜀈 𛿺	M388 M066 M219 M218	P008103, P008185, P009002
3	4	𛻃 𜃁 𛺌 𛸗	M124 M263 M109 M066	P008105, P008867, P009185
3	4	𛼢 𛵅 𜃁 𛿺	M146 M004 M263 M218	P008108, P008271, P008271
3	4	𛹤 𛵅 𛿺 𜃁	M097 M004 M218 M263	P008137, P008138, P009156
3	3	𛵮 𛵅 𛿺	M024 M004 M218	P008005, P008332, P009373
3	3	𜀞 𛶃 𛿺	M226 M032 M218	P008021, P008069, P008628
3	3	𛵅 𛿺 𜄱	M004 M218 M288	P008026, P008188, P008332
3	3	𜌓 𛼢 𜊩	M388 M146 M371	P008038, P008133, P368482
3	3	𜊩 𜈫 𛿺	M371 M332 M218	P008040, P008108, P008188
3	3	𛹤 𛿺 𜁺	M097 M218 M250	P008043, P008077, P008136
3	3	𜌓 𛷶 𜀰	M388 M057 M240	P008046, P008112, P009330
3	3	𜆄 𜅵 𛷶	M301 M296+M296 M057	P008053, P008353, P009177
3	3	𛵓 𜊩 𜄱	M009 M371 M288	P008060, P008666, P009089
3	3	𜂔 𜆄 𜅵	M254 M301 M296+M296	P008081, P009177, P009229
3	3	𜌓 𛿺 𜋸	M388 M218 M386	P008084, P008310, P009258
3	3	𛷋 𛹜 𜄱	M048 M096 M288	P008085, P008236, P008688
3	3	𜊛 𜊽 𛸧	M370 M376 M072	P008104, P008105, P008105
3	3	𜉕 𛹤 𛿺	M352 M097 M218	P008105, P008144, P008254
3	3	𛼢 𛸗 𛹜	M146 M066 M096	P008135, P008161, P008636
3	3	𛵓 𜂣 𛿺	M009 M259 M218	P008136, P009014, P009014
3	3	𜂣 𛿺 𜃁	M259 M218 M263	P008139, P009014, P009041
3	3	𛿺 𛵅 𛿺	M218 M004 M218	P008144, P008958, P009257
3	3	𛼌 𜌓 𛿺	M139 M388 M218	P008152, P008202, P008784
3	3	𛿯 𛻃 𜄱	M217 M124 M288	P008159, P008437, P008621
3	3	𛷶 𛸃 𛷶	M057 M058 M057	P008186, P008444, P009156
3	3	𛵮 𜌕 𛿺	M024 M390 M218	P008271, P234794, P368536
3	3	𜄖 𛹜 𜄱	M281 M096 M288	P008296, P008688, P009338
3	3	𜋾 𛿺 𜄱	M387 M218 M288	P008307, P008438, P008942
3	3	𛶃 𜋾 𛿺	M032 M387 M218	P008310, P008310, P008438
3	3	𜌓 𛸗 𛸗	M388 M066 M066	P008318, P008338, P009552
3	3	𜂼 𜂣 𛿺	M262 M259 M218	P008430, P008447, P008688
3	3	𜋀 𛿺 𜄱	M377 M218 M288	P008431, P008688, P368481
3	3	𜌓 𜀺 𜉇	M388 M242 M347	P008490, P008688, P008892
3	3	𜃁 𛿺 𜄱	M263 M218 M288	P008635, P008914, P009336
3	3	𛼌 𛶃 𜉈	M139 M032 M348	P008659, P008659, P008711
3	3	𜉇 𛷶 𛿺	M347 M057 M218	P008967, P009242, P368480
3	3	𜆡 𜌓 𜂔	M305 M388 M254	P008973, P272825, P368485
3	3	𛷊 𛶈 𜃁	M047 M033 M263	P009014, P009014, P009014
3	3	𛷋 𛶈 𜌓	M048 M033 M388	P009041, P009041, P368507
3	3	𜌓 𛻛 𛿺	M388 M131 M218	P009220, P272825, P368485
2	5	𜆡 𜌓 𛻌 𛻌 𛹜	M305 M388 M128 M128 M096	P008003, P008137
2	5	𜌓 𛸗 𜉕 𜊛 𛿺	M388 M066 M352 M370 M218	P008098, P009412
2	5	𜆡 𜌓 𜀰 𛹤 𛵅	M305 M388 M240 M097 M004	P008137, P008163
2	5	𜌓 𛻌 𛻌 𛹜 𜃁	M388 M128 M128 M096 M263	P008137, P008978
2	5	𛺑 𜌓 𜉇 𜋀 𛿺	M111 M388 M347 M377 M218	P008157, P008919
2	5	𛽹 𛿺 𜂣 𛿺 𜄱	M175 M218 M259 M218 M288	P008221, P008688
2	5	𜌓 𛵮 𛶈 𜊩 𜇟	M388 M024 M033 M371 M317	P008310, P008310
2	5	𛾥 𛼫 𛼌 𜌓 𜃁	M195+M057 M147 M139 M388 M263	P008727, P008728
2	5	𜌓 𛻜 𛵅 𜃁 𛿺	M388 M131+M388 M004 M263 M218	P009032, P009032
2	5	𜅊 𜌓 𛼢 𛶃 𜈫	M292 M388 M146 M032 M332	P009191, P009207
2	5	𜆡 𜌓 𛼢 𛹤 𛵅	M305 M388 M146 M097 M004	P009277, P272825
2	5	𜌓 𛼢 𛹤 𛵅 𛿺	M388 M146 M097 M004 M218	P272825, P368480
2	4	𜆌 𜋾 𛵓 𜃋	M302 M387 M009 M264	P008003, P009279
2	4	𜌓 𛺍 𜀺 𛹜	M388 M110 M242 M096	P008013, P009338
2	4	𛻌 𜋀 𜉇 𜊩	M128 M377 M347 M371	P008013, P008260
2	4	𜋾 𜋾 𛷪 𜌓	M387 M387 M054 M388	P008022, P009180
2	4	𜌓 𛶃 𜅸 𜄱	M388 M032 M297 M288	P008026, P009207
2	4	𛿺 [M009 ≈ M035M09 ≈ M3] 𛵅 𛿺	M218 M009 ≈ M035M09 ≈ M3 M004 M218	P008026, P368604
2	4	𛻃 𛷋 𛵓 𜊩	M124 M048 M009 M371	P008037, P009183
2	4	𛻃 𜋸 𛵮 𜊩	M124 M386 M024 M371	P008060, P008087
2	4	𜌓 𜂁 𛷋 𛹜	M388 M251 M048 M096	P008085, P008720
2	4	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P008105, P008355
2	4	𜊩 𛵓 𜊩 𛵁	M371 M009 M371 M003	P008105, P008125
2	4	𛼰 𜌓 𛿺 𜅘	M149 M388 M218 M295	P008105, P009185
2	4	𛵅 𜃁 𛿺 𜉈	M004 M263 M218 M348	P008108, P008291
2	4	𜌓 𛸗 𜉕 𛿺	M388 M066 M352 M218	P008109, P008957
2	4	𜃁 𜋾 𛸗 𜄱	M263 M387 M066 M288	P008122, P008417
2	4	𛾥 𜌓 𜌕 𜀈	M195+M057 M388 M390 M219	P008140, P368595
2	4	𜋀 𜋸 𜀰 𛹜	M377 M386 M240 M096	P008144, P009249
2	4	𜋾 𜋾 𜌓 𜌕	M387 M387 M388 M390	P008147, P234794
2	4	𛺑 𜌓 𜋾 𜇩	M111 M388 M387 M318	P008182, P008959
2	4	𜌓 𛿺 𜈩 𜌓	M388 M218 M329 M388	P008184, P009376
2	4	𜋀 𜉇 𜊩 𜄱	M377 M347 M371 M288	P008184, P008688
2	4	𛴺 𜌓 𜉇𛴆 𜊩	M001 M388 M347+N14 M371	P008185, P008185
2	4	𛴺 𜌓 𜂔 𜂔	M001 M388 M254 M254	P008185, P008185
2	4	𛶃 𜈫 𛷶 𜄱	M032 M332 M057 M288	P008186, P009191
2	4	𜃁 𜉇 𜀈 𛹪	M263 M347 M219 M101	P008205, P008812
2	4	𛺹 𜀺 𛹜 𜌓	M122 M242 M096 M388	P008216, P008634
2	4	𛵮 𛶈 𜊩 𜄱	M024 M033 M371 M288	P008221, P008328
2	4	𜀰 𜃁 𛷋 𛹜	M240 M263 M048 M096	P008234, P008529
2	4	𜌓 𜀈 𛷋 𛹜	M388 M219 M048 M096	P008236, P009375
2	4	𛻃 𜋸 𜀰 𛹜	M124 M386 M240 M096	P008271, P008612
2	4	𜌓 𛵓 𜇩 𜊩	M388 M009 M318 M371	P008292, P008515
2	4	𛻃 𜃁 𛷋 𜇏	M124 M263 M048 M314	P008292, P008292
2	4	𛿺 𛷋 𜀰 𛷶	M218 M048 M240 M057	P008292, P008430
2	4	𛿺 𜂣 𜃁 𜈩	M218 M259 M263 M329	P008312, P009412
2	4	𜋸 𜀰 𛹜 𜄱	M386 M240 M096 M288	P008351, P009249
2	4	𛸗 𜉕 𜇔 𜅸	M066 M352 M315 M297	P008431, P009439
2	4	𛼢 𜋀 𜉇 𜊩	M146 M377 M347 M371	P008448, P009318
2	4	𛹸 𛸗 𜉕 𛹜	M103 M066 M352 M096	P008621, P368483
2	4	𜈙 𛽹𛾳 𜅊 𜄱	M327 M175+M203 M292 M288	P008621, P368483
2	4	𜌓 𛻇 𛹬 𛹜	M388 M125 M102 M096	P008626, P368507
2	4	𛵮 𜇩 𜇩 𜊩	M024 M318 M318 M371	P008960, P009088
2	4	𛵅 𜃁 𛿺 𜃁	M004 M263 M218 M263	P008987, P009032
2	4	𛻜 𛹪 𛸗 𜃁	M131+M388 M101 M066 M263	P009156, P009356
2	4	𜌓 𛵓 𛵅 𛿺	M388 M009 M004 M218	P009240, P272825
2	4	𛻃 𜇩 𛵓 𜊩	M124 M318 M009 M371	P009257, P009257
2	4	𜌓 𛻌 𜋾 𛿺	M388 M128 M387 M218	P009262, P368478
2	4	𜌓 𛹤 𛵅 𛿺	M388 M097 M004 M218	P368478, P368485
2	3	𛸗 𜀈 𛹪	M066 M219 M101	P008004, P008688
2	3	𜀈 𛹪 𛹪	M219 M101 M101	P008004, P008205
2	3	𜇩 𜊩 𜅸	M318 M371 M297	P008005, P009196
2	3	𜋸 𜀮 𛹜	M386 M230 M096	P008005, P009258
