rank	count	glyph	base	variants
1	761	𜄱	M288	𜄱M288×739, 𜄽M288~i×7, 𜄸M288~d×4, 𜄵M288~a×3, 𜄺M288~f×3, 𜄻M288~g×2, 𜄶M288~b×1, 𜄼M288~h×1, 𜄹M288~e×1
2	287	𜅸	M297	𜅸M297×207, 𜅻M297~b×67, 𜆀M297~d×10, 𜅽M297~bc×2, 𜅺M297~a×1
3	236	𜈽	M346	𜈽M346×202, 𜉄M346~b×10, 𜈿M346~a×10, 𜉆M346~d×5, 𜈾M346~1×4, 𜉅M346~c×2, 𜉃M346~a4×1, 𜉁M346~a2×1, 𜉂M346~a3×1
4	202	𛿺	M218	𛿺M218×197, 𜀄M218~b×3, 𜀇M218~g×2
5	185	𜃁	M263	𜃁M263×89, 𜃃M263~a×45, 𜃆M263~b1×30, 𜃅M263~b×9, 𜃇M263~e×7, 𜃈M263~f×2, 𜃉M263~g×1, 𜃂M263~1×1, 𜃄M263~a1×1
6	168	𛷪	M054	𛷪M054×144, 𛷰M054~i×20, 𛷮M054~b×2, 𛷯M054~c×2
7	155	𜊽	M376	𜊽M376×145, 𜊿M376~b×6, 𜊾M376~a×4
8	130	𜊩	M371	𜊩M371×124, 𜊬M371~c×3, 𜊪M371~a×2, 𜊭M371~d×1
9	124	𜊊	M367	𜊊M367×74, 𜊏M367~c×14, 𜊋M367~a×9, 𜊔M367~i×9, 𜊓M367~g×6, 𜊐M367~d×4, 𜊑M367~e×3, 𜊌M367~a1×2, 𜊎M367~b×2, 𜊒M367~f×1
10	109	𜉠	M354	𜉠M354×109
11	106	𛹜	M096	𛹜M096×95, 𛹣M096~d×4, 𛹟M096~3×3, 𛹝M096~1×2, 𛹢M096~c×1, 𛹞M096~2×1
12	101	𛶎	M036	𛶎M036×100, 𛶞M036~a×1
13	94	𛵓	M009	𛵓M009×88, 𛵙M009~g×2, 𛵗M009~e×1, 𛵘M009~f×1, 𛵚M009~h×1, 𛵛M009~i×1
14	88	𛸧	M072	𛸧M072×86, 𛸨M072~a×2
15	86	𛻃	M124	𛻃M124×83, 𛻅M124~b×1, 𛻆M124~c×1, 𛻄M124~a×1
16	83	𛸗	M066	𛸗M066×65, 𛸘M066~a×17, 𛸛M066~g×1
17	80	𛵁	M003	𛵂M003~b×68, 𛵁M003×9, 𛵄M003~c×3
18	77	𜌓	M388	𜌓M388×77
19	77	𜋾	M387	𜋾M387×42, 𜌐M387~l×13, 𜌁M387~c×8, 𜋿M387~a×5, 𜌂M387~ca×2, 𜌆M387~ef×2, 𜌋M387~h×2, 𜌄M387~ee×1, 𜌎M387~i×1, 𜌍M387~hb×1
20	74	𛴺	M001	𛴺M001×72, 𛴽M001~b×2
21	65	𛾾	M206	𛿃M206~g×25, 𛾿M206~d×25, 𛿂M206~fa×6, 𛿁M206~f×5, 𛿇M206~j×2, 𛾾M206~b×2
22	64	𜃪	M269	𜃳M269~b×22, 𜃰M269~a1×11, 𜃪M269×10, 𜃯M269~a×7, 𜃴M269~c×4, 𜃫M269~1×3, 𜃱M269~a2×2, 𜃭M269~3×2, 𜃬M269~2×2, 𜃲M269~a3×1
23	64	𛵜	M010	𛵞M010~2×37, 𛵜M010×11, 𛵢M010~6×7, 𛵝M010~1×3, 𛵡M010~5×2, 𛵟M010~3×2, 𛵠M010~4×1, 𛵣M010~7×1
24	63	𛶃	M032	𛶃M032×60, 𛶄M032~a×2, 𛶅M032~b×1
25	62	𛶔	M036+N30D	𛶔M036+N30D×62
26	61	𜊲	M373	𜊲M373×52, 𜊳M373~a×9
27	57	𜂧	M260	𜂧M260×36, 𜂨M260~1×18, 𜂴M260~b×2, 𜂲M260~a×1
28	50	𛷶	M057	𛷶M057×29, 𛷸M057~a×13, 𛷼M057~b×3, 𛷺M057~a2×2, 𛷻M057~a4×1, 𛸀M057~f×1, 𛸂M057~n×1
29	49	𜃋	M264	𜃋M264~a×24, 𜃎M264~b×10, 𜃌M264~a1×6, 𜃐M264~d×6, 𜃑M264~d1×3
30	49	𜁃	M243	𜁏M243~j×18, 𜁃M243×8, 𜁈M243~e×5, 𜁉M243~ee×4, 𜁄M243~aa×3, 𜁍M243~h×3, 𜁆M243~b×3, 𜁅M243~ac×1, 𜁎M243~i×1, 𜁋M243~f×1, 𜁌M243~g×1, 𜁇M243~c×1
31	46	𛺄	M106	𛺉M106~a×26, 𛺄M106×19, 𛺊M106~b×1
32	42	𛵉	M006	𛵉M006×33, 𛵈M005~a×5, 𛵋M006@g~1×2, 𛵐M007~b×1, 𛵌M006@g~2×1
33	42	𛷱	M056	𛷳M056~f×31, 𛷱M056×11
34	41	𛴾	M002	𛴾M002×32, 𛵀M002~b×9
35	37	𛸅	M059	𛸅M059×30, 𛸉M059~d×4, 𛸈M059~b×2, 𛸌M059~g×1
36	37	𛹬	M102	𛹱M102~e×22, 𛹮M102~d×8, 𛹬M102~a×4, 𛹵M102~k2×1, 𛹰M102~da×1, 𛹷M102~m×1
37	36	𜇟	M317	𜇟M317×35, 𜇢M317~a×1
38	36	𜆽	M309	𜆾M309~a×27, 𜇁M309~d×5, 𜆽M309×4
39	36	𜉮	M362	𜉮M362×20, 𜊁M362~a×13, 𜊂M362~b×3
40	34	𜃓	M265	𜃗M265~f×15, 𜃓M265×10, 𜃕M265~2×3, 𜃔M265~1×3, 𜃖M265~e×1, 𜃝M265~l×1, 𜃜M265~k×1
41	31	𛼰	M149	𛼰M149~a×18, 𛼲M149~a2×6, 𛼷M149~h×3, 𛼴M149~c×2, 𛼱M149~a1×1, 𛼵M149~d×1
42	30	𛸳	M075	𛸼M075~o×8, 𛸺M075~k×6, 𛸻M075~m×5, 𛸷M075~g×4, 𛸶M075~ff×2, 𛸵M075~e×2, 𛸴M075~ab×1, 𛸳M075~a×1, 𛸹M075~h×1
43	30	𛷇	M046	𛷇M046×30
44	28	𛾳	M203	𛾳M203~a×19, 𛾴M203~c×6, 𛾵M203~d×2, 𛾶M203~e×1
45	28	𜊅	M365	𜊅M365×25, 𜊇M365~c×1, 𜊆M365~a×1, 𜊈M365~d×1
46	28	𛻰	M136	𛻾M136~i×6, 𛻸M136~c×6, 𛼀M136~k×3, 𛻶M136~a×3, 𛻰M136×2, 𛼇M136~r×2, 𛼃M136~n×1, 𛻷M136~b×1, 𛻿M136~j×1, 𛻽M136~h×1, 𛼋M136~w×1, 𛼊M136~u×1
47	26	𜊛	M370	𜊛M370×22, 𜊠M370~b×2, 𜊥M370~d×1, 𜊦M370~da×1
48	26	𛼙	M145	𛼙M145×12, 𛼜M145~bb×5, 𛼡M145~n×2, 𛼠M145~f×2, 𛼟M145~e×2, 𛼛M145~b×2, 𛼝M145~c×1
49	25	𜇶	M320	𜇶M320×25
