rank	count	glyph	code	base
1	739	𜄱	M288	M288
2	207	𜅸	M297	M297
3	202	𜈽	M346	M346
4	197	𛿺	M218	M218
5	145	𜊽	M376	M376
6	144	𛷪	M054	M054
7	124	𜊩	M371	M371
8	109	𜉠	M354	M354
9	100	𛶎	M036	M036
10	95	𛹜	M096	M096
11	89	𜃁	M263	M263
12	88	𛵓	M009	M009
13	86	𛸧	M072	M072
14	83	𛻃	M124	M124
15	77	𜌓	M388	M388
16	74	𜊊	M367	M367
17	72	𛴺	M001	M001
18	68	𛵂	M003~b	M003
19	67	𜅻	M297~b	M297
20	65	𛸗	M066	M066
21	62	𛶔	M036+N30D	M036+N30D
22	60	𛶃	M032	M032
23	52	𜊲	M373	M373
24	45	𜃃	M263~a	M263
25	42	𜋾	M387	M387
26	37	𛵞	M010~2	M010
27	36	𜂧	M260	M260
28	35	𜇟	M317	M317
29	33	𛵉	M006	M006
30	32	𛴾	M002	M002
31	31	𛷳	M056~f	M056
32	30	𛷇	M046	M046
33	30	𜃆	M263~b1	M263
34	30	𛸅	M059	M059
35	29	𛷶	M057	M057
36	27	𜆾	M309~a	M309
37	26	𛺉	M106~a	M106
38	25	𜇶	M320	M320
39	25	𜊅	M365	M365
40	25	𛿃	M206~g	M206
41	25	𛾿	M206~d	M206
42	24	𜃋	M264~a	M264
43	23	𜌗	M391	M391
44	23	𜉈	M348	M348
45	22	𜊛	M370	M370
46	22	𛹪	M101	M101
47	22	𜃳	M269~b	M269
48	22	𜆛	M304	M304
49	22	𛹱	M102~e	M102
50	21	𜆡	M305	M305
51	20	𛺹	M122	M122
52	20	𜉮	M362	M362
53	20	𛷰	M054~i	M054
54	19	𛾳	M203~a	M203
55	19	𛺄	M106	M106
56	18	𛼰	M149~a	M149
57	18	𜂨	M260~1	M260
58	18	𜁏	M243~j	M243
59	18	𛽆	M153	M153
60	17	𛸘	M066~a	M066
61	17	𜀈	M219	M219
62	16	𛵇	M005	M005
63	16	𜅴	M296	M296
64	15	𜊵	M374~c	M374
65	15	𜀕	M223	M223
66	15	𜃗	M265~f	M265
67	15	𛹿	M105~a	M105
68	15	𛸠	M069~a	M069
69	14	𜈒	M325	M325
70	14	𜊏	M367~c	M367
71	13	𜃟	M266~b	M266
72	13	𛶏	M036+N14	M036+N14
73	13	𛷸	M057~a	M057
74	13	𜌐	M387~l	M387
75	13	𜊁	M362~a	M362
76	13	𛹌	M081	M081
77	12	𜊯	M372	M372
78	12	𛼙	M145	M145
79	11	𛽹	M175	M175
80	11	𜋊	M379	M379
81	11	𛵜	M010	M010
