chain_id	record	start_step	end_step	run_length	codes	glyphs
1	P008295	1	7	7	M269~b/M106~a/M009/M206~g/M102~e/M309~a/M362+M059~d	𜃳 𛺉 𛵓 𛿃 𛹱 𜆾 𜉴
1	P008295	1	7	7	M269~3/M106~a/M009/M206~g/M102~e/M309~a/M362+M099~b	𜃭 𛺉 𛵓 𛿃 𛹱 𜆾 𜉵
1	P008283	1	6	6	M269/M106~a/M009/M206~g/M102~e/M309~a	𜃪 𛺉 𛵓 𛿃 𛹱 𜆾
1	P008283	1	6	6	M269/M106/M009/M206~g/M102~e/M309~a	𜃪 𛺄 𛵓 𛿃 𛹱 𜆾
1	P008283	2	7	6	M106/M009/M206~g/M102~e/M309~a/M362+M244	𛺄 𛵓 𛿃 𛹱 𜆾 𜉹
1	P008283	1	6	6	M269~1/M106/M009/M206~g/M102~e/M309~a	𜃫 𛺄 𛵓 𛿃 𛹱 𜆾
1	P008295	1	6	6	M269~a2/M106~a/M009/M206~g/M102~e/M309~a	𜃱 𛺉 𛵓 𛿃 𛹱 𜆾
1	P008295	2	7	6	M106~a/M009/M206~g/M102~e/M309~a/M362+M059~d	𛺉 𛵓 𛿃 𛹱 𜆾 𜉴
1	P008295	2	7	6	M106/M009/M206~g/M102~e/M309~a/M362+M244	𛺄 𛵓 𛿃 𛹱 𜆾 𜉹
1	P008283	3	7	5	M009/M206~g/M102~e/M309~a/M362+M384~a	𛵓 𛿃 𛹱 𜆾 𜊀
1	P008283	1	5	5	M269~1/M106~a/M009/M206~g/M102~e	𜃫 𛺉 𛵓 𛿃 𛹱
1	P008283	3	7	5	M009/M206~g/M102~e/M309~a/M362+M383~c	𛵓 𛿃 𛹱 𜆾 𜉿
1	P008283	2	6	5	M106/M009/M206~g/M102~e/M309~a	𛺄 𛵓 𛿃 𛹱 𜆾
1	P008295	2	6	5	M106/M009/M206~g/M102~e/M309~a	𛺄 𛵓 𛿃 𛹱 𜆾
1	P008295	2	6	5	M106/M009/M206~g/M102~e/M309~a	𛺄 𛵓 𛿃 𛹱 𜆾
1	P008295	2	6	5	M106/M009/M206~g/M102~e/M309~a	𛺄 𛵓 𛿃 𛹱 𜆾
1	P008295	1	5	5	M269/M106~a/M009/M206~g/M102~e	𜃪 𛺉 𛵓 𛿃 𛹱
1	P008283	4	7	4	M206~g/M102~e/M309~a/M362+M059	𛿃 𛹱 𜆾 𜉳
1	P008283	3	6	4	M009/M206~g/M102~e/M309~a	𛵓 𛿃 𛹱 𜆾
1	P008295	2	5	4	M106~a/M009/M206~g/M102~e	𛺉 𛵓 𛿃 𛹱
1	P008283	1	3	3	M269/M106/M009	𜃪 𛺄 𛵓
1	P008283	5	7	3	M102~e/M309~a/M362+M123~b	𛹱 𜆾 𜉶
1	P008295	2	4	3	M106/M009/M206~g	𛺄 𛵓 𛿃
1	P008349	1	3	3	M269~c/M106~a/M009	𜃴 𛺉 𛵓
1	P008349	1	3	3	M269~c/M106~a/M009	𜃴 𛺉 𛵓
1	P008788	1	3	3	M269~2/M106/M009	𜃬 𛺄 𛵓
1	P008788	1	3	3	M269~a/M106/M009	𜃯 𛺄 𛵓
1	P008939	2	4	3	M106~a/M009/M206~g	𛺉 𛵓 𛿃
1	P008939	4	6	3	M206~g/M102~d/M309~a	𛿃 𛹮 𜆾
1	P008283	2	3	2	M106~a/M009	𛺉 𛵓
1	P008295	5	6	2	M102~e/M309~a	𛹱 𜆾
1	P008380	2	3	2	M106~a/M009	𛺉 𛵓
1	P008674	1	2	2	M269~a1/M106~a	𜃰 𛺉
1	P008674	1	2	2	M269~a/M106~a	𜃯 𛺉
1	P008674	1	2	2	M269~a1/M106~a	𜃰 𛺉
1	P008674	1	2	2	M269~a/M106~a	𜃯 𛺉
1	P008674	1	2	2	M269~a1/M106	𜃰 𛺄
1	P008788	1	2	2	M269~2/M106	𜃬 𛺄
2	P008069	1	3	3	M285~c/M386~a/M219	𜄧 𜋺 𜀈
2	P008271	1	2	2	M285~k/M386~a	𜄪 𜋺
2	P008319	2	3	2	M386~a/M219	𜋺 𜀈
3	P008284	1	3	3	M367/M346~c/M006	𜊊 𜉅 𛵉
3	P008294	1	3	3	M367~a/M346~a/M006@g	𜊋 𜈿 𛵊
3	P008294	1	3	3	M367/M346/M006	𜊊 𜈽 𛵉
3	P008294	1	3	3	M367~a/M346~a/M006@g	𜊋 𜈿 𛵊
3	P008294	1	3	3	M367~a/M346~a/M006@g	𜊋 𜈿 𛵊
3	P008359	1	3	3	M367~c/M346~a2/M006	𜊏 𜉁 𛵉
3	P009125	1	3	3	M367/M346/M006@g~2	𜊊 𜈽 𛵌
3	P008007	2	3	2	M346/M005~a	𜈽 𛵈
3	P008223	1	2	2	M367/M346	𜊊 𜈽
3	P008294	1	2	2	M367/M346	𜊊 𜈽
3	P008294	1	2	2	M367/M346	𜊊 𜈽
3	P008294	2	3	2	M346/M006	𜈽 𛵉
3	P008294	1	2	2	M367/M346	𜊊 𜈽
3	P008294	2	3	2	M346~a/M006@g	𜈿 𛵊
3	P008294	1	2	2	M367/M346	𜊊 𜈽
3	P008294	1	2	2	M367/M346	𜊊 𜈽
