rank	net_flow	base	glyph
1	227	M157	𛽔
2	16	M136	𛻰
3	15	M305	𜆡
4	15	M327	𜈙
5	12	M388	𜌓
6	11	M327+M342	𜈟
7	11	M036+N30D	𛶔
8	11	M210	𛿙
9	9	M059	𛸅
10	8	M377	𜋀
11	8	M264	𜃋
12	6	M321	𜇼
13	6	M384	𜋨
14	6	M112	𛺣
15	6	M367	𜊊
16	6	M260	𜂧
17	6	M259	𜂣
18	5	M370+M072	𜊛𛸧
19	5	M374	𜊴
20	5	M153	𛽆
21	5	M247	𜁞
22	5	M269	𜃪
23	5	M362	𜉮
24	5	M136+M365	𛻳
25	4	M320	𜇶
26	4	M057	𛷶
27	4	M370+M388	𜊛𜌓
28	4	M096	𛹜
29	3	M024	𛵮
30	3	M370+M388+M370	𜊟
31	3	M106+M288	𛺄𜄱
32	3	M099	𛹧
33	3	M061	𛸍
34	2	M193	𛾚
35	2	M352	𜉕
36	2	M075	𛸳
37	2	M001	𛴺
38	2	M325	𜈒
39	2	M332	𜈫
40	2	M073	𛸩
41	2	M285	𜄤
42	2	M386	𜋸
43	2	M296	𜅴
44	2	M328	𜈧
45	2	M039	𛶭
46	2	M051	𛷣
47	2	M036+N30C	𛶒
48	2	M175	𛽹
49	2	M294	𜅗
50	2	M175+M288	𛾄
51	2	M261	𜂵
52	2	M298	𜆁
53	2	M036+N24	𛶐
54	2	M105	𛹾
55	2	M131+M388	𛻜
56	2	M062	𛸐
57	2	M312	𜇇
58	2	M372	𜊯
59	2	M278	𜄉
60	2	M069	𛸠
61	2	M176	𛾍
62	2	M052	𛷦
63	2	M383	𜋜
64	2	M377+M377	𜋂
65	2	M290	𜅂
66	1	M391	𜌗
67	1	M038	𛶡
68	1	M311	𜇄
69	1	M370	𜊛
70	1	M217	𛿯
71	1	M243	𜁃
72	1	M314	𜇏
73	1	M145	𛼙
74	1	M370+M046+M370	𜊜
75	1	M010	𛵜
76	1	M265	𜃓
77	0	M005	𛵇
78	0	M263	𜃁
79	0	M302	𜆌
80	0	M340	𜈱
81	0	M139	𛼌
82	0	M318	𜇩
83	0	M317	𜇟
84	0	M097	𛹤
85	0	M041	𛶹
86	0	M295	𜅘
87	0	M262	𜂼
88	0	M242	𜀺
89	0	M347	𜉇
90	0	M223	𜀕
91	0	M036+N14	𛶏
92	0	M268	𜃦
93	0	M047	𛷊
94	0	M036+N39C	𛶙
95	0	M362+M244	𜉹
96	0	M101	𛹪
97	0	M125	𛻇
98	0	M228	𜀢
99	0	M286	𜄭
100	0	M377+M320+M377	𜋁
101	0	M248	𜁨
102	0	M029	𛵷
103	0	M348	𜉈
104	0	M417	𜌢
105	0	M344	𜈻
106	-1	M131	𛻛
107	-1	M380	𜋏
108	-1	M072	𛸧
109	-1	M053	𛷨
110	-1	M379	𜋊
111	-1	M147	𛼫
112	-1	M362+M059	𜉳
113	-1	M106	𛺄
114	-2	M033	𛶈
115	-2	M124	𛻃
116	-2	M203	𛾳
117	-2	M365	𜊅
118	-2	M046	𛷇
119	-2	M370+M072+M370	𜊝
120	-2	M250	𜁺
121	-2	M157+M288	𛽟
122	-2	M175+M131	𛽻
123	-2	M370+M046	𜊛𛷇
124	-2	M153+M006	𛽆𛵉
125	-2	M048	𛷋
126	-2	M209	𛿔
127	-2	M390	𜌕
128	-2	M128	𛻌
129	-2	M081	𛹌
130	-2	M152	𛽁
131	-2	M102	𛹬
132	-2	M260+N24	𜂮
133	-2	M222	𜀓
134	-2	M049	𛷑
135	-2	M316	𜇖
136	-2	M080	𛹆
137	-2	M205	𛾸
138	-2	M341	𜈲
139	-2	M323	𜈆
140	-2	M305+M136	𜆨
141	-2	M230	𜀮
142	-2	M327+M059	𜈜
143	-2	M293	𜅒
144	-2	M064	𛸔
145	-2	M044	𛷂
146	-3	M310	𜇂
147	-3	M266	𜃞
148	-3	M056	𛷱
149	-3	M195+M038	𛾣
150	-3	M003	𛵁
151	-3	M351+N14	𜉎
152	-3	M103	𛹸
153	-3	M175+M175	𛾁
154	-3	M291	𜅇
155	-3	M240	𜀰
156	-3	M252	𜂊
157	-3	M324	𜈌
158	-4	M054	𛷪
159	-4	M122	𛺹
160	-4	M218+M288	𜀀
161	-4	M146	𛼢
162	-4	M219	𜀈
163	-4	M369	𜊘
164	-4	M292	𜅊
165	-4	M144	𛼗
166	-4	M180	𛾑
167	-5	M249	𜁱
168	-5	M254	𜂔
169	-5	M304	𜆛
170	-5	M050	𛷙
171	-5	M206	𛾾
172	-5	M309	𜆽
173	-6	M376	𜊽
174	-6	M207	𛿈
175	-7	M319	𜇳
176	-7	M004	𛵅
177	-7	M195	𛾢
178	-8	M354	𜉠
179	-8	M006	𛵉
180	-8	M066	𛸗
181	-8	M195+M057	𛾥
182	-8	M009	𛵓
183	-8	M111	𛺑
184	-8	M032	𛶃
185	-8	M246	𜁒
186	-9	M387	𜋾
187	-9	M036	𛶎
188	-11	M371	𜊩
189	-11	M149	𛼰
190	-12	M373	𜊲
191	-15	M346	𜈽
192	-15	M002	𛴾
193	-18	M218	𛿺
194	-56	M297	𜅸
195	-93	M288	𜄱
