chain_id	row_type	step	count	chain_length	codes	glyphs	from_code	from_glyph	to_code	to_glyph
1	summary			12	M268~b/M268~c M269~b/M269~a/M269/M269~a1/M269~1/M269~c/M269~2/M269~a2/M269~3 M106~a/M106/M106~b M009/M009~a/M009~g M206~g/M206~d/M206~fa/M206~b/M206~f M102~e/M102~d/M102~a/M102~da M309~a/M309~d/M309 M362+M059~d/M362+M059 M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1/M153/M362/M362~a/M362~b M346/M346~a/M346~b/M346~d/M346~1/M346~c/M346~a2 M005~a/M006/M006@g/M006@g~1/M006~b M362/M362~a/M362~b/M153/M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1	𜃦/𜃧 𜃳/𜃯/𜃪/𜃰/𜃫/𜃴/𜃬/𜃱/𜃭 𛺉/𛺄/𛺊 𛵓/𛵔/𛵙 𛿃/𛾿/𛿂/𛾾/𛿁 𛹱/𛹮/𛹬/𛹰 𜆾/𜇁/𜆽 𜉴/𜉳 𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌/𛽆/𜉮/𜊁/𜊂 𜈽/𜈿/𜉄/𜉆/𜈾/𜉅/𜉁 𛵈/𛵉/𛵊/𛵋/𛵍 𜉮/𜊁/𜊂/𛽆/𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌				
1	step	1	2				M268~b	𜃦	M269~b	𜃳
1	step	2	2				M269	𜃪	M106~a	𛺉
1	step	2	2				M269	𜃪	M106	𛺄
1	step	2	2				M269~c	𜃴	M106~a	𛺉
1	step	2	2				M269~a1	𜃰	M106~a	𛺉
1	step	2	2				M269~a	𜃯	M106~a	𛺉
1	step	2	2				M269~2	𜃬	M106	𛺄
1	step	2	1				M269~1	𜃫	M106~a	𛺉
1	step	2	1				M269~1	𜃫	M106	𛺄
1	step	2	1				M269~a2	𜃱	M106~a	𛺉
1	step	2	1				M269~b	𜃳	M106~a	𛺉
1	step	2	1				M269~3	𜃭	M106~a	𛺉
1	step	2	1				M269~a1	𜃰	M106	𛺄
1	step	2	1				M269~a	𜃯	M106	𛺄
1	step	3	13				M106~a	𛺉	M009	𛵓
1	step	3	12				M106	𛺄	M009	𛵓
1	step	4	21				M009	𛵓	M206~g	𛿃
1	step	5	20				M206~g	𛿃	M102~e	𛹱
1	step	5	1				M206~g	𛿃	M102~d	𛹮
1	step	6	19				M102~e	𛹱	M309~a	𜆾
1	step	6	1				M102~d	𛹮	M309~a	𜆾
1	step	7	2				M309~a	𜆾	M362+M059~d	𜉴
1	step	7	1				M309~a	𜆾	M362+M059	𜉳
1	step	8	1				M362+M059~d	𜉴	M367	𜊊
1	step	8	1				M362+M059	𜉳	M367	𜊊
1	step	9	10				M367	𜊊	M346	𜈽
1	step	9	5				M153	𛽆	M346	𜈽
1	step	9	4				M362	𜉮	M346	𜈽
1	step	9	3				M362~a	𜊁	M346~a	𜈿
1	step	9	3				M367~a	𜊋	M346~a	𜈿
1	step	9	3				M367~d	𜊐	M346	𜈽
1	step	9	2				M367~g	𜊓	M346	𜈽
1	step	9	1				M367	𜊊	M346~c	𜉅
1	step	9	1				M367~c	𜊏	M346~a2	𜉁
1	step	9	1				M367	𜊊	M346~1	𜈾
