step	count	from_glyph	from_code	to_glyph	to_code
1	2	𜃪	M269	𛺉	M106~a
1	2	𜃪	M269	𛺄	M106
1	2	𜃴	M269~c	𛺉	M106~a
1	2	𜃰	M269~a1	𛺉	M106~a
1	2	𜃯	M269~a	𛺉	M106~a
1	2	𜃬	M269~2	𛺄	M106
1	1	𜃫	M269~1	𛺉	M106~a
1	1	𜃫	M269~1	𛺄	M106
1	1	𜃱	M269~a2	𛺉	M106~a
1	1	𜃳	M269~b	𛺉	M106~a
1	1	𜃭	M269~3	𛺉	M106~a
1	1	𜃰	M269~a1	𛺄	M106
1	1	𜃯	M269~a	𛺄	M106
2	13	𛺉	M106~a	𛵓	M009
2	12	𛺄	M106	𛵓	M009
3	21	𛵓	M009	𛿃	M206~g
4	20	𛿃	M206~g	𛹱	M102~e
4	1	𛿃	M206~g	𛹮	M102~d
5	19	𛹱	M102~e	𜆾	M309~a
5	1	𛹮	M102~d	𜆾	M309~a
6	2	𜆾	M309~a	𜉴	M362+M059~d
6	1	𜆾	M309~a	𜉳	M362+M059
