rank	count	glyph	base	variants
1	272	𛽔	M157	M157×202, M157~a×70
2	21	𜈙	M327	M327×11, M327~p×8, M327~n×1, M327~d×1
3	20	𜈟	M327+M342	M327+M342×20
4	19	𛻰	M136	M136~q×6, M136~c×2, M136~a×2, M136~i×2, M136~t×2, M136~r×1, M136~k×1, M136~h×1, M136×1, M136~p×1
5	17	𜋾	M387	M387×12, M387~l×3, M387~c×1, M387~h×1
6	15	𛵇	M005	M005~a×15
7	15	𜆡	M305	M305×15
8	11	𜌓	M388	M388×11
9	9	𛻳	M136+M365	M136+M365×9
10	9	𜁞	M247	M247~g×5, M247~b×2, M247×1, M247~d×1
11	8	𜊅	M365	M365×8
12	6	𜈒	M325	M325×5, M325~d×1
13	6	𜋁	M377+M320+M377	M377+M320+M377×6
14	6	𛸅	M059	M059×5, M059~d×1
15	5	𛾢	M195	M195×5
16	5	𛶹	M041	M041~g×4, M041~f×1
17	4	𜋨	M384	M384~e×1, M384~c×1, M384~ab×1, M384~d×1
18	4	𛽛	M157+M131	M157+M131×2, M157~a+M131~d×1, M157~a+M131~a×1
19	4	[M209]	M209	M209~a×2, M209~c×2
20	4	𜇖	M316	M316×3, M316~a×1
21	3	𛽆	M153	M153×3
22	3	𜆲	M305+M342	M305+M342×3
23	3	𛻦	M134	M134~f×1, M134~c×1, M134×1
24	3	𜆨	M305+M136	M305+M136×3
25	3	[M417]	M417	M417~e×1, M417~f×1, M417~g×1
26	3	𛿙	M210	M210~d×1, M210~g×1, M210~ba×1
27	3	𜉈	M348	M348×3
28	3	𛾲	M201+M377+M377	M201+M377+M377×3
29	2	𛾄	M175+M288	M175+M288×2
30	2	𜈒𜈳	M325+M342	M325+M342×2
31	2	[M203]	M203	M203~c×2
32	2	𜀰	M240	M240~d×2
33	2	𛽽	M175+M136	M175+M136×2
34	2	𜈡	M327+M365	M327+M365×2
35	2	𜈳	M342	M342×2
36	2	[M038]	M038	M038~a2×1, M038~b×1
37	2	𛾑	M180	M180~c×1, M180~b×1
38	2	𜊩	M371	M371~a×1, M371×1
39	2	[M328]	M328	M328~b×2
40	2	[M393]	M393	M393~e×1, M393~f×1
41	2	𜋂	M377+M377	M377+M377×2
42	2	𛷂	M044	M044~b×1, M044×1
43	2	𛷶	M057	M057×2
44	2	𜂊	M252	M252~q×2
45	2	𛺣	M112	M112~f×2
46	2	𛺑	M111	M111~d×1, M111~c×1
47	1	𛿿	M218+M218	M218+M218×1
48	1	[M075]	M075	M075~ab×1
49	1	𛼺	M151	M151~a×1
50	1	[M250]	M250	M250~r×1
51	1	𜈙[M074]	M327+M074	M327+M074~a×1
52	1	𛾚	M193	M193×1
53	1	𛽝	M157+M136	M157+M136×1
54	1	𛽹𜈒	M175+M325	M175+M325~d×1
55	1	[M149]	M149	M149~c×1
56	1	𛵮	M024	M024~1×1
57	1	𛽉	M153+M106	M153+M106×1
58	1	𛹸	M103	M103×1
59	1	𛽞	M157+M153	M157+M153×1
60	1	𛾸	M205	M205~d×1
61	1	[M188]	M188	M188~g×1
62	1	𜆡𛵷	M305+M029	M305+M029~a×1
63	1	[M052]	M052	M052~a×1
64	1	𛶈	M033	M033×1
65	1	𜌴	M441	M441×1
66	1	𜉍	M351	M351~m×1
67	1	𛽿	M175+M153	M175+M153×1
68	1	𛾍	M176	M176×1
69	1	𛽭	M158	M158~e×1
70	1	𜆛	M304	M304×1
71	1	𜆯	M305+M320	M305+M320×1
72	1	𜆡[M209]	M305+M209	M305+M209~a×1
73	1	𜋀	M377	M377×1
74	1	𜋀𜋀𜋀	M377+M377+M377	M377+M377~g+M377×1
75	1	𜌗	M391	M391×1
76	1	𛿓	M208	M208×1
77	1	𜁒	M246	M246~b×1
78	1	[M154]	M154	M154~s×1
79	1	𜅊	M292	M292~f×1
80	1	𜄭	M286	M286×1
81	1	𛼫	M147	M147~e×1
82	1	𛹪	M101	M101×1
83	1	𜌸	M447	M447~c×1
84	1	𛹾	M105	M105×1
85	1	𜆌	M302	M302×1
86	1	[M368]	M368	M368~b×1
87	1	[M009 ≈ M035M09 ≈ M3]	M009 ≈ M035M09 ≈ M3	M009~d ≈ M035M09~d ≈ M3×1
88	1	𛻊	M126	M126×1
89	1	𜈜	M327+M059	M327+M059×1
90	1	[M352]	M352	M352~c×1
91	1	𛾆	M175+M376	M175+M376×1
92	1	[M076]	M076	M076~e×1
93	1	𛷪	M054	M054×1
94	1	𛶋	M034	M034×1
95	1	𜌝	M401	M401×1
96	1	𛽆𜋀𛽆	M153+M377+M153	M153+M377~e+M153×1
97	1	𛾰	M201	M201×1
98	1	𜀏	M221	M221~e×1
99	1	[M026]	M026	M026~d×1
100	1	𜈆	M323	M323×1
