rank	count	glyph	code	base
1	202	𛽔	M157	M157
2	70	𛽤	M157~a	M157
3	20	𜈟	M327+M342	M327+M342
4	15	𛵈	M005~a	M005
5	15	𜆡	M305	M305
6	12	𜋾	M387	M387
7	11	𜌓	M388	M388
8	11	𜈙	M327	M327
9	9	𛻳	M136+M365	M136+M365
10	8	𜈦	M327~p	M327
11	8	𜊅	M365	M365
12	6	𜋁	M377+M320+M377	M377+M320+M377
13	6	𛼆	M136~q	M136
14	5	𜈒	M325	M325
15	5	𛾢	M195	M195
16	5	𜁥	M247~g	M247
17	5	𛸅	M059	M059
18	4	𛶾	M041~g	M041
19	3	𛽆	M153	M153
20	3	𜆲	M305+M342	M305+M342
21	3	𜌐	M387~l	M387
22	3	𜆨	M305+M136	M305+M136
23	3	𜇖	M316	M316
24	3	𜉈	M348	M348
25	3	𛾲	M201+M377+M377	M201+M377+M377
26	2	𛾄	M175+M288	M175+M288
27	2	𜈒𜈳	M325+M342	M325+M342
28	2	𛾴	M203~c	M203
29	2	𜀴	M240~d	M240
30	2	𛻸	M136~c	M136
31	2	𛻶	M136~a	M136
32	2	𛽽	M175+M136	M175+M136
33	2	𜈡	M327+M365	M327+M365
34	2	𜈳	M342	M342
35	2	𜈧	M328~b	M328
36	2	𛽛	M157+M131	M157+M131
37	2	𛻾	M136~i	M136
38	2	𛼉	M136~t	M136
39	2	𜋂	M377+M377	M377+M377
40	2	𛿔	M209~a	M209
41	2	𛿖	M209~c	M209
42	2	𜁠	M247~b	M247
43	2	𛷶	M057	M057
44	2	𜂏	M252~q	M252
45	2	𛺬	M112~f	M112
46	1	𛿿	M218+M218	M218+M218
47	1	𛸴	M075~ab	M075
48	1	𜌁	M387~c	M387
49	1	𛼻	M151~a	M151
50	1	𜂀	M250~r	M250
51	1	𜋰	M384~e	M384
52	1	𜈝	M327+M074~a	M327+M074
53	1	𛾚	M193	M193
54	1	𛽝	M157+M136	M157+M136
55	1	𛾅	M175+M325~d	M175+M325
56	1	𛼴	M149~c	M149
57	1	𛵯	M024~1	M024
58	1	𛽉	M153+M106	M153+M106
59	1	𛹸	M103	M103
60	1	𛼇	M136~r	M136
61	1	𛼀	M136~k	M136
62	1	𛽞	M157+M153	M157+M153
63	1	𜋬	M384~c	M384
64	1	𛶣	M038~a2	M038
65	1	𛻭	M134~f	M134
66	1	𛾼	M205~d	M205
67	1	𛾙	M188~g	M188
68	1	𜆣	M305+M029~a	M305+M029
69	1	𛷦	M052~a	M052
70	1	𛽩	M157~a+M131~d	M157+M131
71	1	𛾔	M180~c	M180
72	1	𜊪	M371~a	M371
73	1	𛶈	M033	M033
74	1	𜌴	M441	M441
75	1	𜉔	M351~m	M351
76	1	𜈔	M325~d	M325
77	1	𜌚	M393~e	M393
78	1	𛽿	M175+M153	M175+M153
79	1	𛾓	M180~b	M180
80	1	𛾍	M176	M176
81	1	𛽱	M158~e	M158
82	1	𛻽	M136~h	M136
83	1	𜆛	M304	M304
84	1	𜆯	M305+M320	M305+M320
85	1	𜆬	M305+M209~a	M305+M209
86	1	𛶽	M041~f	M041
87	1	𜋀	M377	M377
88	1	𜋃	M377+M377~g+M377	M377+M377+M377
89	1	𜊩	M371	M371
90	1	𜌣	M417~e	M417
91	1	𜌤	M417~f	M417
92	1	𜌥	M417~g	M417
93	1	𜌗	M391	M391
94	1	𛿞	M210~d	M210
95	1	𛿓	M208	M208
96	1	𜋪	M384~ab	M384
97	1	𜋭	M384~d	M384
98	1	𜁞	M247	M247
99	1	𜁔	M246~b	M246
100	1	𛷄	M044~b	M044
101	1	𜇛	M316~a	M316
102	1	𛽐	M154~s	M154
103	1	𜅏	M292~f	M292
104	1	𜄭	M286	M286
105	1	𛼯	M147~e	M147
106	1	𛹪	M101	M101
107	1	𜌺	M447~c	M447
108	1	𛹾	M105	M105
109	1	𜆌	M302	M302
110	1	𜊖	M368~b	M368
111	1	𛶍	M009~d ≈ M035M09~d ≈ M3	M009 ≈ M035M09 ≈ M3
112	1	𛻊	M126	M126
113	1	𛻰	M136	M136
114	1	𜈥	M327~n	M327
115	1	𜈜	M327+M059	M327+M059
116	1	𜈤	M327~d	M327
117	1	𛻪	M134~c	M134
118	1	𜉗	M352~c	M352
119	1	𛿡	M210~g	M210
120	1	𛾆	M175+M376	M175+M376
121	1	𛺕	M111~d	M111
122	1	𛺔	M111~c	M111
123	1	𛹄	M076~e	M076
124	1	𛷪	M054	M054
125	1	𛶋	M034	M034
126	1	𜌝	M401	M401
127	1	𛶤	M038~b	M038
128	1	𛽨	M157~a+M131~a	M157+M131
129	1	𜁢	M247~d	M247
130	1	𛿜	M210~ba	M210
131	1	𛸉	M059~d	M059
132	1	𜌋	M387~h	M387
133	1	𛽎	M153+M377~e+M153	M153+M377+M153
134	1	𛾰	M201	M201
135	1	𛼅	M136~p	M136
136	1	𜀑	M221~e	M221
137	1	𛵵	M026~d	M026
138	1	𜈆	M323	M323
139	1	𛻦	M134	M134
140	1	𛷂	M044	M044
141	1	𜌛	M393~f	M393
