rank	count	glyph	base	boundary %	variants	
63	4	[M256]	M256	0	𜂡 M256~d×2, 𜂠 M256~c×1, 𜂟 M256~b×1	
127	1	𛵱	M025	0	𛵱 M025×1	
129	1	𜉉	M348+M004	0	𜉉 M348+M004×1	
137	1	𜀡	M227	0	𜀡 M227×1	
138	1	𛿽	M218+M099	0	𛿽 M218+M099×1	
145	1	𛺄𛹜	M106+M096	0	𛺆 M106+M096~c×1	
147	1	𛹅	M077	0	𛹅 M077×1	
149	1	[M226]	M226	0	𜀞 M226~c×1	
152	1	𜆡𜈱	M305+M340	0	𜆡𜈱 M305+M340×1	
153	1	𜍂	M455	0	𜍂 M455×1	
164	1	𜈵𛴍	M343+N30C	0	𜈸𛴍 M343~h+N30C×1	
166	1	𛺴	M115	0	𛺴 M115×1	
167	1	𛻋	M127+M127	0	𛻋 M127+M127×1	
171	1	𛹽	M104	0	𛹽 M104×1	
178	1	[M257]	M257	0	𜂢 M257~d×1	
183	1	𛸃	M058	0	𛸃 M058×1	
188	1	𛻰	M136+M071	0	𛻱 M136+M071~a×1	
189	1	𜍙	M491	0	𜍙 M491×1	
193	1	𜄜	M282	0	𜄜 M282×1	
64	4	𛻜	M131+M388	9	𛻜 M131+M388×4	
67	4	𛷖	M049	9	𛷖 M049~e×2, 𛷔 M049~d×1, 𛷘 M049~n×1	
71	3	𛾥	M195+M057	9	𛾥 M195+M057×3	
33	6	𛾣	M195+M038	10	𛾤 M195+M038~a×4, 𛾣 M195+M038×2	
75	3	𜍄	M461	10!?	𜍅 M461~b×2, 𜍄 M461×1	
42	5	𜁽	M250	12	𜁽 M250~n×2, 𜁻 M250~ba×2, 𜁿 M250~p×1	
61	4	𜌕	M390	13	𜌕 M390×4	
132	1	𛹆	M080	14	𛹆 M080~a×1	
7	14	𜂣	M259	16!?	𜂣 M259×12, 𜂤 M259~1×1, 𜂥 M259~2×1	
23	8	𛹸	M103	16	𛹻 M103~3×4, 𛹺 M103~2×2, 𛹹 M103~1×1, 𛹸 M103×1	
