score	num_documents	min_gap	sign_a	glyph_a	freq_a	sign_b	glyph_b	freq_b	VERTICAL neighbor examples_with_actual_glyphs
0.3333	2	2	M175+M136	𛽽	6	M294	𜅗	6	P008234(gap2: 𛽽M175+M136/𜅗M294~a), P008279(gap2: 𛽽M175+M136/𜅗M294~a)
0.2357	2	1	M370+M046+M370	𜊜	8	M370+M388+M370	𜊟	9	P008043(gap1: 𜊜M370+M046+M370/𜊟M370+M388+M370), P008105(gap1: 𜊜M370+M046+M370/𜊟M370+M388+M370)
0.2357	2	1	M370+M046+M370	𜊜	8	M370+M072+M370	𜊝	9	P008125(gap2: 𜊜M370+M046+M370/𜊝M370+M072+M370), P368479(gap1: 𜊜M370+M046+M370/𜊝M370+M072+M370)
0.2294	2	2	M175+M131	𛽻	4	M296	𜅴	19	P008014(gap2: 𛽼M175+M131~d/𜅴M296), P008105(gap2: 𛽻M175+M131/𜅴M296)
0.2265	2	1	M052	𛷦	6	M248	𜁨	13	P008894(gap1: 𛷦M052~a/𜁰M248~g), P009049(gap2: 𛷧M052~b/𜁰M248~g), P009049(gap1: 𛷦M052~a/𜁰M248~g)
0.2222	2	1	M370+M072+M370	𜊝	9	M370+M388+M370	𜊟	9	P009183(gap1: 𜊝M370+M072+M370/𜊟M370+M388+M370), P368479(gap3: 𜊝M370+M072+M370/𜊟M370+M388+M370)
0.2041	2	2	M329	𜈩	12	M370+M046+M370	𜊜	8	P008105(gap2: 𜈩M329/𜊜M370+M046+M370), P008490(gap2: 𜈩M329/𜊜M370+M046+M370)
0.1865	2	1	M244	𜁑	5	M246	𜁒	23	P008440(gap1: 𜁑M244/𜁒M246), P009384(gap2: 𜁑M244/𜁔M246~b)
0.1833	2	1	M281	𜄖	7	M374	𜊴	17	P008059(gap1: 𜄚M281~f/𜊵M374~c), P272825(gap3: 𜄚M281~f/𜊵M374~c)
0.1768	2	1	M073	𛸩	8	M318	𜇩	16	P008060(gap1: 𛸩M073~a/𜇫M318~a1), P009287(gap1: 𛸪M073~b/𜇰M318~g)
0.1741	2	2	M175+M175	𛾁	6	M195+M057	𛾥	22	P008058(gap2: 𛾁M175+M175/𛾥M195+M057), P008140(gap2: 𛾁M175+M175/𛾥M195+M057)
0.1741	2	1	M068	𛸝	3	M149	𛼰	44	P008154(gap1: 𛸟M068~c/𛼰M149~a), P009185(gap3: 𛸞M068~b/𛼲M149~a2)
0.1715	2	2	M177	𛾏	4	M292	𜅊	34	P008236(gap2: 𛾏M177/𜅑M292~i), P009207(gap2: 𛾐M177~a/𜅊M292)
0.1667	2	2	M370+M046	𜊛𛷇	3	M373	𜊲	48	P008105(gap2: 𜊡M370~b+M046/𜊲M373), P008193(gap2: 𜊡M370~b+M046/𜊲M373)
