count	glyphs	codes	example_records
7	𜋾	M387	P008004, P008274, P008881
3	𜌓	M388	P008117, P009535, P009535
3	𛽆	M153	P008864, P008921, P009111
2	𜊛	M370	P008048, P008751
2	𛴺	M001	P008079, P008921
2	𛹌	M081	P008160, P009289
1	𜌁	M387~c	P008004
1	𜆡 𛻃 𛸘	M305 M124 M066~a	P008004
1	𜊩	M371	P008004
1	𛶈 𜇢	M033 M317~a	P008004
1	𜈵 𜌓 𛵅 𜊩	M343 M388 M004 M371	P008012
1	𜉗	M352~c	P008012
1	𛷹	M057~a1	P008012
1	𛸘	M066~a	P008024
1	𜉎 𛸘	M351+N14 M066~a	P008024
1	𜆚	M302~t	P008024
1	𛸗 𜀼 𛹜 𜌉 𛵅	M066 M242~b M096 M387~eh M004	P008048
1	𜁶 𜈭 𛷺	M249~m M332~d M057~a2	P008048
1	𛿺	M218	P008048
1	𜂂 𛸗	M251~c M066	P008074
1	𜆡 𛷖 𛸗	M305 M049~e M066	P008076
1	𛵈 𜂢 𜉈	M005~a M257~d M348	P008106
1	𜈩 𛻃	M329 M124	P008108
1	𛼌 𜌓 𛼢 𛵅 𜃁 𛿺	M139 M388 M146 M004 M263 M218	P008108
1	𜆡 𜌓 𛿺 𜂥 𜊩 𛶈 𛸗	M305 M388 M218 M259~2 M371 M033 M066	P008135
1	𛹻 𜊩 𜋺	M103~3 M371 M386~a	P008135
1	𛼞 𛹻 𛼚 𛹥 𛵅 𛿺	M145~d M103~3 M145~a M097~h M004 M218	P008135
1	𛵓 𛹻 𛼢 𛸗 𛹜	M009 M103~3 M146 M066 M096	P008135
1	𛹻 𜋾 𛷋 𜇶	M103~3 M387 M048~c M320	P008135
1	𛿗	M209~d	P008135
1	𛻃 𜈕 𛿺 𛶨	M124 M325~e M218 M038~e	P008135
1	𜉨 𛶡 𛶌 𛴽	M359 M038~a M034~a M001~b	P008145
1	𜂼 𛿺	M262 M218	P008160
1	𛷤	M051~b	P008197
1	𜋖	M382~b	P008223
1	𛽤 𜉈	M157~a M348	P008248
1	𜉚 𜊛 𛿺	M352~n M370 M218	P008398
1	𛵅 𛸃 𛷸	M004 M058 M057~a	P008445
1	𛸗	M066	P008445
1	𜋅 𜉇 𜉚	M377~e M347 M352~n	P008448
1	𜈽	M346	P008475
1	𛸗 𜀈 𛸗	M066 M219 M066	P008516
1	𜋀	M377	P008516
1	𛿺 𛶍 𛸗	M218 M009~d ≈ M035M09~d ≈ M3 M066	P008516
1	𜇶 𜌓	M320 M388	P008547
1	𛺄𜄱 𜅭 𜀌	M106+M288 M295~q M220	P008548
1	𜄗 𛹜	M281~c M096	P008548
1	𛾶	M203~e	P008661
1	𜋀 𛹧 𜌕 𛿺	M377 M099 M390 M218	P008661
1	𛾿	M206~d	P008661
1	𛵅 𛶟	M004 M037	P008710
1	𛶆 𛸁	M032~d M057~i	P008745
1	𛶰 𛾢	M039~b M195	P008776
1	𛺽	M122~4	P008776
1	𛻳	M136+M365	P008779
1	𛸅 𛽆	M059 M153	P008829
1	𛹪	M101	P008875
1	𜌺	M447~c	P008881
1	𜋾 𛹌	M387 M081	P008904
1	𛷪	M054	P008931
1	𜈜	M327+M059	P009037
1	𜄱	M288	P009078
1	𜄱 𛽆	M288 M153	P009089
1	𛸗 𜉚	M066 M352~n	P009089
1	𛵈 𛿥	M005~a M213	P009213
1	𜍖	M486	P009524
1	𛻃	M124	P009524
1	𛻱 𜌓 𜅵 𛸧	M136+M071~a M388 M296+M296 M072	P009535
1	𜌓 𛿺 𜀈	M388 M218 M219	P009535
1	𜌓 𛷪 𜋾 𜌗	M388 M054 M387 M391	P009535
1	𛷪 𛼴	M054 M149~c	P009535
1	𜃂	M263~1	P009535
1	𜌓 𛾾 𜊩	M388 M206~b M371	P009535
1	𜌓 𜄫	M388 M285~m	P009535
1	𜌓 𜍙 𛿺	M388 M491 M218	P009535
1	𜌓 𜆛 𛹞	M388 M304 M096~2	P009535
1	𜌓 𛵁 𛵳	M388 M003 M026~a	P009535
1	𜌓 𛸧 𜊩	M388 M072 M371	P009535
1	𜌓 𛻃 𛹤	M388 M124 M097~f	P009535
1	𜌓 𛻃 𜇏 𛸜	M388 M124 M314 M066~h	P009535
1	𜁽	M250~n	P272825
1	𜋂 𜌓	M377+M377 M388	P368487
