rank	count	glyph	base	variants
1	19	𜌓	M388	𜌓 M388×19
2	14	𛸗	M066	𛸗 M066×10, 𛸘 M066~a×3, 𛸜 M066~h×1
3	12	𜋾	M387	𜋾 M387×10, 𜌁 M387~c×1, 𜌉 M387~eh×1
4	11	𛿺	M218	𛿺 M218×11
5	6	𛻃	M124	𛻃 M124×6
6	6	𜊩	M371	𜊩 M371×6
7	6	𛵅	M004	𛵅 M004×6
8	5	𛽆	M153	𛽆 M153×5
9	4	[M352]	M352	𜉚 M352~n×3, 𜉗 M352~c×1
10	4	𛷶	M057	𛷹 M057~a1×1, 𛷺 M057~a2×1, 𛷸 M057~a×1, 𛸁 M057~i×1
11	4	𛹜	M096	𛹜 M096×3, 𛹞 M096~2×1
12	4	𛹸	M103	𛹻 M103~3×4
13	3	𜆡	M305	𜆡 M305×3
14	3	𜊛	M370	𜊛 M370×3
15	3	𛴺	M001	𛴺 M001×2, 𛴽 M001~b×1
16	3	𛹌	M081	𛹌 M081×3
17	3	𜋀	M377	𜋀 M377×2, 𜋅 M377~e×1
18	3	𛷪	M054	𛷪 M054×3
19	2	𛶈	M033	𛶈 M033×2
20	2	𛵇	M005	𛵈 M005~a×2
21	2	𜉈	M348	𜉈 M348×2
22	2	𛼢	M146	𛼢 M146×2
23	2	𜃁	M263	𜃁 M263×1, 𜃂 M263~1×1
24	2	𛼙	M145	𛼞 M145~d×1, 𛼚 M145~a×1
25	2	[M097]	M097	𛹥 M097~h×1, 𛹤 M097~f×1
26	2	𜇶	M320	𜇶 M320×2
27	2	[M038]	M038	𛶨 M038~e×1, 𛶡 M038~a×1
28	2	𜀈	M219	𜀈 M219×2
29	2	[M206]	M206	𛾿 M206~d×1, 𛾾 M206~b×1
30	2	𜄱	M288	𜄱 M288×2
31	2	𛸧	M072	𛸧 M072×2
32	1	𜇟	M317	𜇢 M317~a×1
33	1	𜈵	M343	𜈵 M343×1
34	1	𜉎	M351+N14	𜉎 M351+N14×1
35	1	𜆌	M302	𜆚 M302~t×1
36	1	𜀺	M242	𜀼 M242~b×1
37	1	𜁱	M249	𜁶 M249~m×1
38	1	[M332]	M332	𜈭 M332~d×1
39	1	𜂁	M251	𜂂 M251~c×1
40	1	[M049]	M049	𛷖 M049~e×1
41	1	[M257]	M257	𜂢 M257~d×1
42	1	𜈩	M329	𜈩 M329×1
43	1	𛼌	M139	𛼌 M139×1
44	1	𜂣	M259	𜂥 M259~2×1
45	1	𜋸	M386	𜋺 M386~a×1
46	1	𛵓	M009	𛵓 M009×1
47	1	[M048]	M048	𛷋 M048~c×1
48	1	[M209]	M209	𛿗 M209~d×1
49	1	𜈒	M325	𜈕 M325~e×1
50	1	𜉨	M359	𜉨 M359×1
51	1	𛶋	M034	𛶌 M034~a×1
52	1	𜂼	M262	𜂼 M262×1
53	1	[M051]	M051	𛷤 M051~b×1
54	1	𜋔	M382	𜋖 M382~b×1
55	1	𛽔	M157	𛽤 M157~a×1
56	1	𛸃	M058	𛸃 M058×1
57	1	𜉇	M347	𜉇 M347×1
58	1	𜈽	M346	𜈽 M346×1
59	1	[M009 ≈ M035M09 ≈ M3]	M009 ≈ M035M09 ≈ M3	𛶍 M009~d ≈ M035M09~d ≈ M3×1
60	1	𛺄𜄱	M106+M288	𛺄𜄱 M106+M288×1
61	1	𜅘	M295	𜅭 M295~q×1
62	1	𜀌	M220	𜀌 M220×1
63	1	[M281]	M281	𜄗 M281~c×1
64	1	[M203]	M203	𛾶 M203~e×1
65	1	𛹧	M099	𛹧 M099×1
66	1	𜌕	M390	𜌕 M390×1
67	1	𛶟	M037	𛶟 M037×1
68	1	𛶃	M032	𛶆 M032~d×1
69	1	𛶭	M039	𛶰 M039~b×1
70	1	𛾢	M195	𛾢 M195×1
71	1	𛺹	M122	𛺽 M122~4×1
72	1	𛻳	M136+M365	𛻳 M136+M365×1
73	1	𛸅	M059	𛸅 M059×1
74	1	𛹪	M101	𛹪 M101×1
75	1	𜌸	M447	𜌺 M447~c×1
76	1	𜈜	M327+M059	𜈜 M327+M059×1
77	1	𛿥	M213	𛿥 M213×1
78	1	𜍖	M486	𜍖 M486×1
79	1	𛻰[M071]	M136+M071	𛻱 M136+M071~a×1
80	1	𜅵	M296+M296	𜅵 M296+M296×1
81	1	𜌗	M391	𜌗 M391×1
82	1	[M149]	M149	𛼴 M149~c×1
83	1	𜄤	M285	𜄫 M285~m×1
84	1	𜍙	M491	𜍙 M491×1
85	1	𜆛	M304	𜆛 M304×1
86	1	𛵁	M003	𛵁 M003×1
87	1	[M026]	M026	𛵳 M026~a×1
88	1	𜇏	M314	𜇏 M314×1
89	1	[M250]	M250	𜁽 M250~n×1
90	1	𜋂	M377+M377	𜋂 M377+M377×1
