rank	count	glyph	code	base
1	19	𜌓	M388	M388
2	11	𛿺	M218	M218
3	10	𜋾	M387	M387
4	10	𛸗	M066	M066
5	6	𛻃	M124	M124
6	6	𜊩	M371	M371
7	6	𛵅	M004	M004
8	5	𛽆	M153	M153
9	4	𛹻	M103~3	M103
10	3	𜆡	M305	M305
11	3	𛸘	M066~a	M066
12	3	𛹜	M096	M096
13	3	𜊛	M370	M370
14	3	𛹌	M081	M081
15	3	𜉚	M352~n	M352
16	3	𛷪	M054	M054
17	2	𛶈	M033	M033
18	2	𛴺	M001	M001
19	2	𛵈	M005~a	M005
20	2	𜉈	M348	M348
21	2	𛼢	M146	M146
22	2	𜇶	M320	M320
23	2	𜀈	M219	M219
24	2	𜋀	M377	M377
25	2	𜄱	M288	M288
26	2	𛸧	M072	M072
27	1	𜌁	M387~c	M387
28	1	𜇢	M317~a	M317
29	1	𜈵	M343	M343
30	1	𜉗	M352~c	M352
31	1	𛷹	M057~a1	M057
32	1	𜉎	M351+N14	M351+N14
33	1	𜆚	M302~t	M302
34	1	𜀼	M242~b	M242
35	1	𜌉	M387~eh	M387
36	1	𜁶	M249~m	M249
37	1	𜈭	M332~d	M332
38	1	𛷺	M057~a2	M057
39	1	𜂂	M251~c	M251
40	1	𛷖	M049~e	M049
41	1	𜂢	M257~d	M257
42	1	𜈩	M329	M329
43	1	𛼌	M139	M139
44	1	𜃁	M263	M263
45	1	𜂥	M259~2	M259
46	1	𜋺	M386~a	M386
47	1	𛼞	M145~d	M145
48	1	𛼚	M145~a	M145
49	1	𛹥	M097~h	M097
50	1	𛵓	M009	M009
51	1	𛷋	M048~c	M048
52	1	𛿗	M209~d	M209
53	1	𜈕	M325~e	M325
54	1	𛶨	M038~e	M038
55	1	𜉨	M359	M359
56	1	𛶡	M038~a	M038
57	1	𛶌	M034~a	M034
58	1	𛴽	M001~b	M001
59	1	𜂼	M262	M262
60	1	𛷤	M051~b	M051
61	1	𜋖	M382~b	M382
62	1	𛽤	M157~a	M157
63	1	𛸃	M058	M058
64	1	𛷸	M057~a	M057
65	1	𜋅	M377~e	M377
66	1	𜉇	M347	M347
67	1	𜈽	M346	M346
68	1	𛶍	M009~d ≈ M035M09~d ≈ M3	M009 ≈ M035M09 ≈ M3
69	1	𛺄𜄱	M106+M288	M106+M288
70	1	𜅭	M295~q	M295
71	1	𜀌	M220	M220
72	1	𜄗	M281~c	M281
73	1	𛾶	M203~e	M203
74	1	𛹧	M099	M099
75	1	𜌕	M390	M390
76	1	𛾿	M206~d	M206
77	1	𛶟	M037	M037
78	1	𛶆	M032~d	M032
79	1	𛸁	M057~i	M057
80	1	𛶰	M039~b	M039
81	1	𛾢	M195	M195
82	1	𛺽	M122~4	M122
83	1	𛻳	M136+M365	M136+M365
84	1	𛸅	M059	M059
85	1	𛹪	M101	M101
86	1	𜌺	M447~c	M447
87	1	𜈜	M327+M059	M327+M059
88	1	𛿥	M213	M213
89	1	𜍖	M486	M486
90	1	𛻱	M136+M071~a	M136+M071
91	1	𜅵	M296+M296	M296+M296
92	1	𜌗	M391	M391
93	1	𛼴	M149~c	M149
94	1	𜃂	M263~1	M263
95	1	𛾾	M206~b	M206
96	1	𜄫	M285~m	M285
97	1	𜍙	M491	M491
98	1	𜆛	M304	M304
99	1	𛹞	M096~2	M096
100	1	𛵁	M003	M003
101	1	𛵳	M026~a	M026
102	1	𛹤	M097~f	M097
103	1	𜇏	M314	M314
104	1	𛸜	M066~h	M066
105	1	𜁽	M250~n	M250
106	1	𜋂	M377+M377	M377+M377
