side	count	glyph	code	example_records
before	12	𜊽	M376	P008105, P008105, P008105
before	7	𛿯	M217	P008014, P008159, P008437
before	7	𜊛	M370	P008043, P008077, P008105
before	5	𛾳	M203~a	P008043, P008043, P008043
before	5	𜌓	M388	P008146, P008621, P009292
before	3	𛶹	M041	P008043, P008432, P009307
before	2	𜆡	M305	P008004, P008785
before	2	𛵈	M005~a	P008084, P008105
before	2	𜅸	M297	P008105, P008225
before	2	𜈩	M329	P008108, P008544
before	2	𜊵	M374~c	P008149, P008390
before	2	𜋾	M387	P008355, P008426
before	2	𛴺	M001	P008432, P008759
before	2	𜄭	M286	P008514, P008641
before	2	𛿺	M218	P008958, P009161
before	2	𛷪	M054	P009161, P009381
before	1	𜋒	M381	P008005
before	1	𛽧	M157~a+M131	P008014
before	1	𜆹	M305~h	P008014
before	1	𜋀	M377	P008037
before	1	𛿩	M214~c	P008041
before	1	𜆙	M302~s	P008041
before	1	𛿫	M214~e	P008071
before	1	𛻷	M136~b	P008079
before	1	𜋺	M386~a	P008087
before	1	𜇂	M310	P008105
before	1	𜊘	M369	P008105
before	1	𛻸	M136~c	P008125
before	1	𜁥	M247~g	P008149
before	1	𜋿	M387~a	P008292
before	1	𜈆	M323	P008310
before	1	𜋸	M386	P008351
before	1	𜅴	M296	P008429
before	1	𛷋	M048~c	P008432
before	1	𛵅	M004	P008490
before	1	𜌰	M431	P008490
before	1	𛻈	M125~a	P008495
before	1	𛵼	M029~e	P008495
before	1	𛶺	M041~c	P008612
before	1	𜋮	M384~d1	P008626
before	1	𛿵	M217~f	P008649
before	1	𛶡	M038~a	P008677
before	1	𜍈	M465	P008739
before	1	𛼙	M145	P008773
before	1	𛵉	M006	P008970
before	1	𛾻	M205~c	P008970
before	1	𛼨	M146~d	P009046
before	1	𜇳	M319	P009194
before	1	𛽔	M157	P009196
before	1	𜁡	M247~c	P009249
before	1	𛼮	M147~d	P009343
before	1	𛹏	M085	P009383
after	21	𛿺	M218	P008014, P008043, P008081
after	10	𜋺	M386~a	P008005, P008060, P008087
after	10	𛵓	M009	P008010, P008010, P008077
after	9	𜄱	M288	P008041, P008159, P008260
after	6	𜊩	M371	P008060, P008105, P008355
after	5	𜊽	M376	P008105, P008105, P008759
after	4	𜃂	M263~1	P008006, P008105, P008867
after	4	𜌕	M390	P008081, P008241, P008282
after	4	𜂣	M259	P008495, P009196, P009196
after	3	𛷶	M057	P008043, P008225, P008477
after	3	𛸗	M066	P008071, P008379, P008490
after	3	𛿯	M217	P008079, P008351, P008918
after	3	𜉜	M352~o	P008105, P008105, P008703
after	3	𛶃	M032	P008281, P008281, P009383
after	3	𜃁	M263	P008292, P008292, P009088
after	2	𛵯	M024~1	P008005, P008703
after	2	𛷋	M048~c	P008037, P009183
after	2	𛹥	M097~h	P008043, P008490
after	2	𛺵	M115~a	P008043, P008408
after	2	𛼢	M146	P008084, P008278
after	2	𜊛	M370	P008100, P008207
after	2	𜋾	M387	P008105, P009383
after	2	𜇪	M318~a	P008105, P368478
after	2	𜈽	M346	P008108, P008641
after	2	𛷻	M057~a4	P008146, P008703
after	2	𜊵	M374~c	P008149, P008390
after	2	𜋐	M380~b	P008307, P008419
after	2	𛴺	M001	P008432, P008902
after	2	𛵅	M004	P008490, P009382
after	2	𜀰	M240	P008490, P008860
after	2	𜋀	M377	P008533, P009249
after	2	𛵮	M024	P008533, P009185
after	2	𜇭	M318~a3	P009257, P009257
after	2	𜉆	M346~d	P009524, P009524
after	1	𛸘	M066~a	P008004
after	1	𜁖	M246~ca	P008007
after	1	𜅸	M297	P008014
after	1	𛸴	M075~ab	P008041
after	1	𜀻	M242~ab	P008043
after	1	𛼚	M145~a	P008043
after	1	𛵸	M029~a	P008043
after	1	𜌗	M391	P008049
after	1	𛷘	M049~n	P008084
after	1	𛵈	M005~a	P008105
after	1	𛺄𜄱	M106+M288	P008105
after	1	𜃅	M263~b	P008125
after	1	𜈕	M325~e	P008135
after	1	𜋏	M380	P008188
after	1	𜌆	M387~ef	P008234
after	1	𜌡	M412	P008239
after	1	𜊊	M367	P008239
after	1	𛼑	M141~a	P008242
after	1	𜂼	M262	P008296
after	1	𛿰	M217+M124	P008298
after	1	𜉚	M352~n	P008351
after	1	𛹜	M096	P008351
after	1	𜊯	M372	P008351
after	1	𜉇	M347	P008383
after	1	𛹌	M081	P008426
after	1	𛸪	M073~b	P008429
after	1	𛶎	M036	P008429
after	1	𜆂	M298~a	P008450
after	1	𛻘	M129	P008490
after	1	𜀏	M221	P008490
after	1	𛹰	M102~da	P008490
after	1	𛺌	M109	P008490
after	1	𜅟	M295~da	P008490
after	1	𜀈	M219	P008514
after	1	𜂄	M251~c3	P008626
after	1	𜁄	M243~aa	P008665
after	1	𜌤	M417~f	P008759
after	1	𛺣	M112	P008759
after	1	𜃗	M265~f	P008770
after	1	𜌓	M388	P008894
after	1	𜊘	M369	P008970
after	1	𜇫	M318~a1	P009161
after	1	𜅻	M297~b	P009161
after	1	𜀀	M218+M288	P009194
after	1	𜈯	M332~f	P009201
after	1	𛼰	M149~a	P009343
after	1	𛶌	M034~a	P009343
after	1	𛿈	M207	P009343
after	1	𛵹	M029~b	P009343
after	1	𛹏	M085	P009383
after	1	𜅴	M296	P009438
after	1	𛹤	M097~f	P009535
after	1	𜇏	M314	P009535
after	1	𜀩	M228~d	P272825
