diff_count	length	record_a	glyphs_a	codes_a	record_b	glyphs_b	codes_b	diff_positions
1	7	P008186	𜅊 𜌓 𜇽 𛶃 𜈰 𛷹 𜄱	M292 M388 M321~b M032 M332~g M057~a1 M288	P009191	𜅊 𜌓 𛼢 𛶃 𜈰 𛷸 𜄱	M292 M388 M146 M032 M332~g M057~a M288	[2]
1	6	P008003	𜆡 𜌓 𛻏 𛻏 𛹜 𜉠	M305 M388 M128~d M128~d M096 M354	P008137	𜆡 𜌓 𛻌 𛻌 𛹜 𜃇	M305 M388 M128 M128 M096 M263~e	[5]
1	6	P008157	𛺖 𜌓 𜉇 𜋅 𛿺 𛶔	M111~e M388 M347 M377~e M218 M036+N30D	P008919	𛺒 𜌓 𜉇 𜋅 𛿺 𛶎	M111~a M388 M347 M377~e M218 M036	[5]
1	6	P008310	𛺯 𜌓 𛵯 𛶈 𜊩 𜇟	M112~o M388 M024~1 M033 M371 M317	P008310	𛷣 𜌓 𛵮 𛶈 𜊩 𜇟	M051~a M388 M024 M033 M371 M317	[0]
1	5	P008005	𛿺 𜂣 𜊩 𜀕 𛼹	M218 M259 M371 M223 M150~a	P008271	𛿺 𜂣 𜊩 𜀗 𛿺	M218 M259 M371 M223~b M218	[4]
1	5	P008163	𜆡 𜌓 𜀰 𛹥 𛵅	M305 M388 M240 M097~h M004	P009277	𜆡 𜌓 𛼢 𛹥 𛵅	M305 M388 M146 M097~h M004	[2]
1	5	P008727	𛾥 𛼯 𛼌 𜌓 𜃃	M195+M057 M147~e M139 M388 M263~a	P008730	𛾥 𛼫 𛼌 𜌓 𜋾	M195+M057 M147 M139 M388 M387	[4]
1	4	P008003	𜆚 𜋾 𛵓 𜃌	M302~t M387 M009 M264~a1	P009280	𜊩 𜋾 𛵓 𜃌	M371 M387 M009 M264~a1	[0]
1	4	P008004	𜆡 𛻃 𛸘 𜈽	M305 M124 M066~a M346	P008076	𜆡 𛷖 𛸗 𜉄	M305 M049~e M066 M346~b	[1]
1	4	P008022	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	P008033	𛺹 𜌁 𛷪 𜌓	M122 M387~c M054 M388	[0]
1	4	P008022	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	P008265	𜆡 𜌁 𛷪 𜌓	M305 M387~c M054 M388	[0]
1	4	P008022	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	P008992	𜌁 𜌁 𛷪 𜃕	M387~c M387~c M054 M265~2	[3]
1	4	P008022	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	P009224	𜌎 𜌎 𛷪 𜄱	M387~i M387~i M054 M288	[3]
1	4	P008033	𛺹 𜌁 𛷪 𜌓	M122 M387~c M054 M388	P008265	𜆡 𜌁 𛷪 𜌓	M305 M387~c M054 M388	[0]
1	4	P008033	𛺹 𜌁 𛷪 𜌓	M122 M387~c M054 M388	P009180	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	[0]
1	4	P008043	𛹥 𜀄 𜁻 𛷪	M097~h M218~b M250~ba M054	P008136	𛹤 𜀄 𜁻 𜃁	M097~f M218~b M250~ba M263	[3]
1	4	P008046	𛹥 𛵅 𛿺 𜂩	M097~h M004 M218 M260~1+N24	P009156	𛹥 𛵅 𛿺 𜃁	M097~h M004 M218 M263	[3]
1	4	P008060	𛻃 𜊩 𛵓 𜄱	M124 M371 M009 M288	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	[3]
1	4	P008060	𛻃 𜋺 𛵮 𜊩	M124 M386~a M024 M371	P008100	𛻃 𜊛 𛵮 𜊩	M124 M370 M024 M371	[1]
1	4	P008060	𜇫 𛵓 𜊩 𜄱	M318~a1 M009 M371 M288	P008666	𜂂 𛵓 𜊩 𜄱	M251~c M009 M371 M288	[0]
1	4	P008060	𜇫 𛵓 𜊩 𜄱	M318~a1 M009 M371 M288	P009089	𜉚 𛵓 𜊩 𜄱	M352~n M009 M371 M288	[0]
1	4	P008083	𛸗 𜉜 𛹜 𜅸	M066 M352~o M096 M297	P008122	𛸗 𜉜 𛹢 𜄱	M066 M352~o M096~c M288	[3]
1	4	P008083	𛸗 𜉜 𛹜 𜅸	M066 M352~o M096 M297	P008431	𛸗 𜉜 𜇔 𜅸	M066 M352~o M315 M297	[2]
1	4	P008083	𛸗 𜉜 𛹜 𜅸	M066 M352~o M096 M297	P009375	𛸗 𜉚 𜉇 𜅸	M066 M352~n M347 M297	[2]
1	4	P008083	𛸗 𜉜 𛹜 𜅸	M066 M352~o M096 M297	P009439	𛸗 𜉚 𜇔 𜅸	M066 M352~n M315 M297	[2]
1	4	P008087	𛻃 𜋺 𛵮 𜊩	M124 M386~a M024 M371	P008100	𛻃 𜊛 𛵮 𜊩	M124 M370 M024 M371	[1]
1	4	P008105	𛼰 𜌓 𛿺 𛷪	M149~a M388 M218 M054	P008105	𛼰 𜌓 𛿺 𜅘	M149~a M388 M218 M295	[3]
1	4	P008105	𛼰 𜌓 𛿺 𛷪	M149~a M388 M218 M054	P009185	𛼲 𜌓 𛿺 𜅦	M149~a2 M388 M218 M295~k	[3]
1	4	P008108	𜌓 𛹥 𜇪 𜊩	M388 M097~h M318~a M371	P008185	𜌓 𛵯 𜇬 𜊩	M388 M024~1 M318~a2 M371	[1]
1	4	P008108	𜌓 𛹥 𜇪 𜊩	M388 M097~h M318~a M371	P272825	𛵹 𛹥 𜇩 𜊩	M029~b M097~h M318 M371	[0]
1	4	P008122	𜇏 𛶃 𛹜 𜄱	M314 M032 M096 M288	P008663	𜌓 𛶃 𛹜 𜄱	M388 M032 M096 M288	[0]
1	4	P008122	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	[0]
1	4	P008122	𜀕 𛸗 𛿺 𜄱	M223 M066 M218 M288	P008146	𜀕 𜀚 𛿺 𜄱	M223 M224 M218 M288	[1]
1	4	P008136	𛷸 𜀰 𜋺 𜀰	M057~a M240 M386~a M240	P008860	𛻃 𜀰 𜋺 𜀰	M124 M240 M386~a M240	[0]
1	4	P008144	𜋀 𜋺 𜀰 𛹜	M377 M386~a M240 M096	P008271	𛻃 𜋺 𜀰 𛹜	M124 M386~a M240 M096	[0]
1	4	P008144	𜋀 𜋺 𜀰 𛹜	M377 M386~a M240 M096	P008644	𜁂 𜋺 𜀶 𛹜	M242~n M386~a M240~e M096	[0]
1	4	P008144	𜋀 𜋺 𜀰 𛹜	M377 M386~a M240 M096	P009018	𜄧 𜋺 𜀰 𛹜	M285~c M386~a M240 M096	[0]
1	4	P008185	𜌓 𛸘 𜀈 𛿺	M388 M066~a M219 M218	P009181	𜌓 𛸘 𜅘 𛿺	M388 M066~a M295 M218	[2]
1	4	P008192	𛹆 𜌓 𜅭 𜀌	M080~a M388 M295~q M220	P368478	𛹈 𜌓 𜅘 𛿺	M080~c M388 M295 M218	[3]
1	4	P008221	𛷐 𜀈 𛿺 𜄱	M048~k M219 M218 M288	P008688	𜊩 𜀈 𛿺 𜄱	M371 M219 M218 M288	[0]
1	4	P008241	𜀶 𜉇 𜊩 𛿱	M240~e M347 M371 M217+M388	P008972	𜀶 𜉇 𜊩 𜋾	M240~e M347 M371 M387	[3]
1	4	P008260	𛻎 𜋅 𜉇 𜊩	M128~ca M377~e M347 M371	P008448	𛼢 𜋅 𜉇 𜊩	M146 M377~e M347 M371	[0]
1	4	P008260	𛻎 𜋅 𜉇 𜊩	M128~ca M377~e M347 M371	P008740	𛵸 𜋅 𜉇 𜊩	M029~a M377~e M347 M371	[0]
1	4	P008260	𛻎 𜋅 𜉇 𜊩	M128~ca M377~e M347 M371	P009298	𜄩 𜋅 𜉇 𜊩	M285~d M377~e M347 M371	[0]
1	4	P008265	𜆡 𜌁 𛷪 𜌓	M305 M387~c M054 M388	P009180	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	[0]
1	4	P008271	𛻃 𜋺 𜀰 𛹜	M124 M386~a M240 M096	P008644	𜁂 𜋺 𜀶 𛹜	M242~n M386~a M240~e M096	[0]
1	4	P008271	𛻃 𜋺 𜀰 𛹜	M124 M386~a M240 M096	P009018	𜄧 𜋺 𜀰 𛹜	M285~c M386~a M240 M096	[0]
1	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	[0]
1	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	[1]
1	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P009183	𛻃 𛷋 𛵓 𜊩	M124 M048~c M009 M371	[1]
1	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[1]
1	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[1]
1	4	P008379	𛻃 𛸗 𜆅 𛷶	M124 M066 M301~a M057	P009088	𜋀 𛸗 𜆄 𛷶	M377 M066 M301 M057	[0]
1	4	P008430	𜂼 𜂣 𛿺 𛵞	M262 M259 M218 M010~2	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[3]
1	4	P008431	𛸗 𜉜 𜇔 𜅸	M066 M352~o M315 M297	P009375	𛸗 𜉚 𜉇 𜅸	M066 M352~n M347 M297	[2]
1	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[0]
1	4	P008448	𛼢 𜋅 𜉇 𜊩	M146 M377~e M347 M371	P008740	𛵸 𜋅 𜉇 𜊩	M029~a M377~e M347 M371	[0]
1	4	P008448	𛼢 𜋅 𜉇 𜊩	M146 M377~e M347 M371	P009298	𜄩 𜋅 𜉇 𜊩	M285~d M377~e M347 M371	[0]
1	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P009383	𛿺 𜂣 𛽆 𜊭	M218 M259 M153 M371~d	[2]
1	4	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	P009183	𛻃 𛷋 𛵓 𜊩	M124 M048~c M009 M371	[1]
1	4	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[1]
1	4	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[1]
1	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P272825	𜌓 𛵓 𛵅 𛿺	M388 M009 M004 M218	[1]
1	4	P008621	𛸗 𜉜 𛿺 𛿺	M066 M352~o M218 M218	P009412	𛸗 𜉜 𜉇 𛿺	M066 M352~o M347 M218	[2]
