base	glyph	total	sole_pct	first_pct	mid_pct	last_pct	avg_relative_position	
M327+M342	𜈟	22	90.9	9.1	0.0	0.0	0.000	house / feast of 𜈙 𜈳   𓃝 𓄅
M205	𛾸	20	55.0	45.0	0.0	0.0	0.000	𒞇 𒂗
M311	𜇄	13	61.5	38.5	0.0	0.0	0.000	𜇂 <<<< 𒈗 ??
M377+M377	𜋂	13	46.2	53.8	0.0	0.0	0.000	𒆳 ≈ 𓈉 •people
M157+M131	𛽛	11	72.7	27.3	0.0	0.0	0.000	𓉐 ≈ 𛽔 of 𛻛  
M377+M320+M377	𜋁	11	72.7	27.3	0.0	0.0	0.000	𓈉 people of 𜇶 <> 𜈞  
M393	𜌘	8	37.5	62.5	0.0	0.0	0.000	𓊎 𓈉 𜋒 𒆳
M188	𛾗	7	71.4	28.6	0.0	0.0	0.000	𓉐 ≈𛽹 of 
M305+M320	𜆯	6	50.0	50.0	0.0	0.0	0.000	𓇾 ≈ 𜆡 of𜇶   
M175+M136	𛽽	6	50.0	50.0	0.0	0.0	0.000	𓉐 ≈ 𛽹 of 𛻰
M344	𜈻	6	16.7	83.3	0.0	0.0	0.000	not numeric, start of words in one tablet about 𛼔 𛺹 , 𜈙 𛺹 
M327+M059	𜈜	6	33.3	66.7	0.0	0.0	0.000	house / feast of 𛸅
M362+M059	𜉳	5	20.0	80.0	0.0	0.0	0.000	𜈽 𒇻
M289	𜄾	5	80.0	20.0	0.0	0.0	0.000	𓉐 ≈𛽹 ?
M384	𜋨	44	52.3	45.5	2.3	0.0	0.012	𓊎 𓈉 𜋒 𒆳
M195+M057	𛾥	23	8.7	87.0	4.3	0.0	0.024	𛾢 of𛷶  𒀭𒍝𒀭 / 𒀭𒊓𒀭𒆠 Anshan?
M327	𜈙	51	68.6	29.4	2.0	0.0	0.031	𜈙 feast
M157	𛽔	335	86.3	12.8	0.9	0.0	0.033	
M195+M038	𛾣	10	0.0	90.0	10.0	0.0	0.050	Susa / Awan (Gal?)
M294	𜅗	7	0.0	85.7	14.3	0.0	0.071	<<<<<
M180	𛾑	14	57.1	35.7	7.1	0.0	0.083	
M447	𜌸	5	40.0	40.0	20.0	0.0	0.083	𜌺𜈽 ≠ 𜌓 𜌻 𜀈 𛿺 𛵂 ≠ counted with 𛿮 𛷪 𛽆 𛷩 𛵐 𜌸 𜉌 𜈩 𜌼 𜂧 𛸍 𛼵
M195	𛾢	33	36.4	51.5	12.1	0.0	0.089	𒆠  𛾢 𛷱 𜄱   𛹇 𛴀 𛾢𛴀 𜊅𛿨𛴀  𜉪𛴀 
M382	𜋔	12	58.3	33.3	8.3	0.0	0.100	𜋒
M342	𜈳	7	28.6	57.1	14.3	0.0	0.100	
M147	𛼫	32	18.8	43.8	37.5	0.0	0.102	
M286	𜄭	23	60.9	34.8	0.0	4.3	0.111	
M103	𛹸	31	9.7	67.7	19.4	3.2	0.114	
M210	𛿙	48	66.7	27.1	4.2	2.1	0.125	𜈽 𒇻
M047	𛷊	9	11.1	66.7	22.2	0.0	0.125	
M351+3(N01)	𜉏	5	20.0	60.0	20.0	0.0	0.125	
