sign	side	neighbor	neighbor_glyph	count
M377	before	M347	𜉇	9
M377	before	M377	𜋀	7
M377	before	M388	𜌓	6
M377	after	M347	𜉇	25
M377	after	M218	𛿺	14
M377	after	M377	𜋀	7
M048	before	M263	𜃁	9
M048	before	M219	𜀈	5
M048	before	M218	𛿺	4
M048	after	M096	𛹜	14
M048	after	M288	𜄱	9
M048	after	M263	𜃁	5
M352	before	M066	𛸗	35
M352	before	M388	𜌓	6
M352	before	M124	𛻃	4
M352	after	M096	𛹜	10
M352	after	M218	𛿺	9
M352	after	M097	[M097]	5
M217	before	M377	𜋀	4
M217	before	M124	𛻃	3
M217	before	M388	𜌓	2
M217	after	M124	𛻃	8
M217	after	M388	𜌓	4
M217	after	M288	𜄱	3
M004	before	M097	[M097]	15
M004	before	M102	[M102]	6
M004	before	M388	𜌓	6
M004	after	M218	𛿺	47
M004	after	M263	𜃁	16
M004	after	M371	𜊩	3
M259	before	M218	𛿺	17
M259	before	M388	𜌓	4
M259	before	M009	𛵓	4
M259	after	M218	𛿺	25
M259	after	M371	𜊩	4
M259	after	M219	𜀈	3
M347	before	M377	𜋀	25
M347	before	M388	𜌓	16
M347	before	M263	𜃁	5
M347	after	M371	𜊩	31
M347	after	M377	𜋀	9
M347	after	M219	𜀈	6
M024	before	M388	𜌓	6
M024	before	M124	𛻃	4
M024	before	M386	𜋸	4
M024	after	M033	𛶈	10
M024	after	M371	𜊩	10
M024	after	M318	𜇩	4
M386	before	M124	𛻃	10
M386	before	M218	𛿺	8
M386	before	M371	𜊩	4
M386	after	M240	𜀰	16
M386	after	M066	𛸗	8
M386	after	M024	𛵮	4
M295	before	M218	𛿺	18
M295	before	M388	𜌓	5
M295	before	M219	𜀈	3
M295	after	M218	𛿺	14
M295	after	M223	𜀕	6
M295	after	M220	𜀌	4
M146	before	M388	𜌓	17
M146	before	M124	𛻃	2
M146	before	M304	𜆛	2
M146	after	M371	𜊩	7
M146	after	M004	𛵅	4
M146	after	M066	𛸗	4
M103	before	M328	[M328]	1
M103	before	M145	𛼙	1
M103	before	M009	𛵓	1
M103	after	M111	𛺑	3
M103	after	M387	𜋾	2
M103	after	M066	𛸗	2
M240	before	M386	𜋸	16
M240	before	M057	𛷶	10
M240	before	M048	[M048]	4
M240	after	M096	𛹜	21
M240	after	M057	𛷶	8
M240	after	M097	[M097]	3
