rank	count	glyph	base	example_records	variants
1	96	𜄱	M288	P008003, P008014, P008019	𜄱M288×91, 𜄵M288~a×1, 𜄻M288~g×1, 𜄽M288~i×1, 𜄹M288~e×1, 𜄸M288~d×1
2	61	𜅸	M297	P008005, P008021, P008043	𜅸M297×39, 𜅻M297~b×19, 𜆀M297~d×3
3	44	𜈽	M346	P008004, P008012, P008048	𜈽M346×35, 𜈿M346~a×4, 𜉄M346~b×3, 𜈾M346~1×1, 𜉆M346~d×1
4	34	𜋾	M387	P008059, P008108, P008108	𜋾M387×19, 𜌆M387~ef×5, 𜌐M387~l×4, 𜋿M387~a×3, 𜌄M387~ee×1, 𜌀M387~b×1, 𜌎M387~i×1
5	23	𛷪	M054	P008043, P008105, P008105	𛷪M054×22, 𛷰M054~i×1
6	23	𜌓	M388	P008105, P008105, P008105	𜌓M388×23
7	22	𜊽	M376	P008143, P008171, P008173	𜊽M376×21, 𜊿M376~b×1
8	22	𜊊	M367	P008223, P008294, P008294	𜊊M367×14, 𜊔M367~i×4, 𜊏M367~c×2, 𜊋M367~a×1, 𜊐M367~d×1
9	17	𛻃	M124	P008043, P008081, P008105	𛻃M124×17
10	14	𜁃	M243	P008245, P008403, P008636	𜁃M243×4, 𜁏M243~j×2, 𜁆M243~b×2, 𜁉M243~ee×2, 𜁍M243~h×1, 𜁎M243~i×1, 𜁋M243~f×1, 𜁄M243~aa×1
11	13	𛵓	M009	P008108, P008349, P008420	𛵓M009×13
12	12	𛸧	M072	P008043, P008082, P008242	𛸧M072×11, 𛸨M072~a×1
13	12	𛶎	M036	P008165, P008293, P008329	𛶎M036×12
14	11	𜉠	M354	P008259, P008347, P008715	𜉠M354×11
15	11	𜉮	M362	P008283, P008283, P008294	𜉮M362×6, 𜊁M362~a×5
16	10	𛼰	M149	P008013, P008142, P008149	𛼰M149~a×6, 𛼷M149~h×2, 𛼲M149~a2×2
17	10	𛿺	M218	P008049, P008065, P008081	𛿺M218×10
18	10	𛷶	M057	P008059, P008100, P008337	𛷶M057×4, 𛷼M057~b×4, 𛷽M057~b1×1, 𛷸M057~a×1
19	9	𛷱	M056	P008016, P008020, P008118	𛷳M056~f×7, 𛷲M056~e×1, 𛷴M056~g×1
20	9	𜃁	M263	P008060, P008144, P008501	𜃁M263×7, 𜃂M263~1×1, 𜃄M263~a1×1
21	9	𛵜	M010	P008270, P008279, P008331	𛵞M010~2×5, 𛵜M010×2, 𛵝M010~1×1, 𛵢M010~6×1
22	8	𛴺	M001	P008185, P008185, P008347	𛴺M001×8
23	7	𜆡	M305	P008042, P008163, P008278	𜆡M305×7
24	7	𛻰	M136	P008059, P008293, P008760	𛻰M136×4, 𛼅M136~p×1, 𛻾M136~i×1, 𛻸M136~c×1
25	7	𛸗	M066	P008083, P008083, P008477	𛸗M066×7
26	7	𜊛	M370	P008105, P008105, P008432	𜊛M370×7
27	7	𜆛	M304	P008108, P008238, P008827	𜆛M304×6, 𜆟M304~a×1
28	6	𛼌	M139	P008012, P008108, P008310	𛼌M139×5, 𛼎M139~a2×1
29	6	𜌗	M391	P008020, P368506, P368509	𜌗M391×6
30	6	𜊲	M373	P008105, P008105, P008105	𜊲M373×5, 𜊳M373~a×1
31	6	𛵁	M003	P008105, P008310, P008310	𛵂M003~b×6
32	6	𛶃	M032	P008201, P008331, P008346	𛶃M032×5, 𛶄M032~a×1
33	6	𛷙	M050	P008234, P008279, P008350	𛷚M050~k×3, 𛷛M050~k1×1, 𛷢M050~q×1, 𛷡M050~p×1
34	5	𛷇	M046	P008043, P008310, P008310	𛷇M046×5
35	5	𛵮	M024	P008081, P008083, P008144	𛵮M024×4, 𛵯M024~1×1
36	5	𜊩	M371	P008081, P008319, P008490	𜊩M371×5
