rank	count	glyph	code	base
1	91	𜄱	M288	M288
2	39	𜅸	M297	M297
3	35	𜈽	M346	M346
4	23	𜌓	M388	M388
5	22	𛷪	M054	M054
6	21	𜊽	M376	M376
7	19	𜅻	M297~b	M297
8	19	𜋾	M387	M387
9	17	𛻃	M124	M124
10	14	𜊊	M367	M367
11	13	𛵓	M009	M009
12	12	𛶎	M036	M036
13	11	𛸧	M072	M072
14	11	𜉠	M354	M354
15	10	𛿺	M218	M218
16	8	𛴺	M001	M001
17	7	𛷳	M056~f	M056
18	7	𜆡	M305	M305
19	7	𜃁	M263	M263
20	7	𛸗	M066	M066
21	7	𜊛	M370	M370
22	6	𛼰	M149~a	M149
23	6	𜌗	M391	M391
24	6	𛵂	M003~b	M003
25	6	𜆛	M304	M304
26	6	𜉮	M362	M362
27	5	𛼌	M139	M139
28	5	𛷇	M046	M046
29	5	𜊩	M371	M371
30	5	𜊲	M373	M373
31	5	𛶃	M032	M032
32	5	𛵞	M010~2	M010
33	5	𜊁	M362~a	M362
34	5	𜌆	M387~ef	M387
35	5	𛾿	M206~d	M206
36	4	𛷶	M057	M057
37	4	𛻰	M136	M136
38	4	𛽹	M175	M175
39	4	𜂣	M259	M259
40	4	𛵮	M024	M024
41	4	𛵅	M004	M004
42	4	𛷼	M057~b	M057
43	4	𜌐	M387~l	M387
44	4	𜊵	M374~c	M374
45	4	𜉎	M351+N14	M351+N14
46	4	𛺉	M106~a	M106
47	4	𛵊	M006@g	M006
48	4	𜈿	M346~a	M346
49	4	𛽆	M153	M153
50	4	𜁃	M243	M243
51	4	𛷂	M044	M044
52	4	𜊔	M367~i	M367
53	3	𜇶	M320	M320
54	3	𜉈	M348	M348
55	3	𜂕	M254~a	M254
56	3	𜊢	M370~b+M072	M370+M072
57	3	𜊘	M369	M369
58	3	𜂧	M260	M260
59	3	𜇟	M317	M317
60	3	𛷚	M050~k	M050
61	3	𛺒	M111~a	M111
62	3	𜇁	M309~d	M309
63	3	𛹧	M099	M099
64	3	𜌽	M449	M449
65	3	𜉄	M346~b	M346
66	3	𜋿	M387~a	M387
67	3	𜆀	M297~d	M297
68	3	𛹪	M101	M101
69	2	𛶏	M036+N14	M036+N14
70	2	𛼢	M146	M146
71	2	𛾳	M203~a	M203
72	2	𛸩	M073~a	M073
73	2	𛻛	M131	M131
74	2	𛻟	M131~e	M131
75	2	𛶭	M039	M039
76	2	𜅇	M291	M291
77	2	𜁏	M243~j	M243
78	2	𛴾	M002	M002
79	2	𜆾	M309~a	M309
80	2	𜀫	M228~ga	M228
81	2	𛷣	M051~a	M051
82	2	𛼷	M149~h	M149
83	2	𜃐	M264~d	M264
84	2	𛵜	M010	M010
85	2	𜁆	M243~b	M243
86	2	𜋀	M377	M377
87	2	𜂼	M262	M262
88	2	𜉚	M352~n	M352
89	2	𜋺	M386~a	M386
90	2	𛵉	M006	M006-cluster
91	2	𛼲	M149~a2	M149
92	2	𜃓	M265	M265
93	2	𜁉	M243~ee	M243
94	2	𛶔	M036+N30D	M036+N30D
95	2	𛶈	M033	M033
96	2	𜊏	M367~c	M367
97	1	𛵈	M005~a	M006-cluster
98	1	𛽇	M153+M006~a	M153+M006
99	1	𛷲	M056~e	M056
100	1	𜁤	M247~f	M247
101	1	𛶹	M041	M041
102	1	𛷨	M053~a	M053
103	1	𜇫	M318~a1	M318
104	1	𛼿	M151~e	M151
105	1	𛹔	M089	M089
106	1	𜋒	M381	M381
107	1	𛺵	M115~a	M115
108	1	𛿯	M217	M217
109	1	𛿳	M217~e	M217
110	1	𜈭	M332~d	M332
111	1	𛽞	M157+M153	M157+M153
112	1	𜌄	M387~ee	M387
113	1	𜀢	M228	M228
114	1	𜆟	M304~a	M304
115	1	𜈱	M340	M340
116	1	𛾬	M197	M197
117	1	𜆮	M305+M288	M305+M288
118	1	𛹇	M080~b	M080
119	1	𜃂	M263~1	M263
120	1	𛿐	M207~m	M207
121	1	𜄵	M288~a	M288
122	1	𜃫	M269~1	M269
123	1	𛸅	M059	M059
124	1	𜀋	M219~s	M219
125	1	𛸻	M075~m	M075
126	1	𛸼	M075~o	M075
127	1	𜃦	M268~b	M268
128	1	𜃳	M269~b	M269
129	1	𜇉	M312~c	M312
130	1	𛵧	M014~a	M014
131	1	𜊅	M365	M365
132	1	𜈑	M324~f	M324
133	1	𜌀	M387~b	M387
134	1	𛵝	M010~1	M010
135	1	𜁝	M246~s	M246
136	1	𛶗	M036+N39B	M036+N39B
137	1	𛶝	M036+M343~h	M036+M343
138	1	𜋔	M382	M382
139	1	𛷛	M050~k1	M050
140	1	𛼠	M145~f	M145
141	1	𛾼	M205~d	M205
142	1	𜊴	M374~a	M374
143	1	𛽅	M152~g	M152
144	1	𛵒	M007~d	M007
145	1	𛼅	M136~p	M136
146	1	𛽔	M157	M157
147	1	𜉱	M362+M026~h	M362+M026
148	1	𜉒	M351~c	M351
149	1	𜊋	M367~a	M367
150	1	𜅘	M295	M295
151	1	𜌧	M418~a	M418
152	1	𛺰	M112~p	M112
153	1	𜋇	M377~e+M377~e	M377+M377
154	1	𛹕	M090	M090
155	1	𛽠	M157+M340	M157+M340
156	1	𛼙	M145	M145
157	1	𛿌	M207~d	M207
158	1	𛹌	M081	M081
159	1	𜈶	M343~d	M343
160	1	𛷰	M054~i	M054
161	1	𜇽	M321~b	M321
162	1	𜊿	M376~b	M376
163	1	𛻗	M128~ef	M128
164	1	𜌎	M387~i	M387
165	1	𜃟	M266~b	M266
166	1	𛶒	M036+N30C	M036+N30C
167	1	𜉏	M351+3(N01)	M351+3(N01)
168	1	𛷽	M057~b1	M057
169	1	𛵇	M005	M005
170	1	𜄻	M288~g	M288
171	1	𜅏	M292~f	M292
172	1	𛹮	M102~d	M102
173	1	𜁛	M246~m	M246
174	1	𛷢	M050~q	M050
175	1	𛵢	M010~6	M010
176	1	𜄽	M288~i	M288
177	1	𜃱	M269~a2	M269
178	1	𜌭	M420	M420
179	1	𛷴	M056~g	M056
180	1	𜅡	M295~ee	M295
181	1	𜍢	M505	M505
182	1	𜂔	M254	M254
183	1	𜊟	M370+M388+M370	M370+M388+M370
184	1	𜉍	M351	M351
185	1	𛽑	M155	M155
186	1	𜌦	M417~h	M417
187	1	𜋌	M379~d	M379
188	1	𜈾	M346~1	M346
189	1	𜇄	M311	M311
190	1	𜁠	M247~b	M247
191	1	𜇩	M318	M318
192	1	𜊳	M373~a	M373
193	1	𛿓	M208	M208
194	1	𛵤	M011	M011
195	1	𜆂	M298~a	M298
196	1	𜅓	M293~a	M293
197	1	𜉈𜄱	M348+M288	M348+M288
198	1	𜆯	M305+M320	M305+M320
199	1	𛸖	M064~d	M064
200	1	𜌾	M450	M450
201	1	𜇯	M318~e	M318
202	1	𜃰	M269~a1	M269
203	1	𛺄	M106	M106
204	1	𜌤	M417~f	M417
205	1	𛶨	M038~e	M038
206	1	𜃴	M269~c	M269
207	1	𜈦	M327~p	M327
208	1	𛹥	M097~h	M097
209	1	𛼖	M143~d	M143
210	1	𛻾	M136~i	M136
211	1	𜇱	M318~h	M318
212	1	𛺙	M111~h	M111
213	1	𜅁	M289~d	M289
214	1	𜆔	M302~i	M302
215	1	𛽤	M157~a	M157
216	1	𛵬	M018	M018
217	1	𛶄	M032~a	M032
218	1	𛵪	M016	M016
219	1	𜊐	M367~d	M367
220	1	𜅴	M296	M296
221	1	𜈆	M323	M323
222	1	𛾘	M188~f	M188
223	1	𜂗	M254~c	M254
224	1	𛷸	M057~a	M057
225	1	𜁍	M243~h	M243
226	1	𜅂	M290	M290
227	1	𜁎	M243~i	M243
228	1	𜁋	M243~f	M243
229	1	𛷥	M051~c	M051
230	1	𛺧	M112~b	M112
231	1	𜅊	M292	M292
232	1	𜁜	M246~o	M246
233	1	𛹬	M102~a	M102
234	1	𛶓	M036+N30C+N39C	M036+N30C+N39C
235	1	𜁂	M242~n	M242
236	1	𛿪	M214~d	M214
237	1	𜄹	M288~e	M288
238	1	𛸷	M075~g	M075
239	1	𛺹	M122	M122
240	1	𜋴	M385	M385
241	1	𛽒	M155~f	M155
242	1	𜄾	M289	M289
243	1	𛽍	M153+M342	M153+M342
244	1	𛸒	M063	M063
245	1	𜁲	M249~c	M249
246	1	𛵿	M029~l+N08A	M029+N08A
247	1	𜇢	M317~a	M317
248	1	𜁔	M246~b	M246
249	1	𜀕	M223	M223
250	1	𛺩	M112~d	M112
251	1	𜃄	M263~a1	M263
252	1	𛼨	M146~d	M146
253	1	𜇣	M317~b	M317
254	1	𛿞	M210~d	M210
255	1	𛼮	M147~d	M147
256	1	𜄸	M288~d	M288
257	1	𛻰𛽆	M136+M153	M136+M153
258	1	𛵹	M029~b	M029
259	1	𜀪	M228~g	M228
260	1	𛸨	M072~a	M072
261	1	𜇳	M319	M319
262	1	𜀬	M228~gb	M228
263	1	𜄉𛴊	M278+N24	M278+N24
264	1	𜅃	M290~a	M290
265	1	𛸕	M064~a	M064
266	1	𜅖	M293~d	M293
267	1	𜈔	M325~d	M325
268	1	𛼎	M139~a2	M139
269	1	𛻀	M123~b	M123
270	1	𛿈	M207	M207
271	1	𜋁	M377+M320+M377	M377+M320+M377
272	1	𜁦	M247~m	M247
273	1	𛶿	M041~j	M041
274	1	𜉆	M346~d	M346
275	1	𜍗	M489	M489
276	1	𜁽	M250~n	M250
277	1	𜈜	M327+M059	M327+M059
278	1	𜈒	M325	M325
279	1	𛵯	M024~1	M024
280	1	𜆪	M305+M157	M305+M157
281	1	𜁄	M243~aa	M243
282	1	𜋊	M379	M379
283	1	𛷡	M050~p	M050
284	1	𛻸	M136~c	M136
285	1	𜀼	M242~b	M242
286	1	𛼚	M145~a	M145
287	1	𜈙	M327	M327
