record	row_a	row_b	columns	diff_count	glyphs_a	glyphs_b
P008283	5	7	b,c,d,e,f,g	0	𜃪 𛺉 𛵓 𛿃 𛹱 𜆾	𜃪 𛺄 𛵓 𛿃 𛹱 𜆾
P008283	5	10	b,c,d,e,f,g	0	𜃪 𛺉 𛵓 𛿃 𛹱 𜆾	𜃫 𛺄 𛵓 𛿃 𛹱 𜆾
P008283	7	10	b,c,d,e,f,g	0	𜃪 𛺄 𛵓 𛿃 𛹱 𜆾	𜃫 𛺄 𛵓 𛿃 𛹱 𜆾
P008294	2	3	a,b,d,e,f,g	0	𜊊 𜈽 𜊁 𜊋 𜈿 𛵊	𜊊 𜈽 𜊁 𜊋 𜈿 𛵊
P008294	3	4	a,c,d,e,f,g	0	𜊊 𛵉 𜊁 𜊋 𜈿 𛵊	𜊊 𛵉 𜊁 𜊋 𜈿 𛵊
P008295	1	5	b,c,d,e,f,g	0	𜃱 𛺉 𛵓 𛿃 𛹱 𜆾	𜃭 𛺉 𛵓 𛿃 𛹱 𜆾
P008295	8	11	b,c,d,e,f,g	0	𜂧 𛺄 𛵓 𛿃 𛹱 𜆾	𜂧 𛺄 𛵓 𛿃 𛹱 𜆾
P008283	3	5	b,c,e,f,g	0	𜃪 𛺉 𛿃 𛹱 𜆾	𜃪 𛺉 𛿃 𛹱 𜆾
P008283	3	7	b,c,e,f,g	0	𜃪 𛺉 𛿃 𛹱 𜆾	𜃪 𛺄 𛿃 𛹱 𜆾
P008283	3	10	b,c,e,f,g	0	𜃪 𛺉 𛿃 𛹱 𜆾	𜃫 𛺄 𛿃 𛹱 𜆾
P008283	4	5	b,c,d,e,f	0	𜃫 𛺉 𛵓 𛿃 𛹱	𜃪 𛺉 𛵓 𛿃 𛹱
P008283	4	7	b,c,d,e,f	0	𜃫 𛺉 𛵓 𛿃 𛹱	𜃪 𛺄 𛵓 𛿃 𛹱
P008283	4	10	b,c,d,e,f	0	𜃫 𛺉 𛵓 𛿃 𛹱	𜃫 𛺄 𛵓 𛿃 𛹱
P008283	5	8	c,d,e,f,g	0	𛺉 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008283	7	8	c,d,e,f,g	0	𛺄 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
P008283	8	10	c,d,e,f,g	0	𛺄 𛵓 𛿃 𛹱 𜆾	𛺄 𛵓 𛿃 𛹱 𜆾
