rank	count	glyph	base	variants	super	similar	
1	45	𛷱	M056	𛷳 M056~f×36, 𛷱 M056×7, 𛷲 M056~e×2			
2	28	𛻃	M124	𛻃 M124×27, 𛻆 M124~c×1		𜇏 𛶈	
3	22	𛷶	M057	𛷶 M057×9, 𛷸 M057~a×5, 𛷽 M057~b1×2, 𛷼 M057~b×2, 𛷿 M057~e×2, 𛸁 M057~i×1, 𛷻 M057~a4×1			
4	20	𛾥	M195+M057	𛾥 M195+M057×19, 𛾦 M195+M057~a4×1	𛾢		
5	18	𜅊	M292	𜅊 M292×6, 𜅑 M292~i×3, 𜅌 M292~c×3, 𜅏 M292~f×3, 𜅐 M292~h×2, 𜅍 M292~d×1	𜅒		
6	17	𛼌	M139	𛼌 M139×16, 𛼍 M139~a1×1			
7	17	𛶡	M038	𛶡 M038~a×6, 𛶨 M038~e×5, 𛶥 M038~b1×3, 𛶬 M038~i×2, 𛶤 M038~b×1			
8	16	𜋀	M377	𜋀 M377×13, 𜋅 M377~e×3			
9	15	𛼫	M147	𛼫 M147×9, 𛼯 M147~e×5, 𛼭 M147~b×1			
10	14	𜈱	M340	𜈱 M340×14			
11	13	𜃉	M264	𜃋 M264~a×6, 𜃌 M264~a1×3, 𜃑 M264~d1×2, 𜃎 M264~b×1, 𜃐 M264~d×1			
12	13	𛵅	M004	𛵅 M004×13			
13	13	𛸅	M059	𛸅 M059×12, 𛸋 M059~f1×1			
14	13	𛶹	M041	𛶹 M041×6, 𛶾 M041~g×3, 𛶿 M041~j×2, 𛶺 M041~c×1, 𛶻 M041~d×1			
15	12	𜌗	M391	𜌗 M391×12			
16	12	𜂼	M262	𜂽 M262~1×7, 𜂼 M262×5			
17	12	𛾾	M206	𛾿 M206~d×7, 𛾾 M206~b×2, 𛿇 M206~j×1, 𛿀 M206~d1×1, 𛿂 M206~fa×1			
18	11	𛾳	M203	𛾴 M203~c×9, 𛾳 M203~a×2			
19	10	𛼢	M146	𛼢 M146×7, 𛼨 M146~d×3			
20	10	𛿯	M217	𛿯 M217×5, 𛿳 M217~e×2, 𛿲 M217~a×2, 𛿶 M217~h×1			
21	9	𜇳	M319	𜇳 M319×8, 𜇵 M319~c×1			
22	9	𜇶	M320	𜇶 M320×8, 𜇻 M320~n×1			
23	9	𜊵	M374	𜊵 M374~c×9 𜊴			
24	9	𛻰	M136	𛼅 M136~p×2, 𛻰 M136×2, 𛻷 M136~b×1, 𛼈 M136~s×1, 𛻸 M136~c×1, 𛼄 M136~o×1, 𛻾 M136~i×1			
25	9	𛵇	M005	𛵈 M005~a×8, 𛵇 M005×1			
26	9	𜉇	M347	𜉇 M347×9			
27	9	𜂣	M259	𜂣 M259×7, 𜂥 M259~2×1, 𜂤 M259~1×1			
28	9	𛾢	M195	𛾢 M195×8, 𛾫 M195~m×1			
29	9	𜁃	M243	𜁏 M243~j×2, 𜁊 M243~ef×1, 𜁍 M243~h×1, 𜁈 M243~e×1, 𜁆 M243~b×1, 𜁄 M243~aa×1, 𜁅 M243~ac×1, 𜁌 M243~g×1	𜀈	𛻃?	
30	9	𜉜	M352	𜉜 M352~o×4, 𜉚 M352~n×3, 𜉝 M352~r×1, 𜉖 M352~b×1			
31	8	𛷌	M048	𛷌 M048~d×3, 𛷋 M048~c×2, 𛷐 M048~k×2, 𛷏 M048~i×1			
32	8	𜀈	M219	𜀈 M219×8			
