rank	count	glyph	code	base
1	36	𛷳	M056~f	M056
2	27	𛻃	M124	M124
3	19	𛾥	M195+M057	M195+M057
4	16	𛼌	M139	M139
5	14	𜈱	M340	M340
6	13	𛵅	M004	M004
7	13	𜋀	M377	M377
8	12	𜌗	M391	M391
9	12	𛸅	M059	M059
10	9	𛷶	M057	M057
11	9	𜊵	M374~c	M374
12	9	𜉇	M347	M347
13	9	𛾴	M203~c	M203
14	9	𛼫	M147	M147
15	8	𜇳	M319	M319
16	8	𜇶	M320	M320
17	8	𛵈	M005~a	M005
18	8	𜀈	M219	M219
19	8	𛾢	M195	M195
20	8	𜆛	M304	M304
21	8	𜉠	M354	M354
22	7	𜉈	M348	M348
23	7	𛼢	M146	M146
24	7	𜂽	M262~1	M262
25	7	𜂣	M259	M259
26	7	𛾿	M206~d	M206
27	7	𛷱	M056	M056
28	6	𜃋	M264~a	M264
29	6	𛶡	M038~a	M038
30	6	𜅊	M292	M292
31	6	𛶹	M041	M041
32	5	𛷸	M057~a	M057
33	5	𜂨	M260~1	M260
34	5	𛿯	M217	M217
35	5	𜂼	M262	M262
36	5	𜊯	M372	M372
37	5	𜇏	M314	M314
38	5	𛻇	M125	M125
39	5	𛹌	M081	M081
40	5	𛼯	M147~e	M147
41	5	𛶨	M038~e	M038
42	4	𜋒	M381	M381
43	4	𛺹	M122	M122
44	4	𛾤	M195+M038~a	M195+M038
45	4	𛹥	M097~h	M097
46	4	𜀰	M240	M240
47	4	𜈩	M329	M329
48	4	𛶈	M033	M033
49	4	𜉨	M359	M359
50	4	𜋏	M380	M380
51	4	𜍅	M461~b	M461
52	4	𜃟	M266~b	M266
53	4	𜇟	M317	M317
54	4	𜊊	M367	M367
55	4	𛽆	M153	M153
56	4	𛺒	M111~a	M111
57	4	𜇔	M315	M315
58	4	𜃳	M269~b	M269
59	4	𜉜	M352~o	M352
60	3	𜃌	M264~a1	M264
61	3	𛾣	M195+M038	M195+M038
62	3	𜈔	M325~d	M325
63	3	𜈧	M328~b	M328
64	3	𛶥	M038~b1	M038
65	3	𜋅	M377~e	M377
66	3	𜀕	M223	M223
67	3	𛼰	M149~a	M149
68	3	𛴾	M002	M002
69	3	𜅑	M292~i	M292
70	3	𛵞	M010~2	M010
71	3	𛼨	M146~d	M146
72	3	𜋭	M384~d	M384
73	3	𛷌	M048~d	M048
74	3	𜋺	M386~a	M386
75	3	𛹆	M080~a	M080
76	3	𜉏	M351+3(N01)	M351+3(N01)
77	3	𜂕	M254~a	M254
78	3	𛼗	M144	M144
79	3	𜉚	M352~n	M352
80	3	𜂸	M261~b1	M261
81	3	𜋸	M386	M386
82	3	𜉮	M362	M362
83	3	𜋁	M377+M320+M377	M377+M320+M377
84	3	𜅌	M292~c	M292
85	3	𜆄	M301	M301
86	3	𛼐	M141	M141
87	3	𜅏	M292~f	M292
88	3	𛹧	M099	M099
89	3	𛶾	M041~g	M041
90	3	𛺌	M109	M109
91	3	𛷤	M051~b	M051
92	3	𛸧	M072	M072
93	3	𜈜	M327+M059	M327+M059
94	2	𜆚	M302~t	M302
95	2	𛵯	M024~1	M024
96	2	𜊅	M365	M365
97	2	𜇭	M318~a3	M318
98	2	𛶰	M039~b	M039
99	2	𛷋	M048~c	M048
100	2	𛷲	M056~e	M056
101	2	𜋐	M380~b	M380
102	2	𜀚	M224	M224
103	2	𛷽	M057~b1	M057
104	2	𛿳	M217~e	M217
105	2	𜂉	M251~m	M251
106	2	𜌕	M390	M390
107	2	𛵏	M007~a	M007
108	2	𜁷	M249~n	M249
109	2	𜁥	M247~g	M247
110	2	𛼅	M136~p	M136
111	2	𜈭	M332~d	M332
112	2	𛺍	M110	M110
113	2	𜁏	M243~j	M243
114	2	𜅭	M295~q	M295
115	2	𜀌	M220	M220
116	2	𜅘	M295	M295
117	2	𜈎	M324~c	M324
118	2	𛷐	M048~k	M048
119	2	𜂧	M260	M260
