folio	side	line	text
1	front	1	fachys.ykal.ar.ataiin.shol.shory.[cth:oto]res.y.kor.sholdy<!doodle @254;>
1	front	2	sory.ckhar.or,y.kair.chtaiin.shar.ase.cthar.cthar,dan
1	front	3	syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy
1	front	4	soiin.oteey.oteo[s:r],roloty.cthiar,daiin.okaiin.or.okan
1	front	5	sair,y.chear.cthaiin.cphar.cfhaiin
1	front	6	ydaraishy<$>
1	front	7	<!doodle@252;>odar.{c'}y.shol.cphoy.oydar.sh.s.cfhoaiin.shodary
1	front	8	yshey.shody.okchoy.otchol.chocthy.os,chy.dain.chor.kos
1	front	9	daiin.shos.cfhol.shody
1	front	10	dain.os.teody<$>
1	front	11	<!doodle@253;>ydain.cphesaiin.ols.cphey.ytain.shoshy.cphodal,es
1	front	12	oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin
1	front	13	shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d
1	front	14	dain.oiin.chol.odaiin.chodain.chdy.ok[a:o]in.d?n.cthy.kod
1	front	15	daiin.shckhey.{ck}eo.r.char.shey.kol.chol.chol.kor.chal
1	front	16	sho.chol.shodan.kshy.kchy.d.or.chodaiin.sho.koeam
1	front	17	ycho.tchey.chekain.sheo,pshol.dydyd.cthy.dai[{cto}:@194;]y
1	front	18	yto.shol.she.kodshey.cphealy.dar,ain.dain.ckhyds
1	front	19	dchar.shcthaiin.okaiir.chey.@192;chy.@130;tol.cthols.dlo{ct}o
1	front	20	shok.chor.chey.dain.ckhey
1	front	21	otol.daiiin<$>
1	front	22	cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.r,o,d
1	front	23	??doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar
1	front	24	cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar
1	front	25	ycheey.okeey.oky.daiin.okchey.kokaiin.o?chol.k?dchy.dal
1	front	26	dcheo.shody.koshey.cthy.ok,chey.keey.keey,dal.chtor
1	front	27	?eo?.chol.chok.choty.chotey
1	front	28	dchaiin<$>
1	front	29	d
1	front	30	r
1	front	31	g
1	back	1	kchsy.chydaiin.ol.<->o,l,tchey.char.cfhar,am
1	back	2	yteey.char.or.ochy.<->dcho.lkody.okodar.chody
1	back	3	dadksheey.cthy.kotchody.dal
1	back	4	dol.chokeo.dair.da[m:g].<->sochey.chokody<$>
