folio	side	line	text
1	front	1	fa19s.9,hae.ay.Akam.2oe.!oy9.@253;scs.9.hoy.2oe89 
1	front	2	soy9.Hay.oy,9.hacy.1kam.2ay.Ais.Kay.Kay.8aN 
1	front	3	s9aIy.2ch9.oy.9ham.+o8.Ko,ay9.Kcs.8ay,am.s9 
1	front	4	8om.okcc9.okcoy.y,oeok9.@232;Aay.8am.oham.oy.ohaN 
1	front	5	saz9.1cay.Kam.Jay.Fam
1	front	6	98ayai29<$>
1	front	7	@155;.o8ay.@217;.!oe.Go9.o98ay.!?s.Foam.#o8ay9 
1	front	8	9+c9.2o89.oh1o9.ok1oe.1oK9.os,19.8an.1oy.hos 
1	front	9	8am.2os.Foe.2o89
1	front	10	8an.oy.kco8(<$>
1	front	11	@154;.98an.Gcsam.oes.Gc9.9kan.2o29.Jo8ae.cs 
1	front	12	oh,2o.h2o9.okazn.okcoe.ohaN.2o8an.s,v19.8am 
1	front	13	2o9.Hc9.ho8am.G9.Jo8aIes.L9.2o.oe7an.7 
1	front	14	8an.om.1oe.o8am.1o8an.189.ohan.7aN.K9.ho8 
1	front	15	8am.2Hc9.Hoy.1ay.3c9.hoe,1oe.1oe.hoy.1ae 
1	front	16	3o.1oe.2o8aN.h+9.h1e.8oy.1o8am.2o.hccap 
1	front	17	91o.k1c9.1chan.+cog2oe.89898.K9.8ai@253;9 
1	front	18	(ko.3oe.3c.ho82c9.Jcae9.8ay.an.8an.H98s 
1	front	19	81ay.+Kam.ohaZ,1c9.@164;19.@250;koe.Koes.8aoEko 
1	front	20	2oh.1oy.1c9.8an.Hc9
1	front	21	okoe.8aM<$>
1	front	22	Go.2am.!oh1C9.1oe.k2o8ccs9.2c9.g98C9.19.yo.8ay 
1	front	23	(7an.1oe.8an.Kae.8ay.+cay.ham.8ay.5c9.Kay 
1	front	24	1o?o.ham.2oam.ohoe.8am.@233;ay.Koe.8am.Koe8ay 
1	front	25	91C9.ohC9.oh9.8am.o,h1c9.hoham.o?1oe.hA719.8ae 
1	front	26	81co.2o89.ho@208;19.K9.oh,1c9.hcc9.hcc9.8ae.1koy 
1	front	27	2o?.1oe.1H,1ok9.1okc9
1	front	28	81am<$>
1	back	1	h1s9.1o8am.oe.oek1c9.1ay.Fax.ap 
1	back	2	9kcc9.1ay.oy.o19.81o.eho89.oho8ay.1o89 
1	back	3	8o.H9.HoH9.59.8h3C9.K9.hok1o89.8ae 
1	back	4	8oe.1ohco.8az.8ap.so1c9.1o.ho89<$>
1	back	5	goko9.2oe.&az.Goae.8ay.1c9.ko89.okoam.3o39 
1	back	6	1oh9.1oe.Ko,e,2oe.Ahae.7oe1c9.1o8o.eoe.19.K9 
1	back	7	@185;.oe.1oCs.1coe.8oe.Kc9.9hoe.8oe.8oeo.9hoe.8o,e,1o89 
1	back	8	ohoe2oe.hoe.hc19.1oe.h9.1oe.Koe.1o89.1oe.8am 
1	back	9	2oy.ohae.1oe.8oe,h9.8ay.2oe.81oy.ok1o.8ay.@215;o89 
1	back	10	kooy.1ok1c9.8ae.1o89.s1o89.@233;oe.1o8ay<$>
2	front	1	h98an9.9g1oe.8am.ok1ae.9j1am.Hoes9 
2	front	2	8oy1oy9.1hay.s.2oy.K9.@253; 
2	front	3	4okam.Kc9.9.1oy.19.989.1am 
2	front	4	@227;aI89.1ko8,89.G9.8aes.1,okam.8 
2	front	5	oko1oy.ae.2o8am.1oe.8aN.9k1am.8aN 
2	front	6	sam.8an8.8hoe.soy.9koe89.81oe.819.K9 
2	front	7	2oy.H9.8am9.1oe.8aN<$>
2	front	8	h98an.2am.4o9.s.2oe.fo8aN.9h2.oe,2C9.8aIe89 
2	front	9	8es,2o.hoe.2C9.4ohc9.9ho89.so.1oe,9h9.8an.8aZoe 
2	front	10	@186;h9.1oeam.2oe.2ch9.8am.Kc9.hcoe.s,am.@208;@183; 
2	front	11	91an.8ae.19.8aeoy.2aN.8aN.oes,am.2C9.Hoy 
2	front	12	ohoe.19.1oy.Koy.9oy.aN.1aN.s,am.1ck9.19h9.sae 
2	front	13	2o.9hC9.1c9.8am.1K9<$>
2	back	1	hoom.1cog1oy.okam,o8an.1oy.8az.2k9 
2	back	2	h1A,h19.2o.3oe.4ok1o.eods.4ok9.1o,y.8am 
2	back	3	ok19.1oy.e+9.1oe.1o89.1o8an.1K9.8am 
2	back	4	2o.1oeo.1coy.1o8am<$>
2	back	5	h1oy.29.8aM.1@231;9.s2c9.8oy.1oe.8am 
2	back	6	8oy.1oe.1oy.1oe.hcoe.19.1k9.8am.ok1oy.1aN 
2	back	7	8am.1ok1c9.4okd9.1ohcos.1ccs.1y.1cam 
2	back	8	1ohoi5c.1oy.1coe.1oe.8oeo89<$>
3	front	1	k2cos.4ojae.1oe.Koe.8aP* 
3	front	2	91coy.1oy.8ap.4ok1ap.1ap 
3	front	3	o1oy.4o1coy.1oe.8am.K9 
3	front	4	s1c9.1oy.1ae.1a*.1ap.1o 
3	front	5	4ohoe.1oeoe9.s.1ap.Koe 
3	front	6	91kam.1oy.Kop.okae8ap 
3	front	7	ok1oe.4o8am.1op.2op.7apo 
3	front	8	9#coy.1oy.1oe.oh9.8a*o 
3	front	9	+o.@162;oy.+coe8ap.ok1o89.oe 
3	front	10	9.8ay.1oeKop<$>
3	front	11	g1coe.5oe.s,oes.!coe,2c9 
3	front	12	ohA8am.4oh1oy.4o.s1o8ap.oK9 
3	front	13	4ohC9.4ok,2c9.4oho89.4oh2c9.1co89 
3	front	14	1oy.4o7az.ohC9.4ohC9<$>
3	front	15	k2coayop.2ay.oy.1oy.oe1s9.1op.ok1op.ogoyay 
3	front	16	okcoe.1oe.s.1coe.ch29.4ohcop.4ohAe.8am.soeC* 
3	front	17	socop.ohcop.9kco89.4ohCo,8ae.sap<$>
3	front	18	g1coe8op.2o8am.4oj1oy.4ojoe,oj1oe,4ok9.okoeop 
3	front	19	ok1oy.oe.1coy.4o,coy.8az.4okcoe.4osam.1oy.K9 
3	front	20	91coy.1oe.o8am.1oe.s.am.ohoe,oy,ap<$>
3	back	1	hoam.Goy.4oko9.2a.Hoe.9hoam.s.oe9 
3	back	2	8aI89.4ok1oe.oh1oy.ohoy.oe9koe.8oe.8ay 
3	back	3	ohop.1oe.2oe.sCcs.1op.1C9hap.ohai 
3	back	4	4o8ay.1,s.19.h1coe.ohae.8o.y.1cayD 
3	back	5	91cay.ok1ae.1o,y.1ay.Ho 
3	back	6	oy.1coy.hoy.1o8ae9.1ap<$>
3	back	7	k1oy.ok1ap.1oy.Uap.s 
